session_title,year,number_of_authors,number_of_papers
Anomalies and Inefficiency II,2013,13,4
Anomalies and Inefficiency III,2013,5,4
Antitrust Enforcement in Innovating Industries: ICT and Telecommunications,2014,7,4
Apartheid as Natural Experiment,2016,8,4
Application of Behavioral Economics to Asia,2019,8,4
Applications of Auctions and Negotiations,2019,9,4
Applications of Machine Learning in Microeconomics for Public Policy,2019,10,5
Applications of Semiparametric and Nonparametric Analysis,2011,11,5
Applications of the Synthetic Control Method,2012,11,4
Applied Econometrics and Schooling,2014,8,3
Applied Machine Learning,2019,7,3
"Applying Regulation, Medication and Big Data to the Opioid Crisis",2019,5,3
Appraisal and Depreciation,2011,9,4
"Arbitrage, Trading, and Frictions",2013,7,3
"Are All Financial Shocks Alike? The Effects of Credit, Housing and Uncertainty Shocks (E3, E5)",2015,11,4
Are Asia's Workplaces at the Mercy of New Economic Realities or Not?,2013,5,5
"Are Emerging Markets Facing a New Financial Crisis? (G1, G1)",2015,4,4
"Are Emerging Markets Facing Growth Stagnation? (F4, F4)",2016,4,4
Are For-Profit Healthcare Providers and Payers Different? Recent Research and Policy Implications,2011,7,3
Are Health and Health Care Getting Better in the United States?,2013,6,3
Are Men and Women Different Economic Agents?,2019,10,4
"Artificial Intelligence, Data Science and Economics at the Crossroads",2019,11,5
Artistic Careers and the Creative Workforce,2013,7,4
Asia and Its External Relations,2014,6,4
Aspects of Inequality in Economic Relationships,2012,5,4
Aspects of the Labor Market during the Great Recession,2012,9,5
"Assessing the Costs and Benefits of Occupational Licensing and Certification (J1, K2)",2016,11,5
Assessing the Damage: The Emerging Consequences of the Great Recession,2013,7,4
"Assessing the Effectiveness of India's Largest Public Works Program - National Rural Employment Guarantee Scheme (O1, J1)",2015,10,4
Assessing the Globalization Backlash,2019,15,4
Assessing the Impact of the Minimum Wage,2016,7,3
Assessing the Impacts of Job Loss,2013,10,4
Assessing the Welfare Impacts of Economic Integration: Evidence from the 19th and 20th Centuries,2014,9,4
"Assessing Unconventional Monetary Policies in the United States, Europe and Japan",2015,11,4
Assessing Unconventional Monetary Policy,2013,10,3
Assessment of Climate Change Impact Methods for Agriculture,2012,8,3
Assessment of Economic and Financial Knowledge: An International Perspective,2014,8,3
Asset Allocation Strategies,2015,14,4
"Asset Disposition (R3, G2)",2015,8,4
Asset Management and Market Efficiency,2014,9,4
Asset Management and Market Efficiency,2015,8,4
Asset Markets and Financial Crises in Historical Perspective,2019,7,4
"Asset Ownership, the Intra-Household Distribution of Wealth and Household Decision-Making in Ecuador, Ghana and India",2012,9,4
Asset Prices,2011,12,5
Asset Prices and Wealth Dynamics with Heterogeneous Beliefs,2012,7,4
Asset Pricing,2013,20,8
Asset Pricing,2019,13,5
Asset Pricing and Volatility,2019,8,4
Asset Pricing Anomalies,2019,6,3
Asset Pricing Theory,2011,12,4
Asset Pricing Theory,2014,5,3
Asset Pricing Theory,2015,7,3
Asset Pricing Theory (Liquidity),2012,6,3
Asset Pricing Theory 2,2012,11,4
Asset Pricing Theory I,2012,6,3
Asset Pricing under Heterogeneous Beliefs,2015,10,4
Asset Pricing-Theory,2014,6,4
Asset Pricing: Implications of Financial Constraints,2019,9,4
Asset Pricing: New Theories and Empirical Approaches,2018,10,4
Asset Pricing: Stock Markets,2019,7,3
Asset Pricing: What We Can Learn From Derivatives,2018,9,3
Asset Return Dynamics,2018,8,3
Association for Comparative Economics Poster Session,2018,16,15
Attention and Choice,2012,5,3
"Attitudes, Markets and Oligarchs in Russia",2016,5,3
Auction Design,2012,5,3
Auction Theory,2011,7,3
Auction Theory,2013,3,3
Auctions,2019,9,5
Auctions & Mechanism Design,2019,5,4
Auctions Theory and Its Applications,2018,7,3
Auctions: Theory and Evidence,2016,7,4
Authoritarianism and the Media,2019,10,4
Automation,2018,13,5
Automation and the Workforce,2018,5,4
"Automation, Jobs, and Productivity: Aggregate and Micro Evidence",2019,12,4
"Automobile Fuel-Use and Pollution Policies (Q4, L9)",2016,8,4
"Automobiles, Fuel Markets and Energy Efficiency",2014,10,4
Autos and the Business Cycle,2015,10,4
"Autos, Fuel Economy, and the Environment",2012,8,4
Bad Behavior,2013,9,5
"Bailouts, Bail-ins and Resolution",2019,11,4
"Bailouts, Incentives, and Regulation",2011,8,4
Bank and Borrower Behavior,2018,10,3
Bank Competition and Supply of Credit,2018,6,3
Bank Deposits,2018,11,4
Bank Governance and Crises,2013,11,4
Bank Lending and Asset Holding,2019,15,4
Bank Lending and Cross-border Flows,2019,13,4
Bank Lending and Firm Financing,2019,12,3
"Bank Liquidity, Lending, and Collateral",2012,10,4
Bank Risk,2012,11,5
Banking,2014,7,3
"Banking (G2, R3)",2016,6,4
Banking and Financial Crises,2014,8,3
Banking and Financial Institutions 2,2012,12,4
Banking and Financial Institutions I,2013,7,3
Banking and Financial Institutions II,2013,10,3
Banking and Financial Institutions III,2013,8,3
Banking and Financial Markets,2015,7,5
Banking and Institutions,2018,14,4
Banking and Systematic Risk,2012,8,4
Banking and the Real Economy,2018,8,3
Banking in Crisis,2012,9,4
Banking Regulation,2019,7,4
Banking Regulation and Risk Sharing,2011,9,5
Banking Regulation in the Macroeconomy,2019,10,4
Banking Risk and Complexity,2016,9,4
Banking Supervision and Regulation,2014,12,4
"Banking, Financial Crises, and Behavioral Finance (E4, G1)",2015,8,4
"Banking, Regulation, and the Real Economy",2015,11,4
Bankruptcy and Distress,2011,12,4
Bankruptcy and Distress,2012,10,4
Bankruptcy and Distress,2013,10,4
Bankruptcy and Distress,2016,9,3
Banks and the Macroeconomy: Transmission Channels,2011,9,4
"Banks in International Trade (F3, F1)",2015,10,4
"Banks, Credit Constraints and International Business Cycles",2011,9,4
"Banks, Downturns, and Disasters",2016,8,4
"Banks, Government Intervention and Deregulation (G2, E5)",2015,10,4
"Banks, Sovereign Risk and Currency Wars",2014,7,3
Banks: Risk-Taking and Opaqueness,2012,9,4
Bargaining and Competition in Health Care Markets,2011,6,3
Bargaining for Quality: Labor Management Relations and the Delivery of High Quality Health Care,2012,12,4
Bargaining Theory and Experiments,2018,8,4
Barriers to Boardrooms,2019,10,3
Barriers to Education in Developing Countries,2014,6,3
Barriers to the Success of Female Owned Microenterprises,2018,11,4
Basic Income: The Past and the Present,2018,4,4
Bayesian and Likelihood Methods,2019,10,4
"Becoming Applied: The Transformation of Economics after 1970 (B2, B4)",2016,6,4
Behavioral and Experimental Economics Insights for Agri-environmental Challenges,2018,12,4
"Behavioral and Neuroeconomics (D8, C9)",2015,8,4
Behavioral Approaches to Adoption of Green Technologies,2013,9,4
Behavioral Asset Pricing,2014,7,3
Behavioral CEOs,2016,10,4
Behavioral Corporate Finance,2013,6,3
Behavioral Corporate Finance,2018,8,3
Behavioral Corporate Finance,2019,11,4
Behavioral Corporate Finance - The Role of CEO Traits and Biases,2011,7,3
"Behavioral Development Economics - New Theory and Evidence (O1, D9)",2016,7,4
Behavioral Economics and Consumer Regulation,2011,7,3
"Behavioral Economics and Energy (Q4, D1)",2015,12,4
Behavioral Economics and Health,2012,10,3
Behavioral Economics and Public Policy,2014,12,4
Behavioral Economics in the Classroom,2015,5,3
Behavioral Economics in the Field,2018,12,4
Behavioral Finance,2016,24,10
Behavioral Finance,2018,12,4
Behavioral Finance - Corporate,2012,12,4
Behavioral Finance - Individual Behavior,2011,8,4
Behavioral Finance - Markets,2012,8,4
"Behavioral Finance and Consumer Choice (D1, G2)",2016,12,4
Behavioral Finance-Individuals,2013,8,4
Behavioral Finance:  Financial Market Anomalies and a Nobel Prize,2018,8,3
Behavioral Finance: Corporate,2011,6,3
Behavioral Finance: Investor Behavior,2018,9,3
Behavioral Finance: Investor Behavior and Asset Prices,2016,10,3
Behavioral Hedonics: New Insights for Environmental Valuation,2019,8,4
"Behavioral Interventions and Energy (Q4, C9)",2015,12,4
"Behavioral Interventions and Environmental Sustainability (D1, Q4)",2016,14,4
Behavioral Macroeconomics,2018,5,4
"Behavioral Models of Housing Cycles (G1, R2)",2016,11,4
Behavioral Political Economy,2015,8,4
Behavioral Real Estate,2018,11,4
Behavioral Responses to Government Programs,2012,7,4
"Behavioral Responses to Health Information (I1, H8)",2015,11,4
Behavioral Responses to Nonlinear Insurance Prices,2013,10,4
Behavioral Responses to Taxation,2014,8,4
Behavioral Responses to Taxation,2016,10,5
Behavioral Welfare Economics,2012,8,4
Behind the Scenes: Current Research on Unions as Organizations,2011,6,3
Belief Heterogeneity in Asset and Insurance Markets,2013,7,4
Beliefs Distortions and Welfare,2013,7,3
"Beyond GDP, Beyond Sarkozy? Towards A National Success Indicator",2011,4,4
Beyond Say’s Law: Reappraising Jean-Baptiste Say’s Political Economy,2018,3,3
Big Data and High-Dimensional Problems,2014,6,4
Big Data and the Cross-section of Stock Returns,2018,13,4
Big Data In Macroeconomics: New Insights from Large Administrative Datasets,2014,10,3
Big Data in Spatial Economics,2019,17,5
"Big Data in the Labor Market: New Research from Job Boards and Networking Sites (J6, C8)",2016,8,4
Big Data in the Modern Economy,2019,15,4
Big Data in Time Series: Factor Models,2018,8,4
"Big Data, Consumer Behavior, Energy and Climate Change",2019,15,4
"Big Data, New Data",2013,12,4
"Big Data: Challenges and Insights for Causal Inference (C8, C1)",2016,10,4
Bilateral Contracting,2012,7,3
Black Women and Work,2019,6,5
Blockchain and Cryptocurrencies,2019,6,3
Blockchain and Tokenomics,2019,10,4
Blockchain Economy and Cryptocurrency Markets,2019,7,3
Board Composition and Firm Performance,2014,9,4
Board of Directors,2011,12,4
Bond Markets,2016,9,4
Bonds and CDS Markets,2012,7,3
"Book Symposium: Foundations of Economic Evolution by Carsten Herrmann-Pillath (B4, Y8)",2015,5,5
"Borrower Behavior, and Mortgage Losses",2019,8,4
Borrowing and Lending,2011,7,4
Bounded Rationality,2013,6,4
Bounded Rationality and Markets,2014,7,4
"Bounded Rationality, Level-k Reasoning, and Cognitive Hierarchies",2018,6,4
"Bounded Rationality, Switching Costs and Competitive Strategies",2013,4,3
"Brain Drain, Gain and Circulation (F2, O3)",2016,12,4
Bridging the Academy and Public Policy: A Session in Honor of Marcus Alexis,2014,7,4
Bringing Economic Research into Public Policy Discussions,2019,5,3
Broadband and the Economy,2011,6,3
Broken Promises or a Lifeline to the Future: Perspectives on the Multiemployer Pension Reform Act of 2014,2016,5,4
Bubbles and Financial Crisis,2012,9,4
Bubbles and Real Estate Cycles,2013,9,4
Buddhist Economics,2019,4,4
Building a Sustainable Biomedical Research Workforce,2014,5,3
Building the Good Society: Challenges and Considerations,2018,5,5
Bunching Evidence on Responses to Taxation and Regulation,2019,11,4
Bureaucrats and Politicians: Experimental and Quasi-Experimental Studies,2016,15,4
Bureaucrats in Developing Countries,2018,8,4
Business and Financial Issues in Minority Economic Development,2014,5,4
Business Cycle Effects: Hours and Gender Gap,2014,3,3
Business Cycles,2015,6,4
Business Cycles,2018,9,3
"Business Cycles, Household Formation, and Demographic Changes",2013,7,4
"Business Cycles, Volatility and Uncertainty",2012,10,4
"Buyer-Supplier Relationships in International Trade (F1, F6)",2015,12,4
Can Fiscal Adjustments Contribute to Solve Global Imbalances?,2011,7,4
Capital Constraints in the Crisis: Empirical Evidence,2014,7,3
"Capital Controls (F3, E6)",2016,14,4
Capital Controls and Macro-Prudential Policies,2014,10,4
Capital Controls and the International Monetary System,2013,9,4
Capital Flows and Business Cycles,2015,14,4
Capital Flows in the International Monetary System,2018,11,4
"Capital Flows, Credit and Assets Cycles, and Macroprudential and Exchange Rate Policies (F3, F4)",2015,13,5
"Capital Flows, Currencies, and International Arbitrage",2019,13,4
"Capital Flows, Financial Stability and Macroprudential Policies",2013,9,4
"Capital Flows, Volatility, and Sovereign Debt",2018,6,3
Capital Investment,2012,8,3
Capital Requirements and Monetary Policy,2019,11,5
Capital Structure,2011,5,3
Capital Structure,2012,11,4
Capital Structure,2013,8,4
Capital Structure,2018,8,3
Capital Structure - Beyond Debt and Equity,2011,8,4
Capital Structure (Leverage),2019,8,3
Capital Structure and Cash Holdings,2016,5,3
Capital Structure and Firm Organization,2012,9,4
Capital Structure Theory,2014,6,3
"Capital Structure, Production, and Labor",2014,9,4
"Capital, Knowledge and Diffusion on the Path to the Industrial Revolution",2016,8,4
Capital: Human and Otherwise,2011,6,4
Capitalist Development in the Periphery,2019,4,4
Capitalization of Local Amenities,2012,8,4
Carbon Leakage,2012,11,4
"Care, Time Use and Work",2018,11,4
Caring Labor and the Macroeconomy,2011,7,4
Carrots and Coercion in Labor Mobility and Economic Development,2019,9,4
Causal Effects of Vietnam-Era Military Service on Health and Welfare,2011,9,4
Causes and Consequences of Credit Default Swap Trading,2013,10,4
Causes and Consequences of Rising Concentration in the United States Economy,2019,7,4
Causes and Consequences of Split-Household Migration,2013,12,4
Causes and Consequences of Unemployment: New Microeconomic Evidence and Perspectives,2012,7,3
"Causes and Consequences of Women's Empowerment (D1, I3)",2016,7,4
Causes of Health Differences,2015,10,5
Causes of the Great Recession and the Prospects for Recovery,2016,5,3
Celebrating the 30th Anniversary of the Publication of Gary Becker's Treatise on the Family,2012,5,4
Censorship,2019,9,4
Central Bank Communications,2018,5,3
Central Bank Independence: Reality or Myth?,2013,5,4
"Central Bank Policy and CCP's (G2, E5)",2015,11,4
Central Banks and Macro Finance,2018,9,3
Central Banks’ Corporate Bond Purchases: Impact and Channels,2019,12,4
CEO Incentives and Compensation,2015,9,4
CEOs,2015,8,4
CEOs and Entrepreneurs,2018,7,3
CEOs/CFOs/Boards,2016,6,3
Challenges for Latin America,2019,3,2
Challenges for the Chinese Labor Market,2013,12,5
Challenges of Closing the Racial Wealth Gap,2012,6,3
Changes in State Right-to-Work and Prevailing Wage Laws,2014,7,3
"Changes in the Labor Market (J3, J6)",2016,9,4
"Changing Conditions of Work: Garment Industry, Casinos, Self Service",2014,4,3
"Changing Markets and Space (R3, G2)",2016,8,4
Channels of Monetary Transmission,2018,11,4
Chapter-Advisor Session,2011,9,4
"Charitable Giving and Natural Disasters (D6, H4)",2016,8,3
Charitable Giving and Tax Policy,2014,8,4
Charitable Giving: Explaining Contributions,2014,13,4
"Charter Schools: Replication, Selection, and Spillovers",2019,11,4
Chasing Alpha,2014,9,4
"Chatting, Bonding, Bribing - How Social Interaction Affects Other-Regarding Behavior",2011,9,4
Chicago and Democracy,2012,4,3
"Child and Maternal Health (I1, J1)",2016,9,4
"Child Care, Mother's Time, and Familial Well- being",2013,8,4
Child Health in Developing Countries,2013,9,4
Children,2014,7,5
"Children and Labor Market Outcomes (J1, J2)",2015,5,3
"Children, Family Structures, and Human Capital",2014,6,4
Children’s Health and Education in China,2012,11,5
China,2019,12,5
"China and the Future of Climate Policy (Q5, O5)",2015,12,4
China and the World Economy,2013,9,4
China's eCommerce Development,2016,10,4
China's National Carbon Market,2018,6,4
Chinese Consumption and Saving Behavior: Evidence from Household Survey Data,2016,11,4
"Chinese Economic Data: Users' Guide (P2, E2)",2016,6,4
"Chinese Housing Market: Facts and Consequences (R1, E3)",2016,12,4
"Chinese Housing Markets (R2, O1)",2016,13,4
Choice Theory,2011,7,4
Choice Theory,2015,6,4
Choosing a College and Finishing College,2013,9,4
Chronic Underemployment? Causes and Consequences for Labor Markets and Well Being,2018,5,4
"Cities, Equity, and Labor Market Policies",2016,6,4
City Size and Land Development,2011,9,4
Claiming and Eligibility for Social Insurance Programs Using Administrative Data,2011,10,4
Class and the Social Provisioning Process,2015,6,5
Climate,2014,15,5
Climate and Energy Policy,2012,5,4
Climate Change Adaptation,2019,7,3
Climate Change and Valuation,2013,9,4
Climate Change in Developing Countries,2018,9,4
Climate Change Policy after Kyoto,2014,11,4
Climate Change Policy Design,2011,5,3
Climate Change Policy in a Risky World,2012,5,4
Climate Change: Connecting Theory with Empirics,2018,9,4
Climate Change: Impacts and Opportunities for Adaptation,2019,9,4
Climate Mitigation and Adaptation,2011,9,4
Climate Policy and Trade,2018,7,3
"Closing Gender Gaps By Design: Context, Confidence, and Other Excuses",2018,10,4
"Co-Operation, Conflict and Power: Households, Markets and the Policy Domain",2019,7,3
"CoCos: Funding Costs, Risks and Financial Stability (G2, E5)",2016,12,4
Cognitive and Selection Biases: Implications for Interpreting and Identifying Subjective Well-Being Models,2014,9,4
Cognitive Economics,2019,8,4
"Cognitive Human Capital, Growth and Wealth – Perspectives of Economics and Psychology",2014,9,5
"Cognitive, Non-Cognitive Skills, and Contracts on Marital Outcomes",2014,7,4
Cohort Effects: Sources and Implications,2018,12,4
"College Access, College Choice, and College Success",2013,8,4
College Major Choice,2018,5,3
Commercial Real Estate,2013,7,3
Commercial Real Estate,2014,11,4
"Commercial Real Estate (G1, R3)",2016,12,4
Commercial Real Estate 2,2019,9,4
Commercial Real Estate I,2019,9,4
"Commercial Real Estate Performance (G1, R3)",2015,10,4
Commercial Real Estate: Acquisition and Capital Flows,2018,9,4
Commercial Real Estate: Investment Performance,2018,11,4
Commercial Real Estate: Valuation,2018,9,4
Commodities,2016,9,4
"Commodity Creation as a Historical Process (P1, N8)",2015,6,5
Common-Pool Resources,2019,9,4
"Commons Approach to Social Control in the 21st Century: Firms, Communities and Households as Going Concerns",2014,8,5
Communication in Experiments,2012,8,4
"Communication, Conscience, and Efficiency",2012,10,4
"Communication, Guilt and Deception (D8, C9)",2015,7,4
Community Unionism: A Cross-National Comparative Analysis,2011,4,4
Comparative Perspectives on Investment Funds and their Impact on Employment and Labor Relations,2012,6,3
Compensation and Agency,2016,10,4
Compensation and Agency,2018,5,3
Compensation and Incentives,2013,8,3
"Compensation and Rents in the Finance Industry (J3, G2)",2015,10,4
Compensation in Mutual Fund Management,2018,11,4
"Competing Monetary Strategies, Where Do We Go from Here?",2013,7,4
Competition,2015,10,5
Competition and Productive Efficiency,2012,9,5
Competition and Regulation in Pharmaceutical Markets,2015,12,4
Competition in Digital Buyer-supplier platforms,2018,8,4
"Competition, Contracting Frictions, and Commodity Markets: Implications for Asset Prices",2016,10,4
"Competition, Fares and Quality of Service in the Airline Industry",2011,9,4
"Competition, Hospitals' Negotiated Prices, and Health Care Spending (I1, L1)",2016,13,4
Competitiveness and the Environment,2011,8,4
"Complexity, Planning, Sustainability, and Survival",2018,6,5
Computational Macro and Financial Market Imperfections,2012,6,3
Computational Macro and Monetary Economics,2011,8,3
Computational Solutions to Optimal Policy Problems,2014,10,4
Conceptualizing Labor,2019,5,4
"Conduct, Regulation, and Investment in Restructured Electricity Markets",2012,11,5
"Confidence, Animal Spirits and Business Cycles",2018,8,3
Conflict and Development,2015,5,3
Conflict and Governance,2019,6,4
"Conflict, Violence and Power",2012,10,5
"Conflict: Beginnings, Ends, and Aftermaths",2011,6,4
Confronting Stagnant Compensation,2016,4,4
Congestion and Transportation,2018,6,4
Conglomerates and Alliances: New Perspectives,2011,9,4
Consequences of Gendered Labor Markets,2018,7,4
Consequences of Health Reform for Private Markets: Evidence from Public Sector Regulations,2013,7,4
Consumer Choice and Energy Demand: Empirical Policy Evaluations,2013,9,4
"Consumer Choice and Welfare Through a Behavioral Lens: Empirical Evidence from Low-Income Populations (D1, D8)",2015,11,4
"Consumer Choice, Public Policy and Nutrition",2012,6,3
Consumer Credit,2012,8,4
Consumer Credit Behavior,2015,13,5
Consumer Demand and Conservation,2011,9,5
"Consumer Finance:  Demand, Public Policy, and Market Equilibrium",2019,12,4
Consumer Financial Protection,2011,11,4
Consumer Rationality and Financial Decision Making,2012,13,4
Consumer Responses to Financial Market Incentives,2011,11,4
"Consumers, Debt, and Social Provisioning",2015,6,5
Consumption and Debt Response to Income Shocks,2014,11,4
Consumption and Space,2019,12,3
Contagion in Financial Networks,2018,10,3
Contemporary Challenges: East and West,2018,6,5
Contests: Theory and Experiments,2011,5,4
Continuous Time Econometrics,2011,9,4
Contraception and Abortion,2013,6,5
Contract Governance,2018,6,3
Contract Theory,2013,7,4
"Contract Theory, Political Economy",2011,9,4
Contracting,2016,9,4
Contracts and Complexity,2019,7,3
Contracts and Incentives,2018,9,3
Contracts and Incentives,2019,12,4
Contracts and Institutions,2012,8,4
"Contracts, Coalitions, and Cooperation",2018,7,4
"Contracts, Incentives and Firms",2015,7,3
"Contractual Issues in Developing Countries (O1, D8)",2016,11,4
"Contributed Papers in Consumer Hospital Choice, Health Expenditures in China, and Hospital Outpatient Payment Effects",2011,8,3
Contributed Papers in Health Economics,2018,10,3
Contributed Papers in Health Economics,2019,6,3
"Contributed Papers in Physician Practices, Commercial Insurance, and HMO Penetration (I1, D4)",2016,7,3
