author,author-corrected,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,,,,,
LEONARD BURMAN,Leonard Burman,Male,,,,,,,,,,
NORMA COE,Norma Coe,Female,,,,,,,,,,
OWEN LAMONT,Owen Lamont,Male,,,,,,,,,,
HARRISON HONG,Harrison Hong,Male,,,,,,,,,,
JOSEPH CHEN,Joseph Chen,Male,,,,,,,,,,
LEONID KOGAN,Leonid Kogan,Male,,,,,,,,,,
JOHN HEATON,John Heaton,Male,,,,,,,,,,
YEUNG LEWIS CHAN,Yeung Lewis Chan,Male,,,,,,,,,,
ADAM REED,Adam Reed,Male,,,,,,,,,,
MATTHEW RICHARDSON,Matthew Richardson,Male,,,,,,,,,,
ELI OFEK,Eli Ofek,Male,,,,,,,,,,
PIETRO VERONESI,Pietro Veronesi,Male,,,,,,,,,,
ALEXANDER DAVID,Alexander David,Male,,,,,,,,,,
MARTIN LETTAU,Martin Lettau,Male,,,,,,,,,,
ARVIND KRISHNAMURTHY,Arvind Krishnamurthy,Male,,,,,,,,,,
DARRELL DUFFIE,Darrell Duffie,Male,,,,,,,,,,
GREGORY DUFFEE,Gregory Duffee,Male,,,,,,,,,,
W. ERWIN DIEWERT,W. Erwin Diewert,Male,ERWIN DIEWERT,,,,,,,,,
CHRISTIAN EHEMAN,Christian Eheman,Male,,,,,,,,,,
J. CHRISTINA WANG,J. Christina Wang,Female,CHRISTINA WANG,,,,,,,,,
DENNIS FIXLER,Dennis Fixler,Male,,,,,,,,,,
CHARLES FLEISCHMAN,Charles Fleischman,Male,,,,,,,,,,
WILLIAM GULLICKSON,William Gullickson,Male,,,,,,,,,,
MICHAEL HARPER,Michael Harper,Male,,,,,,,,,,
BRIAN SLIKER,Brian Sliker,Male,,,,,,,,,,
LARRY ROSENBLUM,Larry Rosenblum,Male,,,,,,,,,,
RANDAL KINOSHITA,Randal Kinoshita,Male,,,,,,,,,,
STEVE BERRY,Steve Berry,Male,,,,,,,,,,
DAN SICHEL,Dan Sichel,Male,,,,,,,,,,
DIETMAR MOCH,Dietmar Moch,Male,,,,,,,,,,
DANIEL WILSON,Daniel Wilson,Male,,,,,,,,,,
DAVID POPP,David Popp,Male,,,,,,,,,,
M. ISHAQ NADIRI,M. Ishaq Nadiri,Male,,,,,,,,,,
RALPH BRADLEY,Ralph Bradley,Male,,,,,,,,,,
WALTER OI,Walter Oi,Male,,,,,,,,,,
SHANTANU DUTTA,Shantanu Dutta,Male,,,,,,,,,,
GEORG MULLER,Georg Muller,Male,,,,,,,,,,
MARK BERGEN,Mark Bergen,Male,,,,,,,,,,
DANIEL LEVY,Daniel Levy,Male,,,,,,,,,,
MARK DOMS,Mark Doms,Male,,,,,,,,,,
MELVYN FUSS,Melvyn Fuss,Male,,,,,,,,,,
CHRISTOPHER FORMAN,Christopher Forman,Male,,,,,,,,,,
EDUARDO LEY,Eduardo Ley,Male,,,,,,,,,,
DAVID JOHNSON,David Johnson,Male,,,,,,,,,,
CHRISTOPHER HOUSE,Christopher House,Male,,,,,,,,,,
TOM COOLEY,Tom Cooley,Male,,,,,,,,,,
RAMON MARIMON,Ramon Marimon,Male,,,,,,,,,,
JIANG WANG,Jiang Wang,Male,,,,,,,,,,
LU ZHANG,Lu Zhang,Male,,,,,,,,,,
VALERY POLKOVNICHENKO,Valery Polkovnichenko,Male,,,,,,,,,,
RUSS COOPER,Russ Cooper,Male,,,,,,,,,,
JOAO EJARQUE,Joao Ejarque,Male,,,,,,,,,,
ANDREW WEISS,Andrew Weiss,Male,,,,,,,,,,
ARTURO GALINDO,Arturo Galindo,Male,,,,,,,,,,
JENNY MINIER,Jenny Minier,Female,,,,,,,,,,
FABIO SCHIANTARELLI,Fabio Schiantarelli,Male,,,,,,,,,,
BURTON HOLLIFIELD,Burton Hollifield,Male,,,,,,,,,,
STEVE BOND,Steve Bond,Male,,,,,,,,,,
INESSA LOVE,Inessa Love,Female,,,,,,,,,,
R.GLENN HUBBARD,R.Glenn Hubbard,Male,GLENN HUBBARD,,,,,,,,,
CHARLES HIMMELBERG,Charles Himmelberg,Male,,,,,,,,,,
RICHARD LYONS,Richard Lyons,Male,,,,,,,,,,
PETER BLAIR HENRY,Peter Blair Henry,Male,,,,,,,,,,
ANUSHA CHARI,Anusha Chari,Female,,,,,,,,,,
CARA LOWN,Cara Lown,Female,,,,,,,,,,
DONALD MORGAN,Donald Morgan,Male,,,,,,,,,,
JOHN VAN REENEN,John Van Reenen,Male,,,,,,,,,,
NICHOLAS BLOOM,Nicholas Bloom,Male,,,,,,,,,,
KATHY YUAN,Kathy Yuan,Female,,,,,,,,,,
LUIGI ZINGALES,Luigi Zingales,Male,,,,,,,,,,
PAOLA SAPIENZA,Paola Sapienza,Female,,,,,,,,,,
NICK SOULELES,Nick Souleles,Male,,,,,,,,,,
ANN HUFF STEVENS,Ann Huff Stevens,Female,,,,,,,,,,
MARIANNE PAGE,Marianne Page,Female,,,,,,,,,,
JOSEPH HOTZ,Joseph Hotz,Male,,,,,,,,,,
JANET CURRIE,Janet Currie,Female,,,,,,,,,,
LENA EDLUND,Lena Edlund,Female,,,,,,,,,,
SUSAN DYNARSKI,Susan Dynarski,Female,,,,,,,,,,
DAN LEVY,Dan Levy,Male,,,,,,,,,,
MICHAEL KREMER,Michael Kremer,Male,,,,,,,,,,
ANDREW METRICK,Andrew Metrick,Male,,,,,,,,,,
SENDHIL MULLAINATHAN,Sendhil Mullainathan,Male,,,,,,,,,,
JOY ISHII,Joy Ishii,Female,,,,,,,,,,
BERNADETTE MINTON,Bernadette Minton,Female,,,,,,,,,,
JEFF WURGLER,Jeff Wurgler,Male,,,,,,,,,,
KAREN WRUCK,Karen Wruck,Female,,,,,,,,,,
MATTHIAS KAHL,Matthias Kahl,Male,,,,,,,,,,
MANJU PURI,Manju Puri,Female,,,,,,,,,,
AYDOGAN ALTI,Aydogan Alti,Male,,,,,,,,,,
AMNON LEVY,Amnon Levy,Male,,,,,,,,,,
GEORGE BAKER,George Baker,Male,,,,,,,,,,
CHESTER SPATT,Chester Spatt,Male,,,,,,,,,,
SIMEON DJANKOV,Simeon Djankov,Male,,,,,,,,,,
ANDREI SHLEIFER,Andrei Shleifer,Male,,,,,,,,,,
TATIANA NENOVA,Tatiana Nenova,Female,,,,,,,,,,
CARLEE MCLEISH,Carlee Mcleish,Female,,,,,,,,,,
REBECCA MENES,Rebecca Menes,Female,,,,,,,,,,
RYAN JOHNSON,Ryan Johnson,Male,,,,,,,,,,
PAUL RHODE,Paul Rhode,Male,,,,,,,,,,
KOLEMAN STRUMPH,Koleman Strumph,Male,,,,,,,,,,
JOHN WALLIS,John Wallis,Male,,,,,,,,,,
RICHARD SYLLA,Richard Sylla,Male,,,,,,,,,,
THOMAS PIKETTY,Thomas Piketty,Male,,,,,,,,,,
CAROLYN MOEHLING,Carolyn Moehling,Female,,,,,,,,,,
WILLIAM HORRACE,William Horrace,Male,,,,,,,,,,
BENJAMIN CHABOT,Benjamin Chabot,Male,,,,,,,,,,
FARLEY GRUBB,Farley Grubb,Male,,,,,,,,,,
LANCE DAVIS,Lance Davis,Male,,,,,,,,,,
LARRY NEAL,Larry Neal,Male,,,,,,,,,,
MATTHEW KAHN,Matthew Kahn,Male,,,,,,,,,,
THOMAS COOLEY,Thomas Cooley,Male,,,,,,,,,,
NEZIH GUNER,Nezih Guner,Male,,,,,,,,,,
JOHN KNOWLES,John Knowles,Male,,,,,,,,,,
ROBERT E. HALL,Robert E. Hall,Male,ROBERT HALL,,,,,,,,,
ATHANASIOS ORPHANIDES,Athanasios Orphanides,Male,,,,,,,,,,
BENNETT MCCALLUM,Bennett Mccallum,Male,,,,,,,,,,
STEPHANIE SCHMITT-GROHE,Stephanie Schmitt-Grohe,Female,STEFANIE SCHMITT-GROHE,,,,,,,,,
V.V. CHARI,V.V. Chari,Male,Varadarajan V. Chari,,,,,,,,,
MARTIN URIBE,Martin Uribe,Male,,,,,,,,,,
KARL WHELAN,Karl Whelan,Male,,,,,,,,,,
CHANG-TAI HSIEH,Chang-Tai Hsieh,Male,Â  CHANG-TAI HSIEH,,,,,,,,,
FLORENCIO LOPEZ-DE-SILANES,Florencio Lopez-De-Silanes,Male,Florencio Lopez de Silanes,,,,,,,,,
RAFAEL LA PORTA,Rafael La Porta,Male,RAFAEL LAPORTA,George Washington University Rafael La Porta,,,,,,,,
JOHN C. WILLIAMS,John C. Williams,Male,JOHN WILLIAMS,,,,,,,,,
SIMON GILCHRIST,Simon Gilchrist,Male,,,,,,,,,,
JON BAKIJA,Jon Bakija,Male,,,,,,,,,,
JULIE BERRY CULLEN,Julie Berry Cullen,Female,JULIE CULLEN,,,,,,,,,
ROGER GORDON,Roger Gordon,Male,,,,,,,,,,
JOHN KARL SCHOLZ,John Karl Scholz,Male,,,,,,,,,,
JENNIFER WARD-BATTS,Jennifer Ward-Batts,Female,,,,,,,,,,
WALLACE OATES,Wallace Oates,Male,,,,,,,,,,
KENNETH CHAY,Kenneth Chay,Male,,,,,,,,,,
GEOFFREY HEAL,Geoffrey Heal,Male,,,,,,,,,,
TALBOT PAGE,Talbot Page,Male,,,,,,,,,,
BENJAMIN VAN ROY,Benjamin Van Roy,Male,,,,,,,,,,
CAROLYN FISCHER,Carolyn Fischer,Female,,,,,,,,,,
RICHARD ZECKHAUSER,Richard Zeckhauser,Male,,,,,,,,,,
SARAH WEST,Sarah West,Female,,,,,,,,,,
ARIK LEVINSON,Arik Levinson,Male,,,,,,,,,,
GILBERT METCALF,Gilbert Metcalf,Male,,,,,,,,,,
SCOTT NIEMANN,Scott Niemann,Male,,,,,,,,,,
CHARLES MASON,Charles Mason,Male,,,,,,,,,,
V. KERRY SMITH,V. Kerry Smith,Male,KERRY SMITH,,,,,,,,,
JASON SHOGREN,Jason Shogren,Male,,,,,,,,,,
CHAD SETTLE,Chad Settle,Male,,,,,,,,,,
HELMUTH CREMER,Helmuth Cremer,Male,,,,,,,,,,
FIROUZ GAHVARI,Firouz Gahvari,Male,,,,,,,,,,
NORBERT LADOUX,Norbert Ladoux,Male,,,,,,,,,,
DAVID KELLY,David Kelly,Male,,,,,,,,,,
RICHARD NEWELL,Richard Newell,Male,,,,,,,,,,
JAMES HAMMITT,James Hammitt,Male,,,,,,,,,,
MAUREEN CROPPER,Maureen Cropper,Female,,,,,,,,,,
KATJA VINHA,Katja Vinha,Female,,,,,,,,,,
ANTONIO BENTO,Antonio Bento,Male,,,,,,,,,,
ALAN KRUPNICK,Alan Krupnick,Male,,,,,,,,,,
NATHALIE SIMON,Nathalie Simon,Female,,,,,,,,,,
ANNA ALBERINI,Anna Alberini,Female,,,,,,,,,,
NORMAN SWANSON,Norman Swanson,Male,,,,,,,,,,
PETER REINHARD HANSEN,Peter Reinhard Hansen,Male,PETER HANSEN,,,,,,,,,
JERRY HAUSMAN,Jerry Hausman,Male,,,,,,,,,,
GUIDO KUERNSTEINER,Guido Kuernsteiner,Male,,,,,,,,,,
ATSUSHI INOUE,Atsushi Inoue,Male,,,,,,,,,,
MARK WATSON,Mark Watson,Male,,,,,,,,,,
JUSHAN BAI,Jushan Bai,Male,,,,,,,,,,
BRIAN SACK,Brian Sack,Male,,,,,,,,,,
ROBERTO RIGOBON,Roberto Rigobon,Male,,,,,,,,,,
PAUL LABYS,Paul Labys,Male,,,,,,,,,,
TIMOTHY BOLLERSLEV,Timothy Bollerslev,Male,,,,,,,,,,
GRAHAM ELLIOT,Graham Elliot,Male,,,,,,,,,,
ALLAN TIMMERMAN,Allan Timmerman,Male,,,,,,,,,,
MICHAEL JANSSON,Michael Jansson,Male,,,,,,,,,,
ERIC GHYSELS,Eric Ghysels,Male,,,,,,,,,,
L. MOON,L. Moon,Unknown,,,,,,,,,,
P. MOISE,P. Moise,Male,,,,,,,,,,
M. JEE-HUGUES,M. Jee-Hugues,Male,,,,,,,,,,
STEPHANE JACOBZONE,Stephane Jacobzone,Male,,,,,,,,,,
ROBERT TOWN,Robert Town,Male,,,,,,,,,,
GAUTUM GOWRISANKARAN,Gautum Gowrisankaran,Male,,,,,,,,,,
WILLARD MANNING,Willard Manning,Male,,,,,,,,,,
JEANETTE MORRISON,Jeanette Morrison,Female,,,,,,,,,,
DAVID MELTZER,David Meltzer,Male,,,,,,,,,,
THOMAS MROZ,Thomas Mroz,Male,,,,,,,,,,
DONNA GILLESKIE,Donna Gilleskie,Female,,,,,,,,,,
ROBERT HUCKMAN,Robert Huckman,Male,,,,,,,,,,
JOHN MULLAHY,John Mullahy,Male,,,,,,,,,,
AMY FINKELSTEIN,Amy Finkelstein,Female,,,,,,,,,,
DANA GOLDMAN,Dana Goldman,Male,,,,,,,,,,
IVO WELCH,Ivo Welch,Male,,,,,,,,,,
SUSHIL BIKHCHANDANI,Sushil Bikhchandani,Male,,,,,,,,,,
AMITABH CHANDRA,Amitabh Chandra,Male,,,,,,,,,,
LAURENCE BAKER,Laurence Baker,Male,,,,,,,,,,
SANDRA DECKER,Sandra Decker,Female,,,,,,,,,,
ABIGAIL TAY,Abigail Tay,Female,,,,,,,,,,
JOHN CAWLEY,John Cawley,Male,,,,,,,,,,
ROSALIE LICCARDO PACULA,Rosalie Liccardo Pacula,Female,ROSALIE PACULA,,,,,,,,,
HENRY WECHSLER,Henry Wechsler,Male,,,,,,,,,,
JENNY WILLIAMS,Jenny Williams,Female,,,,,,,,,,
FRANK J. CHALOUPKA,Frank J. Chaloupka,Male,FRANK CHALOUPKA,,,,,,,,,
CHRISTOPHER J. RUHM,Christopher J. Ruhm,Male,,,,,,,,,,
WILLIAM BLACK,William Black,Male,,,,,,,,,,
ADRIANA LLERAS-MUNEY,Adriana Lleras-Muney,Female,,,,,,,,,,
ALAN MATHIOS,Alan Mathios,Male,,,,,,,,,,
DEAN LILLARD,Dean Lillard,Male,,,,,,,,,,
JESS BENHABIB,Jess Benhabib,Male,,,,,,,,,,
MARCO BASSETTO,Marco Bassetto,Male,,,,,,,,,,
RAVI BANSAL,Ravi Bansal,Male,,,,,,,,,,
ALEX MONGE,Alex Monge,Male,,,,,,,,,,
WILLIAM DUPOR,William Dupor,Male,,,,,,,,,,
ANDREAS LEHNERT,Andreas Lehnert,Male,,,,,,,,,,
CHARLES CARLSTROM,Charles Carlstrom,Male,,,,,,,,,,
TIM FUERST,Tim Fuerst,Male,,,,,,,,,,
BOYAN JOVANOVIC,Boyan Jovanovic,Male,,,,,,,,,,
PETER L. ROUSSEAU,Peter L. Rousseau,Male,PETER ROUSSEAU,,,,,,,,,
J. DAVID LOPEZ-SALIDO,J. David Lopez-Salido,Male,J. DAVID LÓPEZ-SALIDO,D. LÓPEZ-SALIDO,DAVID LOPEZ-SALIDO,DAVID LOPEZ SALIDO,David López-Salido,,,,,
JORDI GALI,Jordi Gali,Male,,,,,,,,,,
MARK GERTLER,Mark Gertler,Male,,,,,,,,,,
SEVIN YELTEKIN,Sevin Yeltekin,Female,,,,,,,,,,
CHRISTOPHER SLEET,Christopher Sleet,Male,,,,,,,,,,
BENJAMIN EDEN,Benjamin Eden,Male,,,,,,,,,,
GADI BARLEVY,Gadi Barlevy,Male,,,,,,,,,,
ROBERT KING,Robert King,Male,,,,,,,,,,
ALEXANDER WOLMAN,Alexander Wolman,Male,,,,,,,,,,
AUBHIK KHAN,Aubhik Khan,Male,,,,,,,,,,
CHRISTIAN HAEFKE,Christian Haefke,Male,,,,,,,,,,
WOUTER DEN HAAN,Wouter Den Haan,Male,Wouter J. den Haan,,,,,,,,,
GAREY RAMEY,Garey Ramey,Male,,,,,,,,,,
PER KRUSELL,Per Krusell,Male,,,,,,,,,,
JOSE VICTOR RIOS-RULL,Jose Victor Rios-Rull,Male,JOSE-VICTOR RIOS-RULL,VICTOR RIOS-RULL,JOSE-VICTOR RIOS RULL,Jose Rios-Rull,José-Víctor Ríos-Rull,,,,,
PAUL KLEIN,Paul Klein,Male,,,,,,,,,,
ANDY LEVIN,Andy Levin,Male,,,,,,,,,,
YONA RUBINSTEIN,Yona Rubinstein,Male,,,,,,,,,,
JAMES FEYRER,James Feyrer,Male,,,,,,,,,,
GILLES SAINT PAUL,Gilles Saint Paul,Male,GILLES ST. PAUL,GILLES SAINT-PAUL,,,,,,,,
MEHMET YORUKOGLU,Mehmet Yorukoglu,Male,,,,,,,,,,
JEREMY GREENWOOD,Jeremy Greenwood,Male,,,,,,,,,,
ANANTH SHESHADRI,Ananth Sheshadri,Male,,,,,,,,,,
FRANCESCO GIAVAZZI,Francesco Giavazzi,Male,,,,,,,,,,
ODED GALOR,Oded Galor,Male,,,,,,,,,,
OMER MOAV,Omer Moav,Male,,,,,,,,,,
STEVEN DURLAUF,Steven Durlauf,Male,,,,,,,,,,
SIMON JOHNSON,Simon Johnson,Male,,,,,,,,,,
HENRY OVERMAN,Henry Overman,Male,,,,,,,,,,
PETER HOWITT,Peter Howitt,Male,,,,,,,,,,
DAVID MAYER-FOULKES,David Mayer-Foulkes,Male,,,,,,,,,,
WILLIAM EASTERLY,William Easterly,Male,,,,,,,,,,
JOHN HASSLER,John Hassler,Male,,,,,,,,,,
KJETIL STORESLETEN,Kjetil Storesleten,Male,,,,,,,,,,
FABRIZIO ZILIBOTTI,Fabrizio Zilibotti,Male,,,,,,,,,,
JOSE VINCENTE RODRIGUEZ MORA,Jose Vincente Rodriguez Mora,Male,,,,,,,,,,
JEFFREY SACHS,Jeffrey Sachs,Male,,,,,,,,,,
JORDAN RAPPAPORT,Jordan Rappaport,Male,,,,,,,,,,
ARIEL PAKES,Ariel Pakes,Male,,,,,,,,,,
RON SHACHAR,Ron Shachar,Male,,,,,,,,,,
BHARAT ANAND,Bharat Anand,Male,,,,,,,,,,
DENNIS CARLTON,Dennis Carlton,Male,,,,,,,,,,
FIONA SCOTT MORTON,Fiona Scott Morton,Female,Fiona Scott-Morton,,,,,,,,,
FLORIAN ZETTELMEYER,Florian Zettelmeyer,Male,,,,,,,,,,
TOSHIAKI IIZUKA,Toshiaki Iizuka,Male,,,,,,,,,,
CHRISTOPHER KNITTEL,Christopher Knittel,Male,,,,,,,,,,
SHARON OSTER,Sharon Oster,Female,,,,,,,,,,
VICTOR STANGO,Victor Stango,Male,,,,,,,,,,
ROBERT GERTNER,Robert Gertner,Male,,,,,,,,,,
GLENN ELLISON,Glenn Ellison,Male,,,,,,,,,,
SARA FISHER ELLISON,Sara Fisher Ellison,Female,,,,,,,,,,
GREG CRAWFORD,Greg Crawford,Male,,,,,,,,,,
AMIL PETRIN,Amil Petrin,Male,,,,,,,,,,
PETER REISS,Peter Reiss,Male,,,,,,,,,,
DIETMAR HARHOFF,Dietmar Harhoff,Male,,,,,,,,,,
DAVID MOWERY,David Mowery,Male,,,,,,,,,,
RICHARD NELSON,Richard Nelson,Male,,,,,,,,,,
JENNY LANJOUW,Jenny Lanjouw,Female,,,,,,,,,,
SHANE GREENSTEIN,Shane Greenstein,Male,,,,,,,,,,
BRENT GOLDFARB,Brent Goldfarb,Male,,,,,,,,,,
GERARD DAGES,Gerard Dages,Male,,,,,,,,,,
JENNIFER CRYSTAL,Jennifer Crystal,Female,,,,,,,,,,
GRACIELA KAMINSKY,Graciela Kaminsky,Female,,,,,,,,,,
FERNANDO ALVAREZ,Fernando Alvarez,Male,,,,,,,,,,
MICO LORETAN,Mico Loretan,Male,,,,,,,,,,
DAVID SEKIGUCHI,David Sekiguchi,Male,,,,,,,,,,
MARCOS ANTONIO DA SILVEIRA,Marcos Antonio Da Silveira,Male,,,,,,,,,,
FERNANDO BRONER,Fernando Broner,Male,,,,,,,,,,
ILAN GOLDFAJN,Ilan Goldfajn,Male,,,,,,,,,,
LORENZA MARTINEZ,Lorenza Martinez,Female,,,,,,,,,,
ALEJANDRO WERNER,Alejandro Werner,Male,,,,,,,,,,
LUIS SERVEN,Luis Serven,Male,,,,,,,,,,
MICHAEL KUMHOF,Michael Kumhof,Male,,,,,,,,,,
SERGIO SCHMUKLER,Sergio Schmukler,Male,,,,,,,,,,
OYA CELASUN,Oya Celasun,Female,,,,,,,,,,
GUILLERMO CALVO,Guillermo Calvo,Male,,,,,,,,,,
CARLO COTARELLI,Carlo Cotarelli,Male,,,,,,,,,,
STEVE RADELET,Steve Radelet,Male,,,,,,,,,,
JOYCE CHANG,Joyce Chang,Female,,,,,,,,,,
RICHARD MARSTON,Richard Marston,Male,,,,,,,,,,
JOSE CAMPA,Jose Campa,Male,,,,,,,,,,
GIANCARLO CORSETTI,Giancarlo Corsetti,Male,,,,,,,,,,
PAOLO PESENTI,Paolo Pesenti,Male,,,,,,,,,,
LUISA LAMBERTINI,Luisa Lambertini,Female,,,,,,,,,,
MICHAEL DEPPLER,Michael Deppler,Male,,,,,,,,,,
PETER GARBER,Peter Garber,Male,,,,,,,,,,
ERIK NIELSEN,Erik Nielsen,Male,,,,,,,,,,
GEORGE HOGUET,George Hoguet,Male,,,,,,,,,,
CAROLINE ATKINSON,Caroline Atkinson,Female,,,,,,,,,,
TED TRUMAN,Ted Truman,Male,,,,,,,,,,
MOHAMED EL-ERIAN,Mohamed El-Erian,Male,,,,,,,,,,
DAVID HALE,David Hale,Male,,,,,,,,,,
FEDERICO STURZENEGGER,Federico Sturzenegger,Male,,,,,,,,,,
SHANG-JIN WEI,Shang-Jin Wei,Male,,,,,,,,,,
WOLFGANG KELLER,Wolfgang Keller,Male,,,,,,,,,,
SONIA PEREIRA,Sonia Pereira,Female,,,,,,,,,,
JONATHAN HASKEL,Jonathan Haskel,Male,,,,,,,,,,
JOHN ROMALIS,John Romalis,Male,,,,,,,,,,
ELHANAN HELPMAN,Elhanan Helpman,Male,,,,,,,,,,
SANGIN PARK,Sangin Park,Male,,,,,,,,,,
ALAN DEARDORFF,Alan Deardorff,Male,,,,,,,,,,
JOHN MCLAREN,John Mclaren,Male,,,,,,,,,,
SHUBHAM CHAUDHURI,Shubham Chaudhuri,Female,,,,,,,,,,
STEPHEN CAMERON,Stephen Cameron,Male,,,,,,,,,,
RAYMOND ROBERTSON,Raymond Robertson,Male,,,,,,,,,,
KYLE BAGWELL,Kyle Bagwell,Male,,,,,,,,,,
DAVID HUMMELS,David Hummels,Male,,,,,,,,,,
KALA KRISHNA,Kala Krishna,Female,,,,,,,,,,
CEMILE YAVAS,Cemile Yavas,Unknown,,,,,,,,,,
DANI RODRIK,Dani Rodrik,Male,,,,,,,,,,
ANNA MARIA MAYDA,Anna Maria Mayda,Female,ANA MARIA MAYDA,,,,,,,,,
PETRA TODD,Petra Todd,Female,,,,,,,,,,
JAMES J. HECKMAN,James J. Heckman,Male,JAMES HECKMAN,,,,,,,,,
LANCE LOCHNER,Lance Lochner,Male,,,,,,,,,,
STEVEN RIVKIN,Steven Rivkin,Male,,,,,,,,,,
JOHN KAIN,John Kain,Male,,,,,,,,,,
ERIC HANUSHEK,Eric Hanushek,Male,,,,,,,,,,
SUSUMU IMAI,Susumu Imai,Male,,,,,,,,,,
GARY BECKER,Gary Becker,Male,,,,,,,,,,
EDWARD GLAESER,Edward Glaeser,Male,,,,,,,,,,
JAMES R. WALKER,James R. Walker,Male,,,,,,,,,,
JOHN KENNAN,John Kennan,Male,,,,,,,,,,
MARKUS MOBIUS,Markus Mobius,Male,,,,,,,,,,
MARIANNE BERTRAND,Marianne Bertrand,Female,,,,,,,,,,
ESTHER DUFLO,Esther Duflo,Female,,,,,,,,,,
CAROLINE HOXBY,Caroline Hoxby,Female,,,,,,,,,,
LOWELL TAYLOR,Lowell Taylor,Male,,,,,,,,,,
MARTIN GAYNOR,Martin Gaynor,Male,,,,,,,,,,
MOSHE BUCHINSKY,Moshe Buchinsky,Male,,,,,,,,,,
DEREK NEAL,Derek Neal,Male,,,,,,,,,,
ROBERT TOPEL,Robert Topel,Male,,,,,,,,,,
LISA LYNCH,Lisa Lynch,Female,,,,,,,,,,
SANDRA E. BLACK,Sandra E. Black,Female,SANDRA BLACK,,,,,,,,,
ANYA KRIVELYOVA,Anya Krivelyova,Female,,,,,,,,,,
DAVID AUTOR,David Autor,Male,,,,,,,,,,
JOHN J. DONOHUE,John J. Donohue,Male,JOHN DONOHUE,,,,,,,,,
RUEBEN GRONAU,Rueben Gronau,Male,,,,,,,,,,
DANIEL HAMERMESH,Daniel Hamermesh,Male,,,,,,,,,,
ENRICO MORETTI,Enrico Moretti,Male,,,,,,,,,,
JOHN DINARDO,John Dinardo,Male,,,,,,,,,,
SCOTT SCHAEFER,Scott Schaefer,Male,,,,,,,,,,
PAUL OYER,Paul Oyer,Male,,,,,,,,,,
JOSEPH ALTONJI,Joseph Altonji,Male,,,,,,,,,,
KENNETH TROSKE,Kenneth Troske,Male,,,,,,,,,,
DANIEL RUBINFELD,Daniel Rubinfeld,Male,,,,,,,,,,
ROBERTA ROMANO,Roberta Romano,Female,,,,,,,,,,
