"","session_title","session_jel_code","number_of_authors"
"371","Real-World Impacts of Financial Literacy","A2",7
"372","Regulating Employer Market Power","J4",7
"373","Regulation of Occupations across Nations","J4",6
"374","REITs 2","G3, R2",11
"375","REITs-1","G1, G3",13
"376","Relation of Profit to Monopoly Power, Investment, and Economic Expansion in the Contemporary United States Economy","E1, O3",5
"377","Rent Control","R3, H7",12
"378","Research in Economic Education","A2",8
"379","Residential Investment","C7, I1",10
"380","Residential Real Estate Pricing","R2, G1",10
"381","Resilience and Stability in New EU Economies","E4, F1",9
"382","Retirement and Bequest Issues in Forensic Economics","K1, J1",3
"383","Reversals of Fortune in Health and Wellness","N3, N5",7
"384","Risk and Return in Financial Intermediation","G2",8
"385","Role of Regulators and Supervisors in Regulation","G2",7
"386","Roundtable on ""Improving Employment and Earnings in Twenty-First Century Labor Markets""","J0",6
"387","Selecting Mutual Funds","G1",10
"388","Sex, Drugs, Kidneys and Migrants: Economic Analyses of Contested Transactions","B5, D4",13
"389","Shaping Norms","O1, D9",12
"390","Shocks, Beliefs and Cycles","E3, G1",10
"391","Should I Stay or Should I Go? Drivers of Work, Wages, and Inactivity","J0, H0",6
"392","Sin Taxes","H2, I1",11
"393","Single and Bidirectional Economic Dependencies in Energy Systems","L9, Q4",11
"394","Social Corporate Finance","G3",11
"395","Social Determinants of Health and Wealth","J1, I1",8
"396","Social Norms, Female Labor Supply and the Family","J1, J2",14
"397","Social Preferences with Not WEIRD (Western Educated Industrialized Rich Democratic) People","D9, B4",7
"398","Social Security Policy Interactions and Spillovers","J2, H5",14
"399","Social, Economic, and Environmental Issues in Developing Economies","Y9, O5",11
"400","Social, Political, and Economic Order and Control in China","P2, M5",11
"401","Some Meanings and Impacts of ""Culture"" in Institutions and Organizations","D7, L2",13
"402","Sources of Labor Market Discrimination","J7",12
"403","Sovereign Debt, Capital Flows and Sudden Stops","F3, F0",7
"404","Spatial Perspectives on Economic Opportunity","N3",6
"405","Special Topics in Forensic Economics","K1",4
"406","Stationarity Tests and Margin of Error in Forensic Economics","K1, C4",6
"407","Stratification and Intersectionality","J1, Z1",7
"408","Studying Facets of the United States Labor Market with National Longitudinal Survey of Youth Data","J0",8
"409","Subtle Influences on the Cost of Debt","G3",6
"410","Sustainable Communities: Structure and Agency","Q5, P0",4
"411","Sustainable Economic Growth and Well-Being","I3",9
"412","Taxation and Fiscal Policy","H2, H3",9
"413","Taxation, Automation and Labor Markets","H2, J0",13
"414","Taxation, Political Economy, and Misallocation","H2, H0",11
"415","Taxing in a Globalized World","H2",7
"416","Technological Change and Social Provisioning","O3, B5",7
"417","Technological Progress and Inequality: Perspectives from Optimal Tax Theory","H2, E6",7
"418","Technology, Productivity, Growth, and Jobs","E2, D2",6
"419","Terrorism in the Middle East and North Africa – Drivers and Consequences","F5, Z1",8
"420","The Challenge to the Postwar Liberal Trade System","F1, F5",6
"421","The Consequences of Rising Inequality for Mobility and Economic Well-Being","D3",11
"422","The Continuing Relevance of the Early Institutionalists","B1, B5",5
"423","The Cuban Economy","P2, O5",3
"424","The Digital Agenda of Virtual Currencies in the Bitcoin Age: Regulation, Anonymity and Cybercrime","E5, F3",3
"425","The Economics of Child Health and Other Aspects of Childhood Development","I1, I1",7
"426","The Effects of Cash Transfers","I3, H2",10
"427","The Effects of Firm and Co-Worker Behaviors on Employee Outcomes: Quasi-experimental Evidence from Administrative Data","J3",9
"428","The Effects of Structural Reforms in Advanced, Emerging and Developing Economies","O3",12
"429","The Federal Reserve Banks as Partners in Teaching and Learning Economics","A2",8
"430","The Financial Economics of Pensions and Insurance Companies","G1, G2",10
"431","The Future of Economic Research Under Rising Risks and Costs of Information Disclosure","C4",6
"432","The Gig Economy","J2",10
"433","The Haves and the Have Nots - Access, Opportunity, and Outcomes in Households, Businesses, and Life","I0, G0",10
"434","The Impact of Chinese Trade: The Good, The Bad and the Apocryphal","J3, F6",13
"435","The Impact of Digital Economy","G2, A1",14
"436","The Impacts of Spatial Policy","F1, R1",9
"437","The Industrial Organization of Financial Markets","L1, L2",13
"438","The Integral Role of Ethics in Economics","Z1",4
"439","The Japanese Economy in the Age of Uncertainty","F4, B5",6
"440","The Next Crisis – From Where and Are We Ready?","G1, G2",5
"441","The Optimal Inflation Target","E5, E3",9
"442","The Political Economy and Health","I1, H0",8
"443","The Political Economy of Institutional Change","P5, O1",11
"444","The Political Economy of State Capitalism","B5, P2",5
"445","The Productivity of Various Schooling Inputs","I2",14
"446","The Relation Between Expected Returns and Betas","G1",6
"447","The Risks of Homeownership","R3, J2",8
"448","The Role of Firms in Economic Development","L1, O4",16
"449","The Role of Media in Finance","G1",7
"450","The State of Education in Africa and the Economic Consequences","I2",5
"451","The TCJA One Year Later","H2",11
"452","The Value of Culture","G4, G2",8
"453","Theoretical Perspectives in Institutional Economics","B5, B0",5
"454","Theory and Empirics of Dynamic Matching","D4, C1",6
"455","Topics in Economic Theory I","D8, D1",5
"456","Topics in Economic Theory II","D8, L1",7
"457","Topics in Empirical Industrial Organization: A Structural Approach","D1, L0",13
"458","Topics in Financial Stability","F3",9
"459","Topics in Health Economics","I1, H0",10
"460","Topics in Institutional Economics","B5, A1",6
"461","Topics in International Trade","F4",11
"462","Topics in Return Dynamics","G1",13
"463","Topics in Risk and Insurance","D8",7
"464","Topics in Social Economics","Z1",6
"465","Topics in Transportation Economics","L9, R4",9
"466","Trade and Currency Wars in the 21st Century","F3, F1",9
"467","Trade and Economic Regimes","F1",11
"468","Trade and Firm Dynamics","F2",10
"469","Trade, FDI and External Wealth in the Middle East and North Africa","F1, F2",7
"470","Trade, Service Sector and Conflict in Africa","F4, O4",10
"471","Trading in Modern Markets","G1",11
"472","Transportation","R4, O1",11
"473","Tuition and Enrollment in Higher Education","I2, L3",10
"474","Uncertainty and Financial Markets","G1, E6",14
"475","Unemployment and Unemployment Insurance","J6",6
"476","Urban and Labor","R2, J2",8
"477","Urban Inequality","R2, E2",7
"478","Using Micro Data to Understand Macro Aggregates","O4, F6",10
"479","Vacancies and Recruitment","J2",9
"480","Values and Beliefs in Political Economy","D6, D7",6
"481","Vested Interests and Social Progress under Uncertainty","B5, B2",9
"482","Wages","J3",11
"483","Wages and Inequality","J3, D6",10
"484","Water Conservation Policy","Q2, D9",12
"485","Wealth Inequality & Wealth Taxation","D3, D6",20
"486","What Role (If Any) Should Economic History Play in the Training of an Economist?","N0, A1",5
"487","Work, Weather, and Migration","J0",10
"488","Worker and Employer Responses to Paid Family Leave Policies","J0",8
"489","Working for Whom? New Evidence on the Incidence of Independent Contracting","J0",7
