"first_name","author","paper_title","author_affiliation","date","time","location","association","session_title","session_jel_code","session_chair","session_chair_affiliation","discussant_1","discussant_1_affiliation","discussant_2","discussant_2_affiliation","discussant_3","discussant_3_affiliation","discussant_4","discussant_4_affiliation","discussant_5","discussant_5_affiliation","firstname","total_male","total_female","prob_male","prob_female","total_names","male_75","female_75","male_95","female_95"
"Alan","Alan Kwan","Investment Adviser Regulatory Jurisdiction and Reported Misconduct","University of Hong Kong","Jan. 7 2018","10:15 AM - 12:15 PM","Loews Philadelphia, Commonwealth Hall D","American Finance Association","Financial Regulation: Empirics","G2",NA,NA,"Paul Goldsmith-Pinkham","Federal Reserve Bank of New York","Darren Kisgen","Boston College","William Gerken","University of Kentucky","Stefan Lewellen","London Business School","","","ALAN",759,0,1,0,759,1,0,1,0
"Alan","Alan Morrison","Identifying Contagion in a Banking Network","University of Oxford","Jan. 6 2018","8:00 AM - 10:00 AM","Loews Philadelphia, Commonwealth Hall D","American Finance Association","Contagion in Financial Networks","G2",NA,NA,"Uday Rajan","University of Michigan","Marco Di Maggio","Harvard Business School & NBER","Christian Julliard","London School of Economics","","","","","ALAN",759,0,1,0,759,1,0,1,0
"Alan","Alan Fox","How Trade-sensitive are Energy-intensive Sectors?","U.S. International Trade Commission","Jan. 5 2018","8:00 AM - 10:00 AM","Marriott Philadelphia Downtown, Grand Ballroom Salon E","American Economic Association","Climate Policy and Trade","F1",NA,NA,"Matilde Bombardini","University of British Columbia","Teresa Fort","Dartmouth College","Thibault Fally","University of California-Berkeley","","","","","ALAN",759,0,1,0,759,1,0,1,0
"Alan","Alan Blinder","Future of Monetary Policy Communications","Princeton University","Jan. 6 2018","8:00 AM - 10:00 AM","Marriott Philadelphia Downtown, Grand Ballroom Salon E","American Economic Association","Central Bank Communications","E5",NA,NA,"Ricardo Reis","London School of Economics","Michael Ehrmann","European Central Bank","Refet Gurkaynak","Bilkent University","","","","","ALAN",759,0,1,0,759,1,0,1,0
"Albert","Albert Zevelev","Does Collateral Value Affect Asset Prices? Evidence From a Natural Experiment in Texas","Baruch College","Jan. 5 2018","10:15 AM - 12:15 PM","Loews Philadelphia, Washington B","American Real Estate and Urban Economics Association","Household Finance and Consumer Behavior","R2, D1",NA,NA,"Stephen Malpezzi","University of Wisconsin-Madison","Hyojung Lee","University of Southern California","Paul Ernesto Carrillo","George Washington University","Jung Hyun Choi","University of Southern California","","","ALBERT",429,2,0.9953596,0.0046404,431,1,0,1,0
"Albert","Albert S. Kyle","Information and Competition with Speculation and Hedging","University of Maryland","Jan. 6 2018","2:30 PM - 4:30 PM","Marriott Philadelphia Downtown, Meeting Room 414","Econometric Society","Market Microstructure","A1",NA,NA,"Snehal Banerjee","University of California-San Diego","Alexi Savov","New York University","Juan Ortner","Boston University","Marco Di Maggio","Harvard Business School & NBER","","","ALBERT",429,2,0.9953596,0.0046404,431,1,0,1,0
"Albert","Albert Park","Globalization and the Demand for Tasks and Skills in China","Hong Kong University of Science and Technology","Jan. 5 2018","2:30 PM - 4:30 PM","Pennsylvania Convention Center, 112-A","Chinese Economic Association in North America","The China Economy: Issues and Prospects","P2, O1",NA,NA,"Charles Ka Yui Leung","City University of Hong Kong","","","","","","","","","ALBERT",429,2,0.9953596,0.0046404,431,1,0,1,0
"Albert","Albert S. Kyle","Dimensional Analysis, Leverage Neutrality, and Market Microstructure Invariance","University of Maryland","Jan. 6 2018","10:15 AM - 12:15 PM","Loews Philadelphia, Commonwealth Hall B","American Finance Association","Liquidity: Empirical Perspectives","G1",NA,NA,"Robin Greenwood","Harvard Business School","Adi Sunderam","Harvard University","David Lando","Copenhagen Business School","Dmitry Livdan","University of California-Berkeley","","","ALBERT",429,2,0.9953596,0.0046404,431,1,0,1,0
"Albert","Albert Okunade","Gender-specific cancer survivorship and labor market attachments: Evidence from 2008-2014 MEPS data","University of Memphis","Jan. 7 2018","10:15 AM - 12:15 PM","Pennsylvania Convention Center, 202-A","American Economic Association","Health and Employment","I0",NA,NA,"","","","","","","","","","","ALBERT",429,2,0.9953596,0.0046404,431,1,0,1,0
"Alberto","Alberto Alesina","Intergenerational Mobility and Preferences for Redistribution","Harvard University","Jan. 6 2018","8:00 AM - 10:00 AM","Pennsylvania Convention Center, 104-B","American Economic Association","Supporting Economic Redistribution (or Not): Determining Factors","H2, D3",NA,NA,"Ricardo Perez-Truglia","University of California-Los Angeles","David Seim","Stockholm University","Avner Shlain","University of California-Berkeley","Benjamin B. Lockwood","University of Pennsylvania","","","ALBERTO",285,1,0.9965035,0.0034965,286,1,0,1,0
"Alberto","Alberto Alesina","What Do We Know About the Effects of Austerity?","Harvard University","Jan. 5 2018","10:15 AM - 12:15 PM","Pennsylvania Convention Center, 204-C","American Economic Association","Conventional and Unconventional Fiscal Multipliers","E6, H3",NA,NA,"Karel Mertens","Federal Reserve Bank of Dallas","Olivier Coibion","University of Texas-Austin","Eric Leeper","Indiana University","","","","","ALBERTO",285,1,0.9965035,0.0034965,286,1,0,1,0
"Alberto","Alberto Rossi","Regressive Mortgage Credit Redistribution in the Post-crisis Era","University of Maryland","Jan. 5 2018","2:30 PM - 4:30 PM","Pennsylvania Convention Center, 111-A","American Economic Association","Household Finance and Post-crisis Regulation","G1, D1",NA,NA,"Amit Seru","Stanford University","Sumit Agarwal","Georgetown University","Marco Di Maggio","Harvard University","Felipe Severino","Dartmouth College","","","ALBERTO",285,1,0.9965035,0.0034965,286,1,0,1,0
"Alberto","Alberto Martin-Utrera","A Portfolio Perspective on the Multitude of Firm Characteristics","Lancaster University","Jan. 5 2018","2:30 PM - 4:30 PM","Loews Philadelphia, Commonwealth Hall B","American Finance Association","Big Data and the Cross-section of Stock Returns","G1",NA,NA,"Yan Liu","Texas A&M University","Domenico Giannone","Federal Reserve Bank of New York","Michael Brandt","Duke University","Stefano Giglio","University of Chicago","","","ALBERTO",285,1,0.9965035,0.0034965,286,1,0,1,0
"Alejandro","Alejandro Van der Ghote","Coordinating Monetary and Financial Regulatory Policies","European Central Bank","Jan. 5 2018","8:00 AM - 10:00 AM","Pennsylvania Convention Center, 201-B","American Economic Association","The Nexus Between Monetary Policy and Financial Stability","E5, G0",NA,NA,"Stefan Laséen","Sveriges Riksbank","Andrew Levin","Dartmouth College","David López-Salido","Federal Reserve Board","Anton Korinek","Johns Hopkins University","","","ALEJANDRO",208,0,1,0,208,1,0,1,0
"Alejandro","Alejandro Dellachiesa","Teaching Research Methods in Economics to Undergraduate Students","University of Kentucky","Jan. 6 2018","2:30 PM - 4:30 PM","Marriott Philadelphia Downtown, Meeting Room 410","American Economic Association","AEA Committee on Economic Education Poster Session","A2",NA,NA,"","","","","","","","","","","ALEJANDRO",208,0,1,0,208,1,0,1,0
"Aleksandar","Aleksandar Stojkov","FDI Flows in Europe: Endogeneity and Credibility","Saints Cyril and Methodius University of Skopje-Macedonia","Jan. 5 2018","10:15 AM - 12:15 PM","Loews Philadelphia, Parlor 1","International Trade and Finance Association","European Integration: New Challenges and New Hopes","E6, F4",NA,NA,"Oana Peia","University College Dublin","Thierry Warin","HEC Montreal","Davide Romelli","Trinity College Dublin","Linda L. Tesar","University of Michigan","","","ALEKSANDAR",21,0,1,0,21,1,0,1,0
"Aleksandr","Aleksandr Gevorkyan","The Varying Dimensions of Domestic Credit Expansion and Capital Flows in Post-socialist Transition: Challenges to Macro Policy","St. John's University","Jan. 5 2018","2:30 PM - 4:30 PM","Marriott Philadelphia Downtown, Grand Ballroom Salon D","Association for Comparative Economic Studies","Association for Comparative Economics Poster Session","P5, P0",NA,NA,"","","","","","","","","","","ALEKSANDR",35,0,1,0,35,1,0,1,0
"Alessandra","Alessandra Casarico","Top Incomes and the Gender Divide","Bocconi University","Jan. 5 2018","2:30 PM - 4:30 PM","Marriott Philadelphia Downtown, Grand Ballroom Salon B","American Economic Association","Top Income Inequality and the Gender Divide","D3, J7",NA,NA,"John Van Reenen","Massachusetts Institute of Technology","Andrea Weber","Central European University","Patrick Kline","University of California-Berkeley","Amalia Miller","University of Virginia","","","ALESSANDRA",0,63,0,1,63,0,1,0,1
"Alessio","Alessio Ruzza","Corporate Bond Dealers' Inventory Risk and FOMC","University of Lugano & Swiss Finance Institute","Jan. 5 2018","7:30 AM - 6:00 PM","Loews Philadelphia, Commonwealth Pre-function","American Finance Association","AFA Ph.D. Student Poster Session","G0",NA,NA,"","","","","","","","","","","ALESSIO",13,0,1,0,13,1,0,1,0
"Alex","Alex Anas","The Cost of Congestion and the Benefits of Congestion Pricing in the Greater Los Angeles Region","State University of New York-Buffalo","Jan. 6 2018","10:15 AM - 12:15 PM","Loews Philadelphia, Washington B","American Real Estate and Urban Economics Association","Congestion and Transportation","R1",NA,NA,"William Larson","U.S. Federal Housing Finance Agency","Raven Molloy","Federal Reserve Board","Leah Brooks","George Washington University","Richard Arnott","University of California-Riverside","","","ALEX",2203,205,0.9148671,0.0851329,2408,1,0,0,0
"Alex","Alex Imas","Extending the Consequences of Realization and Mental Accounting to the Domain of Social Preferences","Carnegie Mellon University","Jan. 6 2018","8:00 AM - 10:00 AM","Pennsylvania Convention Center, 204-C","American Economic Association","Mental Accounting","I1",NA,NA,"Brigitte Madrian","Harvard University","John Beshears","Harvard Business School","Christine Exley","Harvard Business School","","","","","ALEX",2203,205,0.9148671,0.0851329,2408,1,0,0,0
"Alex","Alex Bell","The Lifecycle of Inventors","Harvard University","Jan. 6 2018","10:15 AM - 12:15 PM","Marriott Philadelphia Downtown, Meeting Room 309","National Economic Association","The Life Cycle of Inventors Past and Present","O3, J6",NA,NA,"Jay Bhattacharya","Stanford University and NBER","Kaye Husbands Fealing","Georgia Institute of Technology","Nathan Goldschlag","U.S. Census Bureau","Mikko Packalen","University of Waterloo","","","ALEX",2203,205,0.9148671,0.0851329,2408,1,0,0,0
"Alex","Alex Minne","Riskiness of Real Estate Development: A Perspective from Urban Economics & Option Value Theory","Massachusetts Institute of Technology","Jan. 5 2018","8:00 AM - 10:00 AM","Loews Philadelphia, Washington B","American Real Estate and Urban Economics Association","Commercial Real Estate: Valuation","G3, G1",NA,NA,"Albert Zevelev","Baruch College","Gianluca Marcato","University of Reading","Steven Bourassa","Florida Atlantic University","Eva Steiner","Cornell University","","","ALEX",2203,205,0.9148671,0.0851329,2408,1,0,0,0
"Alex","Alex Rowell","Labor Unions and Wealth Inequality","Center for American Progress","Jan. 5 2018","2:30 PM - 4:30 PM","Pennsylvania Convention Center, 202-A","Labor and Employment Relations Association","Labor Market Changes and Wealth Inequality","J0",NA,NA,"Teresa Ghilarducci","New School","Kate Bahn","Center for American Progress","","","","","","","ALEX",2203,205,0.9148671,0.0851329,2408,1,0,0,0
"Alex","Alex Imas","The Dynamics of Discrimination: Theory and Evidence","Carnegie Mellon University","Jan. 6 2018","10:15 AM - 12:15 PM","Pennsylvania Convention Center, 204-B","American Economic Association","Gender Norms and Discrimination","C9, J1",NA,NA,"Katherine Baldiga Coffman","Harvard Business School","Alex Imas","Carnegie Mellon University","Siqi Pan","Ohio State University","","","","","ALEX",2203,205,0.9148671,0.0851329,2408,1,0,0,0
"Alex","Alex Hsu","Level and Volatility Shocks to Fiscal Policy: Term Structure Implications","Georgia Institute of Technology","Jan. 5 2018","8:00 AM - 10:00 AM","Loews Philadelphia, Commonwealth Hall B","American Finance Association","Asset Return Dynamics","G1",NA,NA,"Erica Li","Cheung Kong Graduate School of Business","Leonid Kogan","Massachusetts Institute of Technology","Jonathan Wright","Johns Hopkins University","","","","","ALEX",2203,205,0.9148671,0.0851329,2408,1,0,0,0
"Alexander","Alexander J. Field","The Impact of World War II on the Growth of United States Potential Output","Santa Clara University","Jan. 5 2018","12:30 PM - 2:15 PM","Marriott Philadelphia Downtown, Meeting Room 403","Cliometric Society","Topics in Macro and Monetary History","N1, E0",NA,NA,"Michael Bordo","Rutgers University","Steven Nafziger","Williams College","Larry Neal","University of Illinois","","","","","ALEXANDER",702,2,0.9971591,0.0028409,704,1,0,1,0
"Alexander","Alexander Guschanski","The Political Economy of Income Distribution: Industry Level Evidence From 14 OECD Countries","University of Greenwich","Jan. 5 2018","8:00 AM - 10:00 AM","Loews Philadelphia, Anthony","Association for Social Economics","Financialization, Global Crisis, and Economic Stagnation","B5",NA,NA,"","","","","","","","","","","ALEXANDER",702,2,0.9971591,0.0028409,704,1,0,1,0
"Alexander","Alexander McQuoid","Trigger Warning: The Causal Impact of Gun Ownership on Suicide","United States Naval Academy","Jan. 6 2018","2:30 PM - 4:30 PM","Pennsylvania Convention Center, 202-A","American Economic Association","The Economics of Controversial Policies and Unintended Consequences","I1, K0",NA,NA,"Joshua Wilde","University of South Florida","Mark Hoekstra","Texas A&M University","Alexander McQuoid","United States Naval Academy","","","","","ALEXANDER",702,2,0.9971591,0.0028409,704,1,0,1,0
"Alexander","Alexander Guschanski","Determinants of the Wage Share: Evidence From Firm-level Data","University of Greenwich","Jan. 5 2018","10:15 AM - 12:15 PM","Pennsylvania Convention Center, 105-A","American Economic Association","Automation","J2",NA,NA,"","","","","","","","","","","ALEXANDER",702,2,0.9971591,0.0028409,704,1,0,1,0
"Alexander","Alexander Plekhanov","Reducing Non-performing Loans: Stylized Facts and Economic Impact","European Bank for Reconstruction and Development","Jan. 5 2018","2:30 PM - 4:30 PM","Marriott Philadelphia Downtown, Grand Ballroom Salon A","American Economic Association","Non-Performing Loans: Causes, Effects and Remedies","G2, G3",NA,NA,"","","","","","","","","","","ALEXANDER",702,2,0.9971591,0.0028409,704,1,0,1,0
"Alexander","Alexander K. Zentefis","Bank Net Worth and Frustrated Monetary Policy","Yale University","Jan. 7 2018","8:00 AM - 10:00 AM","Marriott Philadelphia Downtown, Meeting Room 405","American Economic Association","Channels of Monetary Transmission","E5, G2",NA,NA,"","","","","","","","","","","ALEXANDER",702,2,0.9971591,0.0028409,704,1,0,1,0
"Alexander","Alexander Wagner","Unequal Rewards to Firms: Stock Market Responses to the Trump Election and the 2017 Corporate Tax Reform","University of Zurich and Swiss Finance Institute","Jan. 7 2018","1:00 PM - 3:00 PM","Marriott Philadelphia Downtown, Grand Ballroom Salon C","American Economic Association","What Can We Learn From Financial Market Responses to the 2016 Election?","G1",NA,NA,"","","","","","","","","","","ALEXANDER",702,2,0.9971591,0.0028409,704,1,0,1,0
"Alexander","Alexander Ufier","On Deposit Stability in Failing Banks","Federal Deposit Insurance Corporation","Jan. 6 2018","2:30 PM - 4:30 PM","Loews Philadelphia, Commonwealth Hall B","American Finance Association","Bank Deposits","G2",NA,NA,"Philip Strahan","Boston College","Philipp Schnabl","New York University","Taylor Begley","Washington University-St. Louis","Erik Gilje","University of Pennsylvania","","","ALEXANDER",702,2,0.9971591,0.0028409,704,1,0,1,0
"Alexander","Alexander Muermann","The Dark Side of Liquid Bonds in Fire Sales","Vienna University of Economics and Business and Vienna Graduate School of Finance","Jan. 5 2018","8:00 AM - 10:00 AM","Marriott Philadelphia Downtown, Meeting Room 405","American Risk and Insurance Association","Topics in Risk and Insurance","D8, G2",NA,NA,"Richard Butler","Brigham Young University","James Carson","University of Georgia","Richard Peter","University of Iowa","Alexander Muermann","Vienna University of Economics and Business and Vienna Graduate School of Finance","","","ALEXANDER",702,2,0.9971591,0.0028409,704,1,0,1,0
