author,paper_title,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation,author.y,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,X,X.1,X.2,X.3,X.4
Adi Sunderam,The Cross Section of Bank Value,Harvard University,Jan. 6 2018,2:30 PM - 4:30 PM,"Loews Philadelphia, Commonwealth Hall B",American Finance Association,Bank Deposits,G2,NA,NA,Philip Strahan,Boston College,Philipp Schnabl,New York University,Taylor Begley,Washington University-St. Louis,Erik Gilje,University of Pennsylvania,,,Adi Sunderam,Male,,,,,,NA,NA,NA,NA,NA
Adrian Buss,"Option-Implied Correlations, Factor Models, and Market Risk",INSEAD,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,NA,NA,,,,,,,,,,,Adrian Buss,Male,,,,,,NA,NA,NA,NA,NA
Adrian Buss,Financial Innovation and Asset Prices,INSEAD,Jan. 6 2018,8:00 AM - 10:00 AM,"Loews Philadelphia, Washington A",American Finance Association,Asset Pricing: New Theories and Empirical Approaches,G1,NA,NA,Nicolae Gârleanu,University of California-Berkeley,Lars Lochstoer,University of California-Los Angeles,Valentin Haddad,University of California-Los Angeles,Stefano Giglio,University of Chicago,,,Adrian Buss,Male,,,,,,NA,NA,NA,NA,NA
Adriana Lleras-Muney,Breaking the Glass Ceiling? The Effect of Board Quotas on Female Labor Market Outcomes in Norway,University of California-Los Angeles,Jan. 5 2018,2:30 PM - 4:30 PM,"Marriott Philadelphia Downtown, Grand Ballroom Salon B",American Economic Association,Top Income Inequality and the Gender Divide,"D3, J7",NA,NA,John Van Reenen,Massachusetts Institute of Technology,Andrea Weber,Central European University,Patrick Kline,University of California-Berkeley,Amalia Miller,University of Virginia,,,ADRIANA LLERAS-MUNEY,Female,,,,,,NA,NA,NA,NA,NA
Adrien Auclert,The Intertemporal Keynesian Cross,Stanford University,Jan. 5 2018,8:00 AM - 10:00 AM,"Marriott Philadelphia Downtown, Grand Ballroom Salon C",American Economic Association,Fiscal Policy,"E3, F3",NA,NA,Sushant Acharya,Federal Reserve Bank of New York,David Evans,University of Oregon,Kyle Herkenhoff,University of Minnesota,Jesus Fernandez-Villaverde,University of Pennsylvania,,,Adrien Auclert,Male,,,,,,NA,NA,NA,NA,NA
Adrien Matray,Where Has All the Big Data Gone?,Princeton University,Jan. 6 2018,2:30 PM - 4:30 PM,"Marriott Philadelphia Downtown, Meeting Room 413",Econometric Society,Financial Intermediation,A1,NA,NA,Vincent Glode,University of Pennsylvania,Timothy James McQuade,Stanford University,Manuel Adelino,Duke University,,,,,Adrien Matray,Male,,,,,,NA,NA,NA,NA,NA
Adrien Verdelhan,The Volatility of International Capital Flows and Foreign Assets,Massachusetts Institute of Technology,Jan. 6 2018,10:15 AM - 12:15 PM,"Loews Philadelphia, Regency Ballroom C1",American Finance Association,Exchange Rates and International Capital Market,G1,NA,NA,Matteo Maggiori,Harvard University,Riccardo Colacito,University of North Carolina-Chapel Hill,Edith Liu,Federal Reserve Board,Nikolai Roussanov,University of Pennsylvania,,,ADRIEN VERDELHAN,Male,,,,,,NA,NA,NA,NA,NA
Adrien Verdelhan,Does Incomplete Spanning in International Financial Markets Help to Explain Exchange Rates?,Massachusetts Institute of Technology,Jan. 5 2018,10:15 AM - 12:15 PM,"Marriott Philadelphia Downtown, Meeting Room 403",Econometric Society,Advances in International Finance,A1,NA,NA,Andreas Stathopoulos,University of Washington,Luigi Bocola,Northwestern University,Rosen Valchev,Boston College,Pasquale Della Corte,Imperial College London and CEPR,,,ADRIEN VERDELHAN,Male,,,,,,NA,NA,NA,NA,NA
Adrien Verdelhan,Deviations from Covered Interest Rate Parity,Massachusetts Institute of Technology and NBER,Jan. 5 2018,8:00 AM - 10:00 AM,"Loews Philadelphia, Parlor 1",International Economics and Finance Society,International Finance and Macroeconomics,F3,NA,NA,,,,,,,,,,,ADRIEN VERDELHAN,Male,,,,,,NA,NA,NA,NA,NA
Ahmed Rahman,The Evolution of Sea-power in History,United States Naval Academy,Jan. 5 2018,8:00 AM - 10:00 AM,"Marriott Philadelphia Downtown, Meeting Room 403",Cliometric Society,The Political Economy of Movement,"N7, R4",NA,NA,Dan Bogart,University of California-Irvine,Jason Taylor,Central Michigan University,Vincent Geloso,London School of Economics,Mark Geiger,Independent Scholar,,,Ahmed Rahman,Male,,,,,,NA,NA,NA,NA,NA
Ahmed Tahoun,Firm-level Political Risk: Measurement and Effects,London Business School,Jan. 7 2018,8:00 AM - 10:00 AM,"Pennsylvania Convention Center, 204-C",American Economic Association,"Political Risk: Origins, Measurement, and Effects","G0, E0",NA,NA,Stephen Terry,Boston University,Alberto Bisin,New York University,,,,,,,Ahmed Tahoun,Male,,,,,,NA,NA,NA,NA,NA
Ahu Yildirmaz,New Evidence on Wage Rigidity,ADP Research Institute,Jan. 6 2018,8:00 AM - 10:00 AM,"Pennsylvania Convention Center, 201-B",American Economic Association,What Can We Learn from Private Sector Data About the Labor Market?,"J0, J2",NA,NA,,,,,,,,,,,Ahu Yildirmaz,Female,,,,,,NA,NA,NA,NA,NA
Akshaya Jha,Determinants of the Cost of Electricity Supply in India,Carnegie Mellon University,Jan. 5 2018,8:00 AM - 10:00 AM,"Marriott Philadelphia Downtown, Independence Ballroom II",Association of Environmental and Resource Economists,Energy Policy,"Q4, Q5",NA,NA,Yoram Bauman,Standupeconomist.com,Ama Baafra Abeberese,Wellesley College,Daniel Shawhan,Resources for the Future,Marc Hafstead,Resources for the Future,,,Akshaya Jha,Male,,,,,,NA,NA,NA,NA,NA
Akshaya Jha,The Effects of the Clean Air Act on Productivity in the Electricity Industry: Evidence From the United States 1938-1993,Carnegie Mellon University,Jan. 7 2018,8:00 AM - 10:00 AM,"Marriott Philadelphia Downtown, Grand Ballroom Salon C",American Economic Association,The Costs and Benefits of Environmental Regulation in the United States and China,"Q5, Q0",NA,NA,Steven L. Puller,Texas A&M University,Catherine Wolfram,University of California-Berkeley,Nancy Rose,Massachusetts Institute of Technology,Maureen Cropper,University of Maryland,,,Akshaya Jha,Male,,,,,,NA,NA,NA,NA,NA
Alan Deardorff,Digital Trade and Comparative Advantage,University of Michigan,Jan. 5 2018,12:30 PM - 2:15 PM,"Loews Philadelphia, Lescaze",International Trade and Finance Association,The Impact of the Digital Economy,"F1, F1",NA,NA,Marta Bengoa Calvo,Assoc. Prof. City University of New York,Amir Shoham,Temple University,,,,,,,ALAN DEARDORFF,Male,,,,,,NA,NA,NA,NA,NA
Alan Krueger,Rent Sharing Within Firms,Princeton University,Jan. 6 2018,8:00 AM - 10:00 AM,"Pennsylvania Convention Center, 201-B",American Economic Association,What Can We Learn from Private Sector Data About the Labor Market?,"J0, J2",NA,NA,,,,,,,,,,,ALAN KRUEGER,Male,,,,,,NA,NA,NA,NA,NA
Alan M. Taylor,Global financial cycles and risk premiums,University of California-Davis,Jan. 5 2018,2:30 PM - 4:30 PM,"Marriott Philadelphia Downtown, Grand Ballroom Salon C",American Economic Association,Credit Cycles and the Role of Macro-prudential Policy,"E3, G2",NA,NA,Jeremy Stein,Harvard University,Kristin J. Forbes,Massachusetts Institute of Technology,Helene Rey,London Business School,Nina Boyarchenko,Federal Reserve Bank of New York,,,Alan M. Taylor,Male,ALAN TAYLOR,,,,,NA,NA,NA,NA,NA
Alan M. Taylor,International Monetary and Financial Relations in the 21st Century,University of California-Davis,Jan. 7 2018,8:00 AM - 10:00 AM,"Marriott Philadelphia Downtown, Liberty Ballroom Salon B",American Economic Association,Capital Flows in the International Monetary System,"F3, F4",NA,NA,Harold James,Princeton University,Linda Goldberg,Federal Reserve Bank of New York,Francis Warnock,University of Virginia,Eduardo R. Borensztein,Borensztein Consulting,,,Alan M. Taylor,Male,ALAN TAYLOR,,,,,NA,NA,NA,NA,NA
Alan Moreira,"Hedge Funds, Signaling, and Optimal Lockups",Yale University,Jan. 7 2018,1:00 PM - 3:00 PM,"Loews Philadelphia, Commonwealth Hall B",American Finance Association,Liquidity: Theoretical Models,G1,NA,NA,Pierre-Olivier Weill,University of California-Los Angeles,Ana Babus,Federal Reserve Bank of Chicago,Hong Liu,Washington University-St. Louis,Haoxiang Zhu,Massachusetts Institute of Technology,,,Alan Moreira,Male,,,,,,NA,NA,NA,NA,NA
Alan O. Sykes,The Economic Structure of International Trade in Services Agreement,Stanford University,Jan. 5 2018,10:15 AM - 12:15 PM,"Loews Philadelphia, Lescaze",International Economics and Finance Society,The Economics of International Trade Agreements,F1,NA,NA,,,,,,,,,,,Alan O. Sykes,Male,,,,,,NA,NA,NA,NA,NA
Alberto Abadie,Choosing Among Machine Learning Estimators In Empirical Economics,Massachusetts Institute of Technology,Jan. 5 2018,2:30 PM - 4:30 PM,"Pennsylvania Convention Center, 204-C",American Economic Association,Machine Learning for Policy Research,"C1, C8",NA,NA,John N. Friedman,Brown University,Keisuke Hirano,Pennsylvania State University,,,,,,,ALBERTO ABADIE,Male,,,,,,NA,NA,NA,NA,NA
Alberto Galasso,Tort Reform and Innovation,University of Toronto,Jan. 6 2018,8:00 AM - 10:00 AM,"Pennsylvania Convention Center, 102-A",Chinese Economists Society,"Innovation, Entrepreneurship, and Chinese Economy",O3,NA,NA,Jun Ma,Northeastern University,,,,,,,,,ALBERTO GALASSO,Male,,,,,,NA,NA,NA,NA,NA
Alberto Manconi,On the Role of Human Capital in Investment Management,Bocconi University,Jan. 5 2018,8:00 AM - 10:00 AM,"Loews Philadelphia, Commonwealth Hall C",American Finance Association,Compensation in Mutual Fund Management,G1,NA,NA,Harrison Hong,Columbia University,Mariassunta Giannetti,Stockholm School of Economics,Susan Christoffersen,University of Toronto,Eric Zitzewitz,Dartmouth College,,,Alberto Manconi,Male,,,,,,NA,NA,NA,NA,NA
Alberto Salvo,How Do Households Discount Over Centuries? Evidence From Singapore’s Private Housing Market,National University of Singapore,Jan. 7 2018,8:00 AM - 10:00 AM,"Marriott Philadelphia Downtown, Independence Ballroom II",Association of Environmental and Resource Economists,Climate Change: Connecting Theory with Empirics,Q5,NA,NA,Laura Bakkensen,University of Arizona,Lint Barrage,Brown University,Stephie Fried,Arizona State University,Christian Gollier,Toulouse School of Economics,,,ALBERTO SALVO,Male,,,,,,NA,NA,NA,NA,NA
Alberto Salvo,Local Pollution Drives Global Pollution: Emissions Feedback Via Residential Electricity Usage,National University of Singapore,Jan. 7 2018,1:00 PM - 3:00 PM,"Pennsylvania Convention Center, 204-B",Association of Environmental and Resource Economists,"Water, Health and Development",Q5,NA,NA,Sheila Olmstead,University of Texas-Austin,David Keiser,Iowa State University,Yaniv Stopnitzky,University of San Francisco,Raymond Guiteras,North Carolina State University,,,ALBERTO SALVO,Male,,,,,,NA,NA,NA,NA,NA
Aleh Tsyvinski,Distortions and the Structure of the World Economy,Yale University,Jan. 7 2018,10:15 AM - 12:15 PM,"Marriott Philadelphia Downtown, Grand Ballroom Salon B",American Economic Association,Production Networks,E0,NA,NA,,,,,,,,,,,ALEH TSYVINSKI,Male,,,,,,NA,NA,NA,NA,NA
Alejandro Badel,Taxing Top Earners: A Human Capital Perspective,U.S. Bureau of Labor Statistics,Jan. 6 2018,8:00 AM - 10:00 AM,"Marriott Philadelphia Downtown, Meeting Room 309",Korea-America Economic Association,Heterogeneous Agents in Macroeconomics,"E2, D1",NA,NA,Hye Mi You,State University of New York-Buffalo,Soojin Kim,Purdue University,Serena Rhee,University of Hawaii-Manoa,Yoosoon Chang,Indiana University,,,ALEJANDRO BADEL,Male,,,,,,NA,NA,NA,NA,NA
Alejandro J. Ganimian,Hard Cash and Soft Skills: Experimental Evidence on Combining Scholarships and Mentoring in Argentina,New York University,Jan. 5 2018,8:00 AM - 10:00 AM,"Marriott Philadelphia Downtown, Independence Ballroom I",Latin American and Caribbean Economic Association,Creating Socio-emotional Skills: Evidence From Developing Countries,"J2, I2",NA,NA,,,,,,,,,,,Alejandro J. Ganimian,Male,,,,,,NA,NA,NA,NA,NA
Alejandro Justiniano,Forward Guidance and Macroeconomic Outcomes Since the Financial Crisis,Federal Reserve Bank of Chicago,Jan. 6 2018,10:15 AM - 12:15 PM,"Pennsylvania Convention Center, 107-B",American Economic Association,Empirical Analyses of Monetary and Credit Policies,E5,NA,NA,Annette Vissing-Jorgensen,University of California-Berkeley,Valerie Ramey,University of California-San Diego,Ricardo Reis,London School of Economics,Refet Gurkaynak,Bilkent University,,,ALEJANDRO JUSTINIANO,Male,,,,,,NA,NA,NA,NA,NA
Alessandra Voena,"Age of Marriage, Weather Shocks, and the Direction of Marriage Payments",University of Chicago,Jan. 5 2018,8:00 AM - 10:00 AM,"Pennsylvania Convention Center, 102-A",Econometric Society,Marriage Markets in Developing Countries,A1,NA,NA,Seema Jayachandran,Northwestern University,Lucia Corno,Catolica University,Siwan Anderson,University of British Columbia,Erica Field,Duke University,,,ALESSANDRA VOENA,Female,,,,,,NA,NA,NA,NA,NA
Alessandra Voena,Maternal Mortality Risk and the Gender Gap in Desired Fertility: An Experimental Study on Learning and Communication Inside the Household,University of Chicago,Jan. 6 2018,2:30 PM - 4:30 PM,"Pennsylvania Convention Center, 107-B",American Economic Association,How Entrenched Are Gender Norms in Developing Countries?,"J1, O1",NA,NA,James Fenske,University of Warwick,Raquel Fernandez,New York University,Micaela Sviatschi,Princeton University,Rachel Heath,University of Washington,,,ALESSANDRA VOENA,Female,,,,,,NA,NA,NA,NA,NA
Alessandro Pavan,Persuasion in Global Games with Application to Stress Testing,Northwestern University,Jan. 5 2018,2:30 PM - 4:30 PM,"Pennsylvania Convention Center, 203-B",American Economic Association,Information Design and Market Design,"C7, D8",NA,NA,Gabriel Carroll,Stanford University,Piotr Dworczak,University of Chicago,Yeon-Koo Che,Columbia University,Fuhito Kojima,Stanford University,,,ALESSANDRO PAVAN,Male,,,,,,NA,NA,NA,NA,NA
Alessandro Previtero,Financial Advisors and Risk-taking,Indiana University,Jan. 5 2018,2:30 PM - 4:30 PM,"Loews Philadelphia, Lescaze",Association of Financial Economists,Behavioral Finance,"G2, Y9",NA,NA,Malcolm Baker,Harvard Business School,Kim Peijnenburg,HEC Paris,Eric So,Massachusetts Institute of Technology,Tobias J. Moskowitz,Yale University,,,Alessandro Previtero,Male,,,,,,NA,NA,NA,NA,NA
Alessandro Rebucci,Uncertainty and Economic Activity: A Multi-Country Perspective,Johns Hopkins University,Jan. 5 2018,2:30 PM - 4:30 PM,"Pennsylvania Convention Center, 107-A",American Economic Association,Business Cycles,E3,NA,NA,,,,,,,,,,,ALESSANDRO REBUCCI,Male,,,,,,NA,NA,NA,NA,NA
Alessandro Rebucci,International Credit Supply Shocks,Johns Hopkins University,Jan. 5 2018,10:15 AM - 12:15 PM,"Loews Philadelphia, Washington B",American Real Estate and Urban Economics Association,Household Finance and Consumer Behavior,"R2, D1",NA,NA,Stephen Malpezzi,University of Wisconsin-Madison,Hyojung Lee,University of Southern California,Paul Ernesto Carrillo,George Washington University,Jung Hyun Choi,University of Southern California,,,ALESSANDRO REBUCCI,Male,,,,,,NA,NA,NA,NA,NA
Alex Edmans,The Value of Performance Signals Under Contracting Constraints,London Business School,Jan. 5 2018,10:15 AM - 12:15 PM,"Loews Philadelphia, Commonwealth Hall A1",American Finance Association,Compensation and Agency,G3,NA,NA,Ming Yang,Duke University,Robert Miller,Carnegie Mellon University,John Zhu,University of Pennsylvania,,,,,ALEX EDMANS,Male,,,,,,NA,NA,NA,NA,NA
Alex Edmans,The Effect of Diversification on Price Informativeness and Governance,London Business School,Jan. 6 2018,2:30 PM - 4:30 PM,"Loews Philadelphia, Regency Ballroom C2",American Finance Association,Information Frictions in Financial Markets,G0,NA,NA,Giorgia Piacentino,Columbia University,Gilles Chemla,Imperial College London,Sergei Kovbasyuk,Einaudi Institute for Economics and Finance,Nadya Malenko,Boston College,,,ALEX EDMANS,Male,,,,,,NA,NA,NA,NA,NA
Alex Edmans,"Employee Satisfaction, Labor Market Flexibility, and Stock Returns Around The World",London Business School,Jan. 5 2018,2:30 PM - 4:30 PM,"Loews Philadelphia, Commonwealth Hall A2",American Finance Association,Why Do Firms Invest in Corporate Social Responsibility and Does it Matter?,G3,NA,NA,Adair Morse,University of California-Berkeley,Craig Doidge,University of Toronto,Tracy Wang,University of Minnesota,Karl Lins,University of Utah,,,ALEX EDMANS,Male,,,,,,NA,NA,NA,NA,NA
Alex Hollingsworth,Health Insurance and Mortality,Indiana University,Jan. 7 2018,8:00 AM - 10:00 AM,"Marriott Philadelphia Downtown, Grand Ballroom Salon J",Health Economics Research Organization,Contributed Papers in Health Economics,I1,NA,NA,Edward Norton,University of Michigan,Christopher (Kitt) Carpenter,Vanderbilt University,Robert Kaestner,University of California-Riverside,,,,,Alex Hollingsworth,Male,,,,,,NA,NA,NA,NA,NA
Alexander Tepper,Deviations from Covered Interest Rate Parity,Columbia University,Jan. 5 2018,8:00 AM - 10:00 AM,"Loews Philadelphia, Parlor 1",International Economics and Finance Society,International Finance and Macroeconomics,F3,NA,NA,,,,,,,,,,,Alexander Tepper,Male,,,,,,NA,NA,NA,NA,NA
Alexandra Roulet,Unemployment Insurance and Reservation Wages: Evidence From Administrative Data,INSEAD,Jan. 5 2018,8:00 AM - 10:00 AM,"Pennsylvania Convention Center, 203-B",American Economic Association,Designing Unemployment Insurance,"J6, H2",NA,NA,Juan Francisco Jimeno,Bank of Spain,Jeffrey Smith,University of Michigan,Ioana Elena Marinescu,University of Chicago,Pauline Leung,Cornell University,,,Alexandra Roulet,Female,,,,,,NA,NA,NA,NA,NA
Alexandre Mas,Labor Supply and the Value of Nonwork Time: Experimental Estimates From the Field,Princeton University,Jan. 5 2018,2:30 PM - 4:30 PM,"Pennsylvania Convention Center, 104-A",American Economic Association,The Provision and Valuation of Non-wage Job Attributes,J3,NA,NA,Brent Richard Hickman,University of Chicago,Kevin Lang,Boston University,Kurt Lavetti,Ohio State University,Danielle Li,Harvard Business School,,,ALEXANDRE MAS,Male,,,,,,NA,NA,NA,NA,NA
Alexandre Mas,Sources of Displaced Workers' Long-term Earnings Losses,Princeton University,Jan. 6 2018,10:15 AM - 12:15 PM,"Pennsylvania Convention Center, 203-B",Labor and Employment Relations Association,The Role of the Employer in the Labor Market,J3,NA,NA,Jesse Rothstein,University of California-Berkeley,Alexandre Mas,Princeton University,,,,,,,ALEXANDRE MAS,Male,,,,,,NA,NA,NA,NA,NA
Alexei Tchistyi,An Equilibrium Model of Housing and Mortgage Markets with State-Contingent Lending Contracts,University of Illinois,Jan. 7 2018,8:00 AM - 10:00 AM,"Loews Philadelphia, Washington C",American Real Estate and Urban Economics Association,Real Estate Finance,"G2, R3",NA,NA,Elliot Anenberg,Federal Reserve Board,Alberto Rossi,University of Maryland,Adriano Rampini,Duke University,John Mondragon,Northwestern University,,,ALEXEI TCHISTYI,Male,,,,,,NA,NA,NA,NA,NA
Alexi Savov,Banking on Deposits: Maturity Transformation Without Interest Rate Risk,New York University,Jan. 6 2018,8:00 AM - 10:00 AM,"Pennsylvania Convention Center, 112-A",American Economic Association,Monetary Policy and Financial Intermediation,"E5, G2",NA,NA,Helene Rey,London Business School,Christopher Palmer,Massachusetts Institute of Technology,Adi Sunderam,Harvard University,Eric Swanson,University of California-Irvine,,,Alexi Savov,Male,,,,,,NA,NA,NA,NA,NA
Ali Hortacsu,Fire-sale Spillovers in Debt Markets,University of Chicago,Jan. 6 2018,8:00 AM - 10:00 AM,"Loews Philadelphia, Commonwealth Hall D",American Finance Association,Contagion in Financial Networks,G2,NA,NA,Uday Rajan,University of Michigan,Marco Di Maggio,Harvard Business School & NBER,Christian Julliard,London School of Economics,,,,,ALI HORTACSU,Male,,,,,,NA,NA,NA,NA,NA
Alireza Tahbaz-Salehi,Supply Chain Disruptions: Evidence From the Great East Japan Earthquake,Columbia University,Jan. 7 2018,10:15 AM - 12:15 PM,"Marriott Philadelphia Downtown, Grand Ballroom Salon B",American Economic Association,Production Networks,E0,NA,NA,,,,,,,,,,,Alireza Tahbaz-Salehi,Male,,,,,,NA,NA,NA,NA,NA
Alisdair Mckay,The Role of Countercyclical Fiscal Policy in a Low r* World,Boston University,Jan. 5 2018,8:00 AM - 10:00 AM,"Marriott Philadelphia Downtown, Grand Ballroom Salon C",American Economic Association,Fiscal Policy,"E3, F3",NA,NA,Sushant Acharya,Federal Reserve Bank of New York,David Evans,University of Oregon,Kyle Herkenhoff,University of Minnesota,Jesus Fernandez-Villaverde,University of Pennsylvania,,,ALISDAIR MCKAY,Male,,,,,,NA,NA,NA,NA,NA
Alminas Zaldokas,Anti-collusion Enforcement: Justice for Consumers and Equity for Firms,Hong Kong University of Science and Technology,Jan. 7 2018,1:00 PM - 3:00 PM,"Loews Philadelphia, Commonwealth Hall A1",American Finance Association,Finance and Product Market Competition,G3,NA,NA,Mireia Gine,University of Navarra & University of Pennsylvania,Judith A. Chevalier,Yale University,Nancy Rose,Massachusetts Institute of Technology,,,,,Alminas Zaldokas,Male,,,,,,NA,NA,NA,NA,NA
Almudena Sevilla,Parental Time Investments and Instantaneous Well-being,Queen Mary University of London,Jan. 7 2018,8:00 AM - 10:00 AM,"Marriott Philadelphia Downtown, Grand Ballroom Salon I",American Economic Association,Intrahousehold Decision-making and Well-being: Measurement and Evidence,"J1, D1",NA,NA,Erica Field,Duke University,Betsey Stevenson,University of Michigan,,,,,,,Almudena Sevilla,Female,,,,,,NA,NA,NA,NA,NA
Alp Simsek,Reach for Yield and Fickle Capital Flows,Massachusetts Institute of Technology,Jan. 6 2018,2:30 PM - 4:30 PM,"Marriott Philadelphia Downtown, Grand Ballroom Salon C",American Economic Association,International Finance and Emerging Markets,F3,NA,NA,Olivier Jeanne,Johns Hopkins University and Peterson Institute for Economics,Sebnem Kalemli-Ozcan,University of Maryland,Adrien Verdelhan,Massachusetts Institute of Technology,Matteo Maggiori,Harvard University,,,Alp Simsek,Male,,,,,,NA,NA,NA,NA,NA
Alp Simsek,A Risk-centric Model of Demand Recessions and Macroprudential Policy,Massachusetts Institute of Technology,Jan. 5 2018,2:30 PM - 4:30 PM,"Marriott Philadelphia Downtown, Grand Ballroom Salon C",American Economic Association,Credit Cycles and the Role of Macro-prudential Policy,"E3, G2",NA,NA,Jeremy Stein,Harvard University,Kristin J. Forbes,Massachusetts Institute of Technology,Helene Rey,London Business School,Nina Boyarchenko,Federal Reserve Bank of New York,,,Alp Simsek,Male,,,,,,NA,NA,NA,NA,NA
