author,paper_title,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation,author.y,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,X,X.1,X.2,X.3,X.4,,
Amil Petrin,Control Functions for a Class of Non-Separable Models without Independence and Monotonicity Conditions,University of Minnesota and NBER,Jan 09 2011,1:00 PM,"Sheraton, Plaza Court 6",Econometric Society,Econometric Methods,C0,Ivan Fernandez-Val,Boston University,Xun Tang,University of Pennsylvania,Kyoo il Kim,University of Minnesota,Ivan Fernandez-Val,Boston University,Abderrahim Taamouti,Universidad Carlos III de Madrid,,,AMIL PETRIN,Male,,,,,,NA,NA,NA,NA,NA,,
Amit Gandhi,Identification and Testing in Ascending Auctions with Unobserved Heterogeneity,University of Wisconsin,Jan 09 2011,8:00 AM,"Sheraton, Spruce",American Economic Association,Game Theory and Auctions,C7,Artie Zillante,University of North Carolina-Charlotte,,,,,,,,,,,Amit Gandhi,Male,,,,,,NA,NA,NA,NA,NA,,
Amit Gandhi,Nonparametric Testing and Identification in Ascending Auctions with Unobserved Heterogeneity,University of Wisconsin,Jan 09 2011,10:15 AM,"Sheraton, Plaza Court 2",Econometric Society,Econometric Methods in Industrial Organization,L1,Daniel Quint,University of Wisconsin-Madison,Han Hong,Stanford University,James W. Roberts,Duke University,Matthew Shum,CalTech,,,,,Amit Gandhi,Male,,,,,,NA,NA,NA,NA,NA,,
Amit Gandhi,Nonparametric Testing and Identification in Ascending Auctions with Unobserved Heterogeneity,University of Wisconsin,Jan 08 2011,2:30 PM,"Sheraton, Governor's Square 9",Industrial Organization Society,Heterogeneity in Auctions,L2,Jeremy Fox,University of Michigan,Harry J. Paarsch,University of Melbourne,Francesco Decarolis,University of Wisconsin,Jimmy Roberts,,Daniel Quint,University of Wisconsin,,,Amit Gandhi,Male,,,,,,NA,NA,NA,NA,NA,,
Amit Seru,"620 FICO, Take II: Securitization and Screening in the Subprime Mortgage Market",University of Chicago,Jan 08 2011,2:30 PM,"Sheraton, Governor's Square 17",American Economic Association,Financial Innovation and Securitization,G2,Douglas Diamond,University of Chicago,Gary Gorton,Yale University,Anil Kashyap,University of Chicago,Atif Mian,University of California-Berkeley,Karen Pence,Federal Reserve Board,,,AMIT SERU,Male,,,,,,NA,NA,NA,NA,NA,,
Amy Finkelstein,How General are Risk Preferences? Choices under Uncertainty in Different Domains,Massachusetts Institute of Technology,Jan 08 2011,2:30 PM,"Sheraton, Denver",American Economic Association,The Stability of Preferences Across Contexts,D1,Amy Finkelstein,Massachusetts Institute of Technology,Benjamin Handel,Northwestern University,Ulrike Malmendier,University of California-Berkeley,Botond Koszegi,University of California-Berkeley,,,,,AMY FINKELSTEIN,Female,,,,,,NA,NA,NA,NA,NA,,
Ana Fostel,Anxious and Crisis Economies,George Washington University,Jan 08 2011,8:00 AM,"Sheraton, Governor's Square 14",American Economic Association,Financial Crises and Macroeconomics (AEJ-Macro Session),E3,Steven Davis,University of Chicago,,,,,,,,,,,ANA FOSTEL,Female,,,,,,NA,NA,NA,NA,NA,,
Analia Schlosser,Parental Leave and Mothers' Careers: The Relative Importance of Job Protection and Cash Benefits,Tel Aviv University,Jan 09 2011,8:00 AM,"Sheraton, Terrace",American Economic Association,Family Economics: New Results on Mothers' Labor Market Success and Children's Long-Run Wellbeing,J1,Joshua Angrist,Massachusetts Institute of Technology and NBER,Betsey Stevenson,University of Pennsylvania,David Blau,Ohio State University,Rafael Lalive,University of Lausanne and CEPR,Joshua D. Angrist,angrist@mit.edu,,,ANALIA SCHLOSSER,Female,,,,,,NA,NA,NA,NA,NA,,
Andre Lucas,Mixed Measurement Dynamic Factor Models,VU University Amsterdam,Jan 09 2011,8:00 AM,"Marriott, Colorado Salons I & J",American Finance Association,Financial Econometrics,G1,Motohiro Yogo,Federal Reserve Bank of Minneapolis,Jessica Wachter,University of Pennsylvania,George Tauchen,Duke University,Lan Zhang,University of Illinois-Chicago,Emanuel Moench,Federal Reserve Bank of New York,,,Andre Lucas,Male,,,,,,NA,NA,NA,NA,NA,,
Andre Lucas,"Macro, Industry, and Frailty Effects in Defaults: The 2008 Credit Crisis in Perspective",VU University Amsterdam,Jan 08 2011,10:15 AM,"Marriott, Colorado Salons I & J",American Finance Association,Real Effects of Financing and Risk Management,G3,Krishnamurthy Subramanian,Emory University,Merih Sevilir,University of North Carolina-Chapel Hill,Yongxiang Wang,Columbia University,Philipp Schnabbl,New York University,Arthur Korteweg,Stanford University,,,Andre Lucas,Male,,,,,,NA,NA,NA,NA,NA,,
Andrea Buraschi,Learning and Rare Disasters in the Lucas Orchard,Imperial College London,Jan 07 2011,10:15 AM,"Marriott, Colorado Salon F",American Finance Association,The Next Generation of Rare Events Models in Asset Pricing,G1,Hanno Lustig,"University of California, Los Angeles",Ian Martin,Stanford University,Lars Lochstoer,Columbia University,Mikhail Chernov,London Business School,Pietro Veronesi,University of Chicago,,,Andrea Buraschi,Male,,,,,,NA,NA,NA,NA,NA,,
Andrea Ferrero,The Great Escape? A Quantitative Evaluation of the Fed's Non-Standard Policies,Federal Reserve Bank of New York,Jan 08 2011,10:15 AM,"Sheraton, Columbine",American Economic Association,The Policy Response to the Financial Crisis,E5,Veronica Guerrieri,University of Chicago,Olivier Jeanne,Johns Hopkins University,Nobuhiro Kiyotaki,Princeton University,Guido Lorenzoni,Massachusetts Institute of Technology,Michael Woodford,Columbia University,,,Andrea Ferrero,Male,,,,,,NA,NA,NA,NA,NA,,
Andrea Frazzini,Betting Against Beta,AQR Capital Management,Jan 07 2011,10:15 AM,"Sheraton, Plaza Court 1",Econometric Society,Financial Frictions and Asset Pricing,G0,Lasse Pedersen,New York University,Robin Greenwood,Harvard Business School,Joshua Coval,Harvard Business School,Arvind Krishnamurthy,Northwestern University,,,,,ANDREA FRAZZINI,Male,,,,,,NA,NA,NA,NA,NA,,
Andrea Weber,Does Indivisible Labor Explain the Difference between Micro and Macro Elasticities? A Meta-Analysis of Extensive Margin Elasticities,University of Mannheim,Jan 09 2011,10:15 AM,"Sheraton, Governor's Square 15",American Economic Association,Micro vs. Macro Labor Supply Elasticities,J2,Robert Hall,Stanford University,Robert Shimer,University of Chicago,Joseph Altonji,Yale University,Steve Davis,University of Chicago,David Card,University of California-Berkeley,,,ANDREA WEBER,Female,,,,,,NA,NA,NA,NA,NA,,
Andrei Levchenko,Firm Entry Trade and Welfare in Zipf's World,University of Michigan,Jan 09 2011,8:00 AM,"Sheraton, Columbine",American Economic Association,Welfare Gains from Trade,F1,Costas Arkolakis,Yale University,Karem Cosar,University of Chicago,Stefania Garetto,Boston University,Kathreen Russ,University of California-Davis,Ariel Burstein,University of California-Los Angeles,,,ANDREI LEVCHENKO,Male,,,,,,NA,NA,NA,NA,NA,,
Andrei Levchenko,International Trade and Institutional Change,University of Michigan,Jan 07 2011,8:00 AM,"Sheraton, Director's Row J",American Economic Association,Trade and Finance,F1,C. Fritz Foley,Harvard Business School,Arnaud Costinot,Massachusetts Institute of Technology,Marc Auboin,WTO,Robert Johnson,Dartmouth College,Kalina Manova,Stanford University,,,ANDREI LEVCHENKO,Male,,,,,,NA,NA,NA,NA,NA,,
Andrei Levchenko,"The \Collapse in Quality\"" Hypothesis""",University of Michigan,Jan 08 2011,2:30 PM,"Sheraton, Governor's Square 14",American Economic Association,The Great Trade Collapse of 2008-2009,F1,Gene Grossman,Princeton University,Brent Neiman,University of Chicago,Kalina Manova,Stanford University,Jonathan Eaton,Pennsylvania State University,Gene Grossman,Princeton University,,,ANDREI LEVCHENKO,Male,,,,,,NA,NA,NA,NA,NA,,
Andrei Shleifer,The Transformation of Finance,Harvard University,Jan 07 2011,2:30 PM,"Marriott, Colorado Salon E",American Finance Association,Lecture: The Transformation of Finance,G1,Raghuram Rajan,"University of Chicago, Booth School of Business",,,,,,,,,,,ANDREI SHLEIFER,Male,,,,,,NA,NA,NA,NA,NA,,
