paper_title,author
Is Ignorance Bliss? The Effect of Asymmetric Information between Spouses on Intra-household Allocations,Carolina Castilla
Trade Liberalization and Gender Inequality,Chinhui Juhn
Sexual Violence against Women and Labor Market Outcomes,Joseph J. Sabia
The Effects of School Calendar Type on Maternal Employment across Racial Groups: A Story of Child Care Availability,Jennifer Graves
The Impact of Crime and Insecurity on Trust in Democracy and Institutions,Luisa Blanco
Earnings Inequality and the Intersectionality of Gender and Ethnicity in Sub-Saharan Africa: The Case of Tanzanian Manufacturing,Juliet U. Elu
Access to Credit by Firms in Sub-Saharan Africa: How Relevant Is Gender?,Elizabeth Asiedu
Fidelity Networks and Long-Run Trends in HIV/AIDS Gender Gaps,Roland Pongou
The Informational Role of Voluntary Certification: Evidence from the Mexican Clean Industry Program,Andrew D. Foster
Liquidity Constraints and Deforestation: The Limitations of Payments for Ecosystem Services,Seema Jayachandran
What Does Reputation Buy? Differentiation in a Market for Third-Party Auditors,Esther Duflo
A Numerical Investigation of the Potential for Negative Emissions Leakage,Niven Winchester
Linking Numerical and Analytical Models of Carbon Leakage,Jared C. Carbone
"Leakage, Welfare, and Cost-Effectiveness of Carbon Policy",Kathy Baylis
Natural Gas: From Shortages to Abundance in the United States,Paul L. Joskow
Transportation Fuels Policy since the OPEC Embargo: Paved with Good Intentions,Christopher R. Knittel
Efficient Retail Pricing in Electricity and Natural Gas Markets,Steven L. Puller
Transaction Networks: Evidence from Mobile Money in Kenya,William Jack
Behavioral Biases and Firm Behavior: Evidence from Kenyan Retail Shops,Michael Kremer
"The Home Economics of E-Money: Velocity, Cash Management, and Discount Rates of M-Pesa Users",Isaac Mbiti
"Informal Risk Sharing, Index Insurance, and Risk Taking in Developing Countries",Ahmed Mushfiq Mobarak
Profitability of Fertilizer: Experimental Evidence from Female Rice Farmers in Mali,Lori Beaman
"Deposit Collecting: Unbundling the Role of Frequency, Salience, and Habit Formation in Generating Savings",Suresh de Mel
Benefit-Cost Analysis for Financial Regulation,Eric Posner
Financial Innovation and Portfolio Risks,Alp Simsek
Reflections on Finance and the Good Society,Robert J. Shiller
Can Financial Engineering Cure Cancer?,David E. Fagnan
Health Care Usage and Health Status of Immigrant Children: The Effects of Nativity versus Citizenship,Mónica García-Pérez
The Effects of Job Corps Training on Wages of Adolescents and Young Adults,German Blanco
The Poverty Gap in School Spending Following the Introduction of Title I,Elizabeth U. Cascio
Achieving the DREAM: The Effect of IRCA on Immigrant Youth Postsecondary Educational Access,Kalena E. Cortes
HIV Risk and Adolescent Behaviors in Africa,Anne Case
Learning from Others' HIV Testing: Updating Beliefs and Responding to Risk,Susan Godlonton
Do Sex Workers Respond to Disease? Evidence from the Male Market for Sex,Manisha Shah
"Inheritances, Intergenerational Transfers, and the Accumulation of Health",Katherine Grace Carman
Adult Antiretroviral Therapy and Child Health: Evidence from Scale-Up in Zambia,Adrienne M. Lucas
SSI for Disabled Immigrants: Why Do Ethnic Networks Matter?,Delia Furtado
Boys' Cognitive Skill Formation and Physical Growth: Long-Term Experimental Evidence on Critical Ages for Early Childhood Interventions,Tania Barham
Incentive Effects of Inheritances and Optimal Estate Taxation,Wojciech Kopczuk
The Estate Tax and Inter Vivos Transfers over Time,Kathleen McGarry
Income and Substitution Effects of Estate Taxation,James R. Hines Jr.
Estate Taxation with Altruism Heterogeneity,Emmanuel Farhi
Optimal Progressive Labor Income Taxation and Education Subsidies When Education Decisions and Intergenerational Transfers Are Endogenous,Dirk Krueger
Optimal Pension Systems with Simple Instruments,Mikhail Golosov
Some Basic Economics of National Security,Kevin M. Murphy
"Modest, Secure, and Informed: Successful Development in Conflict Zones",Eli Berman
Insurgent Compensation: Evidence from Iraq,Benjamin W. Bahney
An Analysis of Economic Warfare,Jeffrey Clemens
Genetic Diversity and the Origins of Cultural Fragmentation,Quamrul Ashraf
"Social Organizations, Violence, and Modern Growth",Avner Greif
Not the Opium of the People: Income and Secularization in a Panel of Prussian Counties,Sascha O. Becker
From Stagnation to Sustained Growth: The Role of Female Empowerment,Claude Diebolt
Nonparametric Instrumental Variables Estimation,Whitney K. Newey
What Do Instrumental Variable Models Deliver with Discrete Dependent Variables?,Andrew Chesher
Control Functions and Simultaneous Equations Methods,Richard Blundell
What Goes Up Must Come Down? Experimental Evidence on Intuitive Forecasting,John Beshears
Estimating the Effect of Salience in Wholesale and Retail Car Markets,Meghan R. Busse
Distinguishing Probability Weighting from Risk Misperceptions in Field Data,Levon Barseghyan
The Importance of Being Marginal: Gender Differences in Generosity,Stefano DellaVigna
Two Happiness Puzzles,Angus Deaton
Subjective Well-Being and Income: Is There Any Evidence of Satiation?,Betsey Stevenson
Aggregating Local Preferences to Guide Marginal Policy Adjustments,Daniel J. Benjamin
The Psychology of Tail Events: Progress and Challenges,Nicholas Barberis
An Approach to Incorporating Psychology into Economics,Matthew Rabin
Salience and Asset Prices,Pedro Bordalo
Views among Economists: Professional Consensus or Point-Counterpoint?,Roger Gordon
Economic Experts versus Average Americans,Paola Sapienza
Course Requirements for Bachelor's Degrees in Economics,William Bosshardt
One Essay on Dissertation Formats in Economics,Wendy A. Stock
How Economists Allocate Time to Teaching and Research,Sam Allgood
Economic Understanding in US High School Courses,William B. Walstad
