"author"
"Yaoyi Xi"
"Ozlem Onaran Prof"
"Akhisa Kato"
"Seung-Keun Martinez"
"Yichen Christy Zhou"
"Jósef Sigurdsson"
"Marieke Kleemans"
"Yalin Gunduz"
"Zhongyan Zhu"
"Oguzhan Ozbas"
"Bradyn Breon-Drish"
"Andres Donangelo"
"Naqun Huang"
"Xudong An"
"Janne Engblom"
"Tae-Hee Jo"
"Fadhel Kaboub"
"Jinqi Ye"
"Yanyou Chen"
"Amitrajeet A. Batabyal"
"International Monetary Fund"
"Sailesh Tanna"
"Chengchun Li"
"Mehtabul Azam"
"Dweepobotee Brahma"
"Debasri Mukherjee"
"Keshab Bhattarai"
"Nicolas Lambert"
"Tuomas Sandholm"
"Aureo de Paula"
"Bernardus V. Doornik"
"Sukjin Han"
"Ragan Petrie"
"Vilsa Curto"
"Monica Bhole"
"Haldun Anil"
"Sriya L. Anbil"
"Woan Foong Wong"
"Jose Maria Barrero"
"Jerry Nickelsburg"
"Po-Chun Huang"
"Tzu-Ting Yang"
"T.J. Rakitan"
"Munisamy Gopinath"
"Yanmin Gao"
"Adrian Lee"
"Ivan Boldyrev"
"Johanna Bockman"
"Andres Aradillas-Lopez"
"Boyoung Seo"
"Adrian Lopes"
"Somnath Das"
"Pak-Sing Choi"
"Leonce Ndikumana"
"Neepa Gaekwad Babulal"
"Nanivazo Malokele"
"Théophile Azomahou"
"Racky Badé"
"Bity Diene"
"Mbaye Diene"
"Gissele Gajate Garrido"
"Adedoyin Adesina"
"Oladele Akogun"
"Tasso Adamopoulos"
"V.V. Chari"
"Mortiz Schularick"
"Nicolas Inostroza"
"Brigham Walker"
"Na'ama Shenhav"
"Kamiar Mohaddes"
"Piergiorgio Alessandri"
"Sissel Jensen"
"YongKyu Gam"
"Radhakrishnan Gopalan"
"Victor DeMiguel"
"Simon Rottke"
"Junbo Wang"
"Ivan Alfaro"
"Zhenhua Chen"
"Iftekhar Hasan"
"Sangwon Lee"
"Zacharias Sautner"
"Chendi Zhang"
"Po-Hsuan Hsu"
"Zhonghua Wu"
"Zifeng Feng"
"Stanimira Milcheva"
"Jiro Yoshida"
"R. Vincent Pohl"
"Angshuman Gooptu"
"Kosali Simon"
"Polona Domadenik"
"Suryadipta Roy"
"Chuanqian Zhang"
"Reinhard Neck"
"Iciar Dominguez Lacasa"
"Asimina Christoforou"
"Vis Taraz"
"Jingyi Zhang"
"Shang-jin Wei"
"Gregori Galofre-Vila"
"Gisle James Natvik"
"Lingjiong Zhu"
"Rosta Farzan"
"Simon Siegenthaler"
"Lixin Ye"
"Tunay Oguz"
"Diana Bonfim"
"Maoyong Fan"
"Monica Garcia-Perez"
"Luise Görges"
"Tansel Yilmaser"
"Thesia I. Garner"
"Signe-Mary McKernan"
"Asit Mazumder"
"Zhun Xu"
"Hongkil Kim"
"Tianshu Li"
"Kaixing Huang"
"Yanghao Wang"
"Simon Hollands"
"Mashfiqur Khan"
"Xingtan Zhang"
"Vardges Levonyan"
"Andres Gonzalez"
"Jihong Song"
"Rajshree Agarwal"
"Sorapop Kiatpongsan"
"Manja Gärtner"
"Johanna Mollerstrom"
"Cecila Gaubert"
"Tomaz Cajner"
"Adrian Hamins-Puertolas"
"Aydoğan Alti"
"Michalis Vasios"
"Luofu Ye"
"Yesol Huh"
"S. Sarah Zhang"
"Ruidi Huang"
"Ivan Ivanov"
"Sohnke Bartram"
"Jongsub Lee"
"Kegon Tan"
"Chamna Yoon"
"Nauro Campos"
"Jarko Fidrmuc"
"Iikka Korhonen"
"Takayuni Nakahara"
"J. Dennis Chasse"
"Qingnan Xie"
"Yatang Lin"
"Zhuan Xie"
"Mingzuo Sun"
"Hong Ma"
"Takuo Sugaya"
"Bertel Schjerning"
"Yeon-Koo Che"
"Fuhito Kojima"
"Avinatan Hassidim"
"Jose Luis Fillat"
"Ott Toomet"
"Wenlan Luo"
"Hwagyun Hagen Kim"
"Yoosoon Chang"
"Changsik Kim"
"Yuqing Zhou"
"University of Lomé"
"Diery Seck"
"Akpan Ekpo"
"Douglason Omotor"
"Oladele Omosegbon"
"Savvina Chowdhury"
"Kijong Kim"
"Bichaka Fayissa"
"Stephan J. Goetz"
"Zhenyu Gao"
"Songman Kang"
"Jose Alberto Guerra Sr"
"Haishan Yuan"
"Giannina Vaccaro"
"Nattavudh Powdthavee"
"Mogens Fosgerau"
"Bibek Adhikari"
"Eckhard Janeba"
"Hyungsuk Byun"
"Metodij Hadzi-Vaskov"
"M. Ayhan Kose"
"Jongrim Ha"
"Tumer Kapan"
"Günter Strobl"
"Taejin Kim"
"Lubomir Petrasek"
"Xinjie Wang"
"Yangru Wu"
"Hongjun Yan"
"Zhaodong (Ken) Zhong"
"Narasimhan Jegadeesh"
"Joonki Noh"
"Kuntara Pukthuanthong"
"Wenting Ma"
"Vojislav Maksimovic"
"Weihua Zhao"
"Reinhard Ellwanger"
"Li-Shiun Chen"
"Pengfei Han"
"Marinho Bertanha"
"Stephan Lauermann"
"Arjada Bardhi"
"Yingni Guo"
"Ivan Fernandez-Val"
"Battista Severgnini"
"Imil Nurutdinov"
"Sokbae Lee"
"Youngki Shin"
"Ruey Tsay"
"Na Wang"
"Huifeng Yu"
"J. David Brown"
"Kyungmin Lee"
"Aselia Urmanbetova"
"Ivan Gambus"
"P. Sai-wing Ho"
"Gori Olusina-Daniel"
"Rajaram Krishnan"
"Raul Caruso"
"M. Mostak Ahamed"
"Sushanta K. Mallick"
"Saktinil Roy"
"Viswanath S. R"
"Udichibarna Bose"
"Serafeim Tsoukas"
"Suqin Ge"
"Zhaoyue Teng"
"Jipeng Zhang"
"Belton M. Fleisher"
"Xiaojun Wang"
"Rubal Dua"
"Deming Wu"
"Doh-Shin Jeon"
"Byung-Cheol Kim"
"Moamen Gouda"
"Raimundo Soto"
"Misak Avetisyan"
"W. Grimme"
"S. Maioli"
"Anming Zhang"
"Kari E.R. Heerman"
"Biplob Chowdhury"
"Nagaratnam Jeyasreedharan"
"Jianxin Wang"
"Chrismin Tang"
"Himabindu Himabindu Lakkaraju"
"Seyyed Ali Zeytoon Nejad Moosavian"
"Marieta V. Velikova"
"Areerat Kichkha"
"T. Norman Van Cott"
"Keshar Ghimire"
"Srečko Zimic"
"Jakina Debnam"
"Carycruz M. Bueno"
"Soohyung Lee"
"Jiafu An"
"Wenxuan Hou"
"Ayse Kabukcuoglu"
"Zhangfeng Jin"
"Mahvash S. Qureshi"
"Haizhou Huang"
"Cevat Aksoy"
"Matías Giaccobasso"
"Siavesh Radpour"
"Sianne Vijay"
"Zhenyu Wang"
"Mariassunta Giannetti"
"Sheng-Jun Xu"
"Yingdi Wang"
"Huaizhi Chen"
"Bige Kahraman"
"Hong Zhang"
"Leonce Bargeron"
"Kuang Kuang Deng"
"W. Scott Frame"
"Pierre-Guillaume Méon"
"Reshad Ahsan"
"Reshmaan Hussam"
"Atonu Rabbani"
"Charalampos Konstantinidis"
"V. Brian Viard"
"Shihe Fu"
"Feng-An Yang"
"Wangyang Lai"
"Julapa Jagtiani"
"Jeongmin Lee"
"Brendan Daley"
"Petur O. Jonsson"
"Ozlem Onaran"
"Natália Bracarense"
"Matías Vernengo"
"Julia Le Blanc"
"Alois Stutzer"
"Chuanyi Guo"
"Xuening Wang"
"Tianqi Gan"
"Huberto Ennis"
"M. Melinda Pitts"
"D. Sebastian Tello-Trillo"
"Jamein P. Cunningham"
"Cesar E. Tamayo"
"Guodong Chen"
"Minjoon Lee"
"Tong-yob Nam"
"Johanna Fajardo-Gonzalez"
"Veronica Frisancho"
"Siegwart Lindenberg"
"Ingela Alger"
"Jörgen Weibull"
"Gujun He"
"Zhiyao Chen"
"Hongda Zhong"
"Haoyu Gao"
"Hong Ru"
"Xiaoguang Yang"
"Ritam Chaurey"
"Xianjue Wang"
"Heski Bar-Isaac"
"Moqi Groen-Xu"
"Hongyan Li"
"Guanhao Feng"
"Dasol Kim"
"Soohun Kim"
"Gurdip Bakshi"
"Xiaohui Gao Bakshi"
"Tingyu Zhou"
"Chongyu Wang"
"Jarl Kallberg"
"Yoshiki Shimizu"
"Zhaohui Li"
"H. Banzhaf"
"Matej Bajgar"
"Novica Supic"
"Haoming Liu"
"Balbinder Singh Gill"
"Kose John"
"Zhuoqiong Charlie Chen"
"Ayse Ozgur Pehlivan"
"Nicolas Schutz"
"Eun-young Shim"
"Engy Ziedan"
"Jean-Stéphane Mésonnier"
"Kandarp Srinivasan"
"Shiko Maruyama"
"Chunzhou Mu"
"Kees van Gool"
"Johanna Kokot"
"Nivedhitha Subramanian"
"Ipshita Pal"
"Nidhiya Menon"
"Alpay Filiztekin"
"Ayhab Saad"
"Risto Herrala"
"Marinella Leone"
"Marzie Taheri Sanjani"
"Ayushi Narayan"
"Muhamet Yildiz"
"Victor Ronda"
"Ruixun Zhang"
"Eskil Heinesen"
"Pinka Chatterji"
"Xiangshi Liu"
"Qingqing Cao"
"Qingyun Wu"
"Imanol Arrieta Ibarra"
"Leonard Goff"
"Michaël Bikard"
"Marliese Uhrig-Homburg"
"Hyunseob Kim"
"Aazam Virani"
"Xiaodan Gao"
"Na Zhang"
"Berardino Palazzo"
"Simon Rother"
"Yadav Gopalan"
"Zihuan Wang"
"I. J. Alexander Dyck"
"Jongha Lim"
"Dowell Myers"
"Kangoh Lee"
"Solomiya Shpak"
"Oleksandr Shepotylo"
"Antoon Spithoven"
"Stephan Puhringer"
"Zohreh Emami"
"Debraj Ray"
"Ruqu Wang"
"Anujit Chakraborty"
"TangRen Feng"
"Shaowei Ke"
"Jingchao Li"
"Sida Peng"
"Luis Enrique Candelaria"
"Izaskun Zuazu"
"Venke Furre Haaland"
"Katsuhiko Nishiyama"
"Kanghyock Koh"
"Moundir Lassassi"
"J. Michael Collins"
"Tin-Chun Lin"
"Zarrina Jurakulova"
"Fafanyo Asiseh"
"Vidhura Tennekoon"
"Zhuang Hao"
"Warn N. Lekfuangfu"
"Dieu-Donne Donald Emmanuel"
"Jingbin He"
"Yao-Min Chiang"
"Jörn Boehnke"
"Jorg Weber"
"Szabolcs Blazsek"
"Trond Olsen"
"Bjorn Richter"
"Karligash Kenjegalieva"
"Daeyong Lee"
"Vegard Høghaug Larsen"
"Xuguang Sheng"
"Choongryul Yang"
"J. Michael McWilliams"
"Sudipto Dasgupta"
"Sehoon Kim"
"Batchimeg Sambalaibat"
"Ekkehart Boehmer"
"Haoming Chen"
"Shangming Yang"
"Carlianne Patrick"
"Yildiray Yildrim"
"Eul Noh"
"Yanying Chen"
"Yiyi Bai"
"Shusen Qi"
"Paul-Olivier Klein"
"Wolfram Elsner"
"Baban Hasnat"
"Adqas Afzal"
"Youzhi Yang"
"Seyed Mohammadreza Davoodalhosseini"
"Guofang Huang"
"Haiyan Liu"
"Zhentong Lu"
"Xiaoxia Shi"
"Victor Aguirregabiria"
"Keiichi Kawai"
"Ruitian Lang"
"Hongyi Li"
"Jaeseung Kim"
"Tanadej Vechsuruck"
