paper_title,author
Can Tailored Communications Motivate Environmental Volunteers? A Natural Field Experiment,Omar Al-Ubaydli
Using Artefactual Field Experiments to Learn about the Incentives for Sustainable Forest Use in Developing Economies,Maarten Voors
Long-Term Consequences of Vietnam-Era Conscription: New Estimates Using Social Security Data,Joshua D. Angrist
Battle Scars? The Puzzling Decline in Employment and Rise in Disability Receipt among Vietnam Era Veterans,David H. Autor
Long-Run Mortality Effects of Vietnam-Era Army Service: Evidence from Australia's Conscription Lotteries,Peter Siminski
The War at Home: Effects of Vietnam-Era Military Service on Postwar Household Stability,Dalton Conley
Race and Home Ownership from the End of the Civil War to the Present,William J. Collins
Covenants without Courts: Enforcing Residential Segregation with Legally Unenforceable Agreements,Richard R. W. Brooks
"The New Deal, Race, and Home Ownership in the 1920s and 1930s",Trevor M. Kollmann
Land and Racial Wealth Inequality,Melinda C. Miller
Heterogeneity in Choice Inconsistencies among the Elderly: Evidence from Prescription Drug Plan Choice,Jason Abaluck
Part D Formulary and Benefit Design as a Risk-Steering Mechanism,Dana P. Goldman
The Medium-Term Impact of Medicare Part D on Pharmaceutical Prices,Mark G. Duggan
Are Drugs Substitutes or Complements for Intensive (and Expensive) Medical Treatment,Yuting Zhang
The Risky Steady State,Nicolas Coeurdacier
Market Sentiment: A Tragedy of the Commons,Tarek A. Hassan
Disasterization: A Simple Way to Fix the Asset Pricing Properties of Macroeconomic Models,Xavier Gabaix
Regulating Asset Price Risk,Philippe Bacchetta
Leverage and the Financial Accelerator in a Liquidity Trap,Karel Mertens
Helping Consumers Know Themselves,Emir Kamenica
The Limits of Transparency: Pitfalls and Potential of Disclosing Conflicts of Interest,George Loewenstein
The Financial Education Fallacy,Lauren E. Willis
Superfund Cleanups and Infant Health,Janet Currie
Environmental Regulation and Labor Reallocation: Evidence from the Clean Air Act,W. Reed Walker
Water Quality Violations and Avoidance Behavior: Evidence from Bottled Water Consumption,Joshua Graff Zivin
"Monopsony, Mobility, and Sex Differences in Pay: Missouri School Teachers",Michael R. Ransom
Teacher Mobility Responses to Wage Changes: Evidence from a Quasi-natural Experiment,Torberg Falch
Negative Returns to Seniority and Job Mobility across the Program Quality Distribution: Are Top Public PhD-Granting Programs Different?,Michael J. Hilmer
Are Micro and Macro Labor Supply Elasticities Consistent? A Review of Evidence on the Intensive and Extensive Margins,Raj Chetty
Interpreting Labor Supply Regressions in a Model of Full- and Part-Time Work,Yongsung Chang
Labor Supply and the Extensive Margin,Richard Blundell
A Labor Supply Elasticity Accord?,Lars Ljungqvist
Which Dimensions of Culture Matter for Long-Run Growth?,Yuriy Gorodnichenko
Fertility and the Plough,Alberto Alesina
The Weight of History on European Cultural Integration: A Gravity Approach,Pauline Grosjean
Social Preferences and Fairness Norms as Informal Institutions: Experimental Evidence,Pamela Jakiela
Gender Gap in Performance under Competitive Pressure: Admissions to Czech Universities,Štěpán Jurajda
The Roma/Non-Roma Test Score Gap in Hungary,Gábor Kertesi
"Learn English, Not the Local Language! Ethnic Russians in the Baltic States",Ott Toomet
Oaxaca-Blinder as a Reweighting Estimator,Patrick Kline
Robustness to Parametric Assumptions in Missing Data Models,Bryan S. Graham
Flexible Estimation of Treatment Effect Parameters,Thomas MaCurdy
Origins of the Unemployment Rate: The Lasting Legacy of Measurement without Theory,David Card
The Lerner Index of Monopoly Power: Origins and Uses,Kenneth G. Elzinga
Real Wage Index Numbers,John Pencavel
The Impact of the Transatlantic Slave Trade on Ethnic Stratification in Africa,Warren Whatley
Global Financial Crisis and Africa: Is the Impact Permanent or Transitory? Time Series Evidence from North Africa,Hassan Y. Aly
Remittances and Income Smoothing,Catalina Amuedo-Dorantes
Applying Fixed Effects to Hierarchical Segregation Models,Dina Shatnawi
Does Mestizaje Matter in the US? Economic Stratification of Mexican Immigrants,Alberto Dávila
Estimating the Ex Ante Expected Returns to College,Andrew J. Hussey
Tracking Intergenerational Progress for Immigrant Groups: The Problem of Ethnic Attrition,Brian Duncan
Owner-Occupied Housing: Life-Cycle Implications for the Household Portfolio,Marjorie Flavin
House Prices and Marital Stability,Martin Farnham
"Hazardous Waste Cleanup, Neighborhood Gentrification, and Environmental Justice: Evidence from Restricted Access Census Block Data",Shanti Gamper-Rabindran
Estimating the Willingness to Pay to Avoid Violent Crime: A Dynamic Approach,Kelly C. Bishop
Compensating Differentials for Sexual Harassment,Joni Hersch
Chipping Away at the Glass Ceiling: Gender Spillovers in Corporate Leadership,David A. Matsa
Have Gender Gaps in Insurance Coverage and Access to Care Narrowed under Health Reform? Findings from Massachusetts,Sharon K. Long
International Migration and Gender Discrimination among Children Left Behind,Francisca M. Antman
