author,paper_title,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation,author.y,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,X,X.1,X.2,X.3,X.4
Ahmed Tahoun,The Power of the Street: Evidence from Egypt's Arab Spring,London Business School,Jan 04 2015,2:30 PM,"Boston Marriott Copley, Vermont",International Society for New Institutional Economics,"Institutions, Organization, and Entrepreneurship",L2,Francine Lafontaine,University of Michigan,Suresh Naidu,Columbia University,Renata Kosova,Imperial College London,Peter G. Klein,University of Missouri,Danielle Li,Northwestern University,,,Ahmed Tahoun,Male,,,,,,NA,NA,NA,NA,NA
Akhmed Umyarov,The Value of Employer Reputation in the Absence of Contract Enforcement: A Randomized Experiment,University of Minnesota,Jan 04 2015,8:00 AM,"Westin Copley, Great Republic",Labor & Employment Relations Association,Dissecting Job Search: Economic Approaches to Employers Screening Workers and Workers Screening Jobs,J2,Paul Osterman,Massachusetts Institute of Technology,Chris Stanton,University of Utah,Colleen Manchester,University of Minnesota,Conrad Miller,Princeton University,Hye Jin Rho,Massachusetts Institute of Technology,,,Akhmed Umyarov,Male,,,,,,NA,NA,NA,NA,NA
Alain Trannoy,Tax Me If You Can! Optimal Nonlinear Income Tax between Competing Governments,Aix-Marseille University,Jan 05 2015,1:00 PM,"Hynes Convention Center, Room 209",American Economic Association,Tax Compliance,H2,James Alm,Tulane University,,,,,,,,,,,ALAIN TRANNOY,Male,,,,,,NA,NA,NA,NA,NA
Alan Barreca,Adapting to Climate Change: The Remarkable Decline in the United States Temperature-Mortality Relationship over the 20th Century,Tulane University,Jan 05 2015,10:15 AM,"Sheraton Boston, Independence Ballroom West",American Economic Association,"Advances in Empirical Climate Economics (Q5, O4)",,Solomon Hsiang,University of California-Berkeley,Joshua Graff Zivin,University of California-San Diego,Melissa Dell,Harvard University,Benjamin A. Olken,Massachusetts Institute of Technology,Marshall Burke,University of California-Berkeley,,,Alan Barreca,Male,,,,,,NA,NA,NA,NA,NA
Alan J. Auerbach,Capital Taxation in the 21st Century,University of California-Berkeley,Jan 03 2015,8:00 AM,"Sheraton Boston, Independence Ballroom",American Economic Association,"A Discussion of Thomas Piketty's \Capital in the 21st Century\""""",D3,N. Gregory Mankiw,Harvard University,,,,,,,,,,,ALAN J. AUERBACH,Male,ALAN AUERBACH,,,,,NA,NA,NA,NA,NA
Alberto Abadie,Finite Population Causal Standard Errors,Harvard University,Jan 05 2015,10:15 AM,"Sheraton Boston, Berkeley Room",Econometric Society,Estimating Sampling Variances and Robust Inference,C1,Whitney Newey,Massachusetts Institute of Technology,,,,,,,,,,,ALBERTO ABADIE,Male,,,,,,NA,NA,NA,NA,NA
Alberto Abadie,Endogenous Stratification in Randomized Experiments,Harvard University,Jan 04 2015,2:30 PM,"Sheraton Boston, Beacon E",Econometric Society,Econometrics of Randomized Experiments,C9,Guido W. Imbens,Stanford University,,,,,,,,,,,ALBERTO ABADIE,Male,,,,,,NA,NA,NA,NA,NA
Alberto Galasso,Patents and Cumulative Innovation: Causal Evidence from the Courts,University of Toronto,Jan 04 2015,8:00 AM,"Sheraton Boston, Back Bay Ballroom C",American Economic Association,Intellectual Property Rights and Innovation,O3,William Kerr,Harvard Business School,,,,,,,,,,,ALBERTO GALASSO,Male,,,,,,NA,NA,NA,NA,NA
Alberto Martin,Managing Credit Bubbles,"CREI, Universitat Pompeu Fabra and Barcelona Graduate School of Economics",Jan 05 2015,1:00 PM,"Sheraton Boston, Constitution Ballroom A",American Economic Association,"Financial Constraints and Macroeconomic Risk (E3, F3)",,Jean Tirole,Toulouse School of Economics,Ricardo Caballero,Massachusetts Institute of Technology,Zhiguo He,University of Chicago,Thomas Philippon,New York University,Pierre-Olivier Gourinchas,University of California-Berkeley,,,ALBERTO MARTIN,Male,,,,,,NA,NA,NA,NA,NA
Alberto Salvo,Urban Air and Health Effects from Sao Paulo's Beltway,National University of Singapore,Jan 05 2015,1:00 PM,"Sheraton Boston, Hampton Room",Association of Environmental & Resource Economists,"Environment and Health (Q5, R4)",,Antonio Bento,Cornell University,Antonio Bento,Cornell University,Reed Walker,University of California-Berkeley,Matthew Kotchen,Yale University,Matthew Neidell,Columbia University,,,ALBERTO SALVO,Male,,,,,,NA,NA,NA,NA,NA
Aldo Rustichini,Self-Confidence and Strategic Behavior,University of Minnesota,Jan 04 2015,10:15 AM,"Sheraton Boston, Berkeley Room",American Economic Association,"Lying, Beliefs and Psychological Games (C9, D8)",,Gary Charness,University of California-Santa Barbara,Ragan Petrie,George Mason University,Ernesto Reuben,Columbia University,Jordi Brandts,Autonomous University of Barcelona,Markus Mobius,Microsoft Research,,,Aldo Rustichini,Male,,,,,,NA,NA,NA,NA,NA
Alec Brandon,The Impact of Social Information and Advertising on Technology Adoption,University of Chicago,Jan 05 2015,10:15 AM,"Sheraton Boston, Hampton Room",Association of Environmental & Resource Economists,"Behavioral Economics and Energy (Q4, D1)",,Catherine Wolfram,University of California-Berkeley,Brigitte C. Madrian,Harvard University,Paul Ferraro,Georgia State University,Joshua Schwartzstein,Dartmouth College,Stefano DellaVigna,University of California-Berkeley,,,Alec Brandon,Male,,,,,,NA,NA,NA,NA,NA
Alejandro Justiniano,Credit Supply and the Housing Boom,Federal Reserve Bank of Chicago,Jan 05 2015,8:00 AM,"Sheraton Boston, Beacon F",Econometric Society,"Are All Financial Shocks Alike? The Effects of Credit, Housing and Uncertainty Shocks (E3, E5)",,Francesco Furlanetto,Norges Bank,Vincenzo Quadrini,University of Southern California,Andreas Fuster,Federal Reserve Bank of New York,Zheng Liu,Federal Reserve Bank of San Francisco,Jonathan Wright,Johns Hopkins University,,,ALEJANDRO JUSTINIANO,Male,,,,,,NA,NA,NA,NA,NA
Alejandro Molnar,Sales Taxes Shielding on the Amazon.com Platform,Vanderbilt University,Jan 04 2015,8:00 AM,"Hynes Convention Center, Room 206",American Economic Association,"Electronic Commerce and Big Data (L8, M2)",,Justin Rao,Microsoft Research,David Reiley,"Google, Inc",Michael Ostrovsky,Stanford University,Steven Tadelis,University of California-Berkeley and eBay Research Labs,Denis Nekipelov,University of California-Berkeley,,,Alejandro Molnar,Male,,,,,,NA,NA,NA,NA,NA
Alejandro Molnar,Congesting the Commons: A Test for Strategic Congestion Externalities in the Airline Industry,Vanderbilt University,Jan 03 2015,8:00 AM,"Sheraton Boston, Exeter Room",Transportation & Public Utilities Group,Topics in Transportation Economics,L9,Patrick McCarthy,Georgia Institute of Technology,Kerry Tan,Loyola University-Maryland,Alejandro Molnar,Vanderbilt University,Jeffrey Cohen,University of Connecticut,Wesley Wilson,University of Oregon,,,Alejandro Molnar,Male,,,,,,NA,NA,NA,NA,NA
Alessandra Cassar,Gender Gap in Willingness to Compete Disappears with Child-Benefitting Incentives,University of San Francisco,Jan 04 2015,8:00 AM,"Boston Marriott Copley, St. Botolph",Association for Comparative Economic Studies,"Economic Anthropology (D2, P4)",,Ariel Ben Yishay,College of William & Mary,Andreas Leibbrandt,Monash University,Ariel Ben Yishay,College of William & Mary,Y. Jane Zhang,Hong Kong University of Science and Technology,Robert Akerlof,University of Warwick,,,Alessandra Cassar,Female,,,,,,NA,NA,NA,NA,NA
Alessandro Lizzeri,Collective Self-Control,New York University,Jan 03 2015,8:00 AM,"Hynes Convention Center, Room 204",American Economic Association,Behavioral Political Economy,D7,Erik Snowberg,California Institute of Technology,Steven Callander,Stanford University,Scott Ashworth,University of Chicago,Scott Page,University of Michigan,Stephen Ansolabehere,Harvard University,,,Alessandro Lizzeri,Male,,,,,,NA,NA,NA,NA,NA
Alessandro Pavan,Taxation under Learning-by-Doing: Incentives for Endogenous Types,Northwestern University,Jan 03 2015,2:30 PM,"Sheraton Boston, Beacon G",Econometric Society,Topics in Dynamic Contracting,C1,Leeat Yariv,California Institute of Technology,,,,,,,,,,,ALESSANDRO PAVAN,Male,,,,,,NA,NA,NA,NA,NA
Alessandro Previtero,"Procrastination, Present-Biased Preferences, and Financial Behaviors",University of Western Ontario,Jan 05 2015,10:15 AM,"Hynes Convention Center, Room 208",American Economic Association,"Insurance and Behavioral Economics: Policy Implications (D1, G2)",,Howard Kunreuther,University of Pennsylvania,David Laibson,Harvard University,Robert Shiller,Yale University,Maureen Cropper,University of Maryland,,,,,Alessandro Previtero,Male,,,,,,NA,NA,NA,NA,NA
Alessandro Rebucci,Optimal Capital Controls and Real Exchange Rate Policies: A Pecuniary Externality Perspective,Johns Hopkins University,Jan 05 2015,8:00 AM,"Hynes Convention Center, Room 209",American Economic Association,Emerging Markets,F3,Niloufer Sohrabji,Simmons College,,,,,,,,,,,ALESSANDRO REBUCCI,Male,,,,,,NA,NA,NA,NA,NA
Alessandro Rebucci,"Global Liquidity, House Prices, and the Macroeconomy: Evidence from Advanced and Emerging Economies",Johns Hopkins University,Jan 03 2015,8:00 AM,"Hynes Convention Center, Room 208",American Economic Association,"Capital Flows, Credit and Assets Cycles, and Macroprudential and Exchange Rate Policies (F3, F4)",,Nicolas Ernesto Magud,International Monetary Fund,Pierre-Olivier Gourinchas,University of California-Berkeley,Alberto Martin,"CREI, Universitat Pompeu Fabra and Barcelona Graduate School of Economics",Mark Spiegel,Federal Reserve Bank of San Francisco,Thomas Helbling,International Monetary Fund,Gurnain Pasricha,Bank of Canada,ALESSANDRO REBUCCI,Male,,,,,,NA,NA,NA,NA,NA
Alex Armand,"Who Wears the Trousers in the Family? Intra-Household Resource Control, Subjective Expectations and Human Capital Investment",University of Navarra and Institute for Fiscal Studies,Jan 05 2015,8:00 AM,"Sheraton Boston, Liberty B",American Economic Association,Economics of Education,I2,Celeste Carruthers,University of Tennessee,,,,,,,,,,,Alex Armand,Unknown,,,,,,NA,NA,NA,NA,NA
Alex Bryson,The Performance Pay Premium: How Big Is It and Does It Affect Wage Dispersion?,National Institute of Economic and Social Research,Jan 05 2015,10:15 AM,"Hynes Convention Center, Room 209",American Economic Association,Incentives to Work,J3,Isaac Swensen,Montana State University,,,,,,,,,,,ALEX BRYSON,Male,,,,,,NA,NA,NA,NA,NA
Alex Rees-Jones,Loss Aversion Motivates Tax Sheltering: Evidence from United States Tax Returns,University of Pennsylvania,Jan 03 2015,2:30 PM,"Hynes Convention Center, Room 202",American Economic Association,"Reference Points and Redistributive Taxation (H2, D3)",,Ilyana Kuziemko,Princeton University,Benjamin B. Lockwood,Harvard University,Tatiana Homonoff,Cornell University,Stefanie Stantcheva,Harvard University,Felix Bierbrauer,University of Cologne,,,Alex Rees-Jones,Male,,,,,,NA,NA,NA,NA,NA
Alex Solis,Credit Access and College Enrollment,Uppsala University,Jan 04 2015,10:15 AM,"Sheraton Boston, Boston Common",American Economic Association,"Credit Constraints and Educational Choices (I2, O1)",,Susan Dynarski,University of Michigan,Judith Scott-Clayton,Columbia University,Matthew Wiswall,Arizona State University,Katja Kaufmann,University of Bocconi,Meta Brown,Federal Reserve Bank of New York,,,Alex Solis,Male,,,,,,NA,NA,NA,NA,NA
Alexander Ljungqvist,State Capitalism vs. Private Enterprise,New York University,Jan 03 2015,8:00 AM,"Westin Copley, Essex Center",American Finance Association,Frontiers in Corporate Decision-Making,G1,Francisco Perez-Gonzalez,Stanford University and Instituto Tecnologico Autonomo de Mexico,Ulrike Malmendier,University of California-Berkeley,Kelly Shue,University of Chicago,David A. Matsa,Northwestern University,Daniel Wolfenzon,Columbia University,,,ALEXANDER LJUNGQVIST,Male,,,,,,NA,NA,NA,NA,NA
Alexander Ljungqvist,How Constraining Are Limits to Arbitrage?,New York University,Jan 03 2015,8:00 AM,"Boston Marriott Copley, Grand Ballroom—Salon I",Association of Financial Economists/American Economic Association,"Culture, Social Transmission, and Arbitrage in Financial Markets (G1, D7)",,Paola Sapienza,Northwestern University,Luigi Zingales,University of Chicago,Rene M. Stulz,Ohio State University,Alberto Bisin,New York University,Robin Greenwood,Harvard Business School,,,ALEXANDER LJUNGQVIST,Male,,,,,,NA,NA,NA,NA,NA
Alexander Monge-Naranjo,Optimal Income-Contingent Student Loans with Moral Hazard,Federal Reserve Bank of St. Louis,Jan 03 2015,10:15 AM,"Sheraton Boston, Beacon E",Econometric Society,"Policies to Foster Human Capital (I2, J2)",,Dirk Krueger,University of Pennsylvania,,,,,,,,,,,ALEXANDER MONGE-NARANJO,Male,ALEX MONGE-NARANJO,,,,,NA,NA,NA,NA,NA
Alexander Monge-Naranjo,Credit and Insurance for Human Capital Investment,Federal Reserve Bank of St. Louis,Jan 04 2015,10:15 AM,"Sheraton Boston, Boston Common",American Economic Association,"Credit Constraints and Educational Choices (I2, O1)",,Susan Dynarski,University of Michigan,Judith Scott-Clayton,Columbia University,Matthew Wiswall,Arizona State University,Katja Kaufmann,University of Bocconi,Meta Brown,Federal Reserve Bank of New York,,,ALEXANDER MONGE-NARANJO,Male,ALEX MONGE-NARANJO,,,,,NA,NA,NA,NA,NA
Alexander Strand,Disability Insurance and the Great Recession,Social Security Administration,Jan 05 2015,8:00 AM,"Sheraton Boston, Constitution Ballroom A",American Economic Association,How Did the Safety Net Perform During the Great Recession?,H5,David Card,University of California-Berkeley,,,,,,,,,,,Alexander Strand,Male,,,,,,NA,NA,NA,NA,NA
Alexander Wolitzky,Capital Taxation under Political Constraints,Massachusetts Institute of Technology,Jan 04 2015,8:00 AM,"Sheraton Boston, Beacon F",Econometric Society,Political Constraints and Voter Persuasion,P1,Emir Kamenica,University of Chicago,,,,,,,,,,,Alexander Wolitzky,Male,,,,,,NA,NA,NA,NA,NA
Alexandra Roulet,Creative Destruction and Subjective Well-Being,Harvard University,Jan 03 2015,2:30 PM,"Hynes Convention Center, Room 208",American Economic Association,"Well-Being: Measurement and Policies (I3, C8)",,Marc Fleurbaey,Princeton University,Fabrice Murtin,OECD and Sciences PO,Jakina Debnam,Cornell University,Florian Guyot,Sciences Po,Alexandra Roulet,Harvard University,,,Alexandra Roulet,Female,,,,,,NA,NA,NA,NA,NA
Alexandre Mas,"The Effect of Unemployment Benefits on the Duration of Unemployment: New Evidence from a Regression Kink Design in Missouri, 2003-2013",Princeton University,Jan 04 2015,10:15 AM,"Sheraton Boston, Back Bay Ballroom C",American Economic Association,"Social Insurance Programs and the Labor Market (H5, J1)",,Mark Duggan,Stanford University,Matthew Notowidigdo,University of Chicago,Erzo Luttmer,Dartmouth College,Petra Persson,Stanford University,Camille Landais,London School of Economics,,,ALEXANDRE MAS,Male,,,,,,NA,NA,NA,NA,NA
Alexandre Mas,Do Credit Market Shocks Affect the Real Economy? Quasi-Experimental Evidence from the Great Recession and 'Normal' Economic Times,Princeton University,Jan 05 2015,8:00 AM,"Hynes Convention Center, Room 207",American Economic Association,"Credit and Balance Sheets During the Great Recession (E2, D1)",,Christopher Carroll,Johns Hopkins University,Adi Sunderam,Harvard Business School,Tomasz Piskorski,Columbia University,Theresa Kuchler,New York University,Brigitte C. Madrian,Harvard University,,,ALEXANDRE MAS,Male,,,,,,NA,NA,NA,NA,NA
Alexi Savov,A Model of Monetary Policy and Risk Premia,New York University,Jan 03 2015,10:15 AM,"Westin Copley, Essex South",American Finance Association,Monetary Policy and Financial Markets,G2,Arvind Krishnamurthy,Stanford University,Eric Swanson,Federal Reserve Bank of San Francisco and University of California-Irvine,Stefan Nagel,University of Michigan,Yuriy Gorodnichenko,University of California-Berkeley,Anh Le,University of North Carolina,,,Alexi Savov,Male,,,,,,NA,NA,NA,NA,NA
Ali Hortacsu,"Advertising, Consumer Awareness and Choice: Evidence from the United States Banking Industry",University of Chicago,Jan 03 2015,2:30 PM,"Boston Marriott Copley, Grand Ballroom—Salon H",Industrial Organization Society,The Industrial Organization of Financial Services,L1,Jean-Francois Houde,University of Pennsylvania,Marc Rysman,Boston University,Michael Grubb,Boston College,Victor Stango,University of California-Davis,Alessandro Gavazza,London School of Economics,,,ALI HORTACSU,Male,,,,,,NA,NA,NA,NA,NA
Ali Hortacsu,Deposit Competition and Financial Fragility: Evidence from the United States Banking Sector,University of Chicago,Jan 04 2015,10:15 AM,"Boston Marriott Copley, Simmons",Industrial Organization Society,Frontiers of Empirical Industrial Organization,L1,Marc Rysman,Boston University,Chris Conlon,Columbia University,Francesco Decarolis,Boston University,Ginger Zhe Jin,University of Maryland,Dan Ackerberg,University of Michigan,,,ALI HORTACSU,Male,,,,,,NA,NA,NA,NA,NA
Ali Yurukoglu,"Dynamic Natural Monopoly Regulation: Time Inconsistency, Asymmetric Information, and Political Environments",Stanford University,Jan 05 2015,1:00 PM,"Sheraton Boston, Beacon E",Econometric Society,"Natural Resource Use: Benefits, Costs and Policy Response",Q3,Judith Chevalier,Yale University,,,,,,,,,,,ALI YURUKOGLU,Male,,,,,,NA,NA,NA,NA,NA
Alireza Tahbaz-Salehi,Inefficient Financial Market Formation,Columbia University,Jan 03 2015,10:15 AM,"Hynes Convention Center, Room 202",American Economic Association,"Financial Architecture and Regulation (G2, L1)",,Robert Townsend,Massachusetts Institute of Technology,Ariel Zetlin-Jones,Carnegie Mellon University,Michael Gofman,University of Wisconsin-Madison,Borghan Narajabad,Federal Reserve Board,Saki Bigio,Columbia University,,,Alireza Tahbaz-Salehi,Male,,,,,,NA,NA,NA,NA,NA
Almudena Sevilla,Parental Time Investments in Children: The Role of Competition for University Places in the UK,Queen Mary University of London,Jan 03 2015,8:00 AM,"Hynes Convention Center, Room 201",American Economic Association,"Children and Labor Market Outcomes (J1, J2)",,Claudia Olivetti,Boston University,Elizabeth Peters,Urban Institute,Lucie Schmidt,Williams College,Christina Felfe,University of St. Gallen,,,,,Almudena Sevilla,Female,,,,,,NA,NA,NA,NA,NA
Alon Brav,Shareholder Power and Corporate Innovation: Evidence from Hedge Fund Activism,Duke University,Jan 04 2015,8:00 AM,"Westin Copley, Essex South",American Finance Association,Empirical Corporate Governance,G3,Holger Mueller,New York University,Xavier Giroud,Massachusetts Institute of Technology,Shai Bernstein,Stanford University,Wei Jiang,Columbia University,Kelly Shue,University of Chicago,,,ALON BRAV,Male,,,,,,NA,NA,NA,NA,NA
Alp Simsek,Liquidity Trap and Excessive Leverage,Massachusetts Institute of Technology,Jan 05 2015,10:15 AM,"Sheraton Boston, Back Bay Ballroom C",American Economic Association,"Aggregate Demand Externalities (E6, E2)",,Olivier Blanchard,International Monetary Fund,John Geanakoplos,Yale University,Gauti Eggertsson,Brown University,Guido Lorenzoni,Northwestern University,,,,,Alp Simsek,Male,,,,,,NA,NA,NA,NA,NA
Alvin Murphy,Incorporating Dynamic Behavior into the Hedonic Model,Arizona State University,Jan 03 2015,10:15 AM,"Westin Copley, Defender",American Real Estate & Urban Economic Association,"Innovations to the Hedonic Model (R2, R1)",,Maisy Wong,University of Pennsylvania,Jaren Pope,Brigham Young University,Nicolai Kuminoff,Arizona State University,Daniel Fetter,Wellesley College,Christopher Palmer,University of California-Berkeley,,,ALVIN MURPHY,Male,,,,,,NA,NA,NA,NA,NA
Amanda Pallais,Leveling Up: Early Results from a Randomized Evaluation of Post-Secondary Aid,Harvard University,Jan 04 2015,2:30 PM,"Sheraton Boston, Constitution Ballroom A",American Economic Association,Issues in Higher Education,I2,Amanda Pallais,Harvard University,David Autor,Massachusetts Institute of Technology,Susan Dynarski,University of Michigan,Judith Scott-Clayton,Columbia University,Bridget Terry Long,Harvard University,,,Amanda Pallais,Female,,,,,,NA,NA,NA,NA,NA
Amanda Starc,Limited Network Insurance Plans in Massachusetts,University of Pennsylvania,Jan 04 2015,2:30 PM,"Sheraton Boston, Back Bay Ballroom C",American Economic Association,"Health Insurance Marketplaces: New Developments and Their Inplications (I1, L1)",,Leemore Dafny,Northwestern University,Joshua Schwartzstein,Dartmouth College,Katherine E. Ho,Columbia University,Cory Capps,Bates White,Robin S. Lee,Harvard University,,,Amanda Starc,Female,,,,,,NA,NA,NA,NA,NA
Amir Jina,The Causal Effects of Environmental Catastrophe on Economic Growth,Columbia University,Jan 05 2015,10:15 AM,"Sheraton Boston, Independence Ballroom West",American Economic Association,"Advances in Empirical Climate Economics (Q5, O4)",,Solomon Hsiang,University of California-Berkeley,Joshua Graff Zivin,University of California-San Diego,Melissa Dell,Harvard University,Benjamin A. Olken,Massachusetts Institute of Technology,Marshall Burke,University of California-Berkeley,,,Amir Jina,Male,,,,,,NA,NA,NA,NA,NA
Amir Jina,Impacts of Climate Change on Low-Lying and Flood-Prone Areas: The Case of Bangladesh,University of Chicago,Jan 03 2015,10:15 AM,"Sheraton Boston, Back Bay Ballroom C",American Economic Association,"High Stakes Energy and Environmental Problems in Developing Countries (Q4, Q5)",,Michael Greenstone,University of Chicago,,,,,,,,,,,Amir Jina,Male,,,,,,NA,NA,NA,NA,NA
Amir Sufi,House Price Gains and United States Household Spending from 2002 to 2006,University of Chicago,Jan 03 2015,8:00 AM,"Sheraton Boston, Constitution Ballroom B",American Economic Association,"Does Household Debt Act as a Transmission Mechanism for Long-Run Trends, Macroeconomic Shocks, and Policy? (E3, J2)",,Heather Boushey,Washington Center for Equitable Growth,Claudia Sahm,Federal Reserve Board of Governors,Ben Zipperer,Washington Center for Equitable Growth,Jeffrey Thompson,Federal Reserve Board of Governors,,,,,AMIR SUFI,Male,,,,,,NA,NA,NA,NA,NA
