author,paper_title,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation,author.y,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,X,X.1,X.2,X.3,X.4,,
Ajay Subramanian,"CEO Talent, CEO Compensation, and Product Market Competition",Georgia State University,Jan 05 2013,8:00 AM,"Marriott, Miramar",Association of Financial Economists,"Incentives, Contracts and Institutions",G3,Anthony Saunders,New York University,Dhammika Dharmapala,University of Illinois,Alex Edmans,University of Pennsylvania,Andrew Winton,University of Minnesota,,,,,AJAY SUBRAMANIAN,Male,,,,,,NA,NA,NA,NA,NA,,
Alan Barreca,"Coal, Smoke, and Death",Tulane University,Jan 04 2013,10:15 AM,"Hyatt, Emma C",Cliometrics Society,Public Goods Provision and the State,N4,Ahmed Rahman,United States Naval Academy,Mark Dincecco,IMT Lucca Institute for Advanced Studies,Se Yan,Peking University,John Parman,College of William & Mary,John Wallis,University of Maryland,,,Alan Barreca,Male,,,,,,NA,NA,NA,NA,NA,,
Alan Fuchs,Cash for Coolers,University of California-Berkeley,Jan 04 2013,2:30 PM,"Hyatt, Edward A",American Economic Association,Consumer Choice and Energy Demand: Empirical Policy Evaluations,Q4,Hunt Allcott,New York University,Judd Kessler,University of Pennsylvania,Peter C. Reiss,Stanford University,Kelsey Jack,Tufts University,Paulina Oliva,University of California-Santa Barbara,,,ALAN FUCHS,Male,,,,,,NA,NA,NA,NA,NA,,
Alan J. Auerbach,Output Spillovers from Fiscal Policy,University of California-Berkeley,Jan 05 2013,2:30 PM,"Hyatt, Elizabeth Ballroom G",American Economic Association,Global Macro Policy and the Great Recession,F4,Matthew Shapiro,University of Michigan,Anil Kashyap,University of Chicago,Harald Uhlig,University of Chicago,Allen Sinai,Decision Economics,,,,,ALAN J. AUERBACH,Male,ALAN AUERBACH,,,,,NA,NA,NA,NA,NA,,
Alan Krueger,Estimating the Return to College Selectivity over the Career Using Administrative Earnings Data,Princeton University,Jan 04 2013,2:30 PM,"Hyatt, Manchester G",American Economic Association,The Economics of Higher Education,I2,Joshua Angrist,Massachusetts Institute of Technology,Sarah Reber,University of California-Los Angeles,Jeffrey Smith,University of Michigan,Jonathan Guryan,Northwestern University,Jesse Rothstein,University of California-Berkeley,,,ALAN KRUEGER,Male,,,,,,NA,NA,NA,NA,NA,,
Albert Saiz,Interest Rates and Fundamental Fluctuations in Home Values,Massachusetts Institute of Technology,Jan 06 2013,1:00 PM,"Marriott, Rancho Santa Fe 3",American Real Estate & Urban Economic Association,Housing and the Macroeconomy,E2,Morris Davis,University of Wisconsin,Jesse Gregory,University of Wisconsin,Gabriel Ehrlich,Congressional Budget Office,Erwan Quintin,University of Wisconsin,Andra Ghent,Arizona State University,,,ALBERT SAIZ,Male,,,,,,NA,NA,NA,NA,NA,,
Alberto Manconi,Buybacks Around the World,Tilburg University,Jan 05 2013,8:00 AM,"Marriott, Marina Salon E",American Finance Association,"Dividends, Repurchases, and Private Placements",G3,Mark Leary,Washington University-Saint Louis,Scott Weisbenner,University of Illinois at Urbana-Champaign,Roni Michaely,Cornell University,Yelena Larkin,Pennsylvania State University,Jacob Oded,Tel Aviv University,,,Alberto Manconi,Male,,,,,,NA,NA,NA,NA,NA,,
Alberto Salvo,Grab Them Before They Go Generic: Habit Formation and the Emerging Middle Class,Northwestern University,Jan 06 2013,1:00 PM,"Hyatt, Edward A",American Economic Association,The Role of Information in Emerging Markets,D8,Alberto Salvo,Northwestern University,Santosh Anagol,University of Pennsylvania,Ginger Zhe Jin,University of Maryland,Daniel E. Keniston,Yale University,Alberto Salvo,Northwestern University,,,ALBERTO SALVO,Male,,,,,,NA,NA,NA,NA,NA,,
Aldo Rustichini,"Moral Hypocrisy, Power and Social Preferences",University of Minnesota,Jan 06 2013,10:15 AM,"Hyatt, Molly A & B",American Economic Association,"Deception, Self-Deception and Incentives",D6,Aldo Rustichini,University of Minnesota,,,,,,,,,,,Aldo Rustichini,Male,,,,,,NA,NA,NA,NA,NA,,
Aleh Tsyvinski,A Theory of Asset Prices Based on Heterogeneous Information,Yale University,Jan 06 2013,10:15 AM,"Marriott, Balboa & Mission Hills",American Finance Association,Asset Pricing,G1,Suleyman Basak,London Business School,Hongjun Yan,Yale University,Bradyn Breon-Drish,Stanford University,Zhiguo He,University of Chicago and NBER,,,,,ALEH TSYVINSKI,Male,,,,,,NA,NA,NA,NA,NA,,
Aleh Tsyvinski,Optimal Pension Systems with Simple Instruments,Yale University,Jan 06 2013,8:00 AM,"Hyatt, Elizabeth Ballroom G",American Economic Association,Optimal Taxation and Social Insurance,H2,Mikhail Golosov,Princeton University,,,,,,,,,,,ALEH TSYVINSKI,Male,,,,,,NA,NA,NA,NA,NA,,
Aleh Tsyvinski,Revolution and Industrialization in Russia Through the Lens of Neoclassical Growth Theory,Yale University,Jan 05 2013,8:00 AM,"Hyatt, Gallery",Association for Comparative Economic Studies/American Economic Association,Social and Economic Consequences of Land Reforms in Russia,N3,Sergei Guriev,New Economic School,Amanda Gregg,Yale University,Paul Gregory,University of Houston,Steven Nafziger,Williams College,,,,,ALEH TSYVINSKI,Male,,,,,,NA,NA,NA,NA,NA,,
Alessandro Previtero,Stock Market Returns and Annuitization: A Case of Myopic Extrapolation,University of Western Ontario,Jan 05 2013,2:30 PM,"Marriott, Marina Salon E",American Finance Association,Behavioral Finance-Individuals,G1,Brad Barber,University of California-Davis,Jeffrey R. Brown,University of Illinois at Urbana-Champaign,Simon Gervais,Duke University,James J. Choi,Yale University,Bing Han,University of Texas-Austin,,,Alessandro Previtero,Male,,,,,,NA,NA,NA,NA,NA,,
Alessandro Tarozzi,Impacts of a Randomized Controlled Trial in Arsenic Risk Communication on Household Water Supply Choices in Bangladesh,Duke University,Jan 04 2013,2:30 PM,"Hyatt, Ford A",Association for Economic & Development Studies in Bangladesh,"Improving the Lives of Poor and Ultra-poor: Arsenic Information, Empowerment of Adolescents, Entrepreneurship, and SME",O1,Fahad Khalil,University of Washington,Pallab Mazumder,Florida International University,Craig Mcintosh,University of California-San Diego,Asadul Islam,Monash University,Forhad Shilpi,World Bank,,,Alessandro Tarozzi,Male,,,,,,NA,NA,NA,NA,NA,,
Alessio Saretto,"Corporate Leverage, Debt Maturity and Credit Supply: The Role of Credit Default Swaps",University of Texas-Dallas,Jan 06 2013,1:00 PM,"Hyatt, Elizabeth Ballroom F",American Economic Association,Causes and Consequences of Credit Default Swap Trading,G1,Francis Longstaff,University of California-Los Angeles,Or Shachar,New York University,Murillo Campello,Cornell University,Erik Staffor,Harvard Business School,Jennie Bai,Federal Reserve Bank of New York,,,Alessio Saretto,Male,,,,,,NA,NA,NA,NA,NA,,
Alessio Saretto,"Corporate Leverage, Debt Maturity and Credit Supply:The Role of Credit Default Swaps",University of Texas-Austin,Jan 04 2013,8:00 AM,"Marriott, Marina Salon E",American Finance Association,Capital Structure,G3,Amy Dittmar,University of Michigan-Ann Arbor,John Graham,Duke University,Ilya Strebulaev,Stanford University,Ing-Haw Cheng,University of Michigan,Neng Wang,Columbia University,,,Alessio Saretto,Male,,,,,,NA,NA,NA,NA,NA,,
Alex Bryson,"Does Workplace Voice Compliment or Substitute Civic Engagement? Evidence from Britain, Canada and the U.S",Policy Studies Institute,Jan 05 2013,10:15 AM,"Marriott, Oceanside",Labor & Employment Relations Association,Union Members as Citizens,J5,John Logan,San Francisco State University,Aaron Sojourner,University of Minnesota,Marick Masters,Wayne State University,,,,,,,ALEX BRYSON,Male,,,,,,NA,NA,NA,NA,NA,,
Alex Edmans,Feedback Effects and the Limits to Arbitrage,University of Pennsylvania,Jan 06 2013,10:15 AM,"Marriott, Marina Salon D",American Finance Association,"Arbitrage, Trading, and Frictions",G1,Thierry Foucault,HEC Paris,Johan Hombert,HEC Paris,Robin Greenwood,Harvard Business School,Martin Oehmke,Columbia University,,,,,ALEX EDMANS,Male,,,,,,NA,NA,NA,NA,NA,,
Alex Rees-Jones,Can Revealed-Preference Tradeoffs Be Inferred From Happiness Data? Evidence from Residency Choices,Cornell University,Jan 04 2013,2:30 PM,"Hyatt, Molly A & B",American Economic Association,Economics and Well-Being,D6,Angus Deaton,Princeton University,Angus S. Deaton,Princeton University,Carol Graham,University of Maryland and Brookings Institution,Michael I. Norton,Harvard Business School,Guy Mayraz,University of Melbourne,,,Alex Rees-Jones,Male,,,,,,NA,NA,NA,NA,NA,,
Alexander Bick,Taxation and Labor Supply of Married Women: A Macroeconomic Cross-Country Analysis,Arizona State University,Jan 06 2013,10:15 AM,"Hyatt, America's Cup A & B",Econometric Society,Labor Markets and the Aggregate Economy,J6,Iourii Manovskii,Economics University of Pennsylvania,,,,,,,,,,,Alexander Bick,Male,,,,,,NA,NA,NA,NA,NA,,
Alexander Ljungqvist,As Certain as Debt and Taxes: Estimating the Tax Sensitivity of Leverage from Exogenous State Tax Changes,New York University,Jan 04 2013,8:00 AM,"Marriott, Marina Salon E",American Finance Association,Capital Structure,G3,Amy Dittmar,University of Michigan-Ann Arbor,John Graham,Duke University,Ilya Strebulaev,Stanford University,Ing-Haw Cheng,University of Michigan,Neng Wang,Columbia University,,,ALEXANDER LJUNGQVIST,Male,,,,,,NA,NA,NA,NA,NA,,
Alexander Ludwig,Optimal Progressive Income Taxation with Endogenous Education Decisions and Intergenerational Transfers,University of Cologne,Jan 06 2013,8:00 AM,"Hyatt, Elizabeth Ballroom G",American Economic Association,Optimal Taxation and Social Insurance,H2,Mikhail Golosov,Princeton University,,,,,,,,,,,Alexander Ludwig,Male,,,,,,NA,NA,NA,NA,NA,,
Alexander Pfaff,Impacts of a Randomized Controlled Trial in Arsenic Risk Communication on Household Water Supply Choices in Bangladesh,Duke University,Jan 04 2013,2:30 PM,"Hyatt, Ford A",Association for Economic & Development Studies in Bangladesh,"Improving the Lives of Poor and Ultra-poor: Arsenic Information, Empowerment of Adolescents, Entrepreneurship, and SME",O1,Fahad Khalil,University of Washington,Pallab Mazumder,Florida International University,Craig Mcintosh,University of California-San Diego,Asadul Islam,Monash University,Forhad Shilpi,World Bank,,,ALEXANDER PFAFF,Male,,,,,,NA,NA,NA,NA,NA,,
Alexander Rothenberg,Transport Infrastructure and Firm Location Choice in Equilibrium: Evidence from Indonesia's Highways,RAND Corporation,Jan 06 2013,10:15 AM,"Hyatt, Randle D",American Economic Association,Urbanization and Transportation Infrastructure in Developing Countries,O1,Benjamin A. Olken,Massachusetts Institute of Technology,Michael E. Waugh,New York University,Nancy Qian,Yale University,Benjamin A. Olken,Massachusetts Institute of Technology,Guy Michaels,London School of Economics,,,Alexander Rothenberg,Male,,,,,,NA,NA,NA,NA,NA,,
Alexandre Skiba,How Geography Affects Quality,University of Wyoming,Jan 05 2013,2:30 PM,"Marriott, Torrey Pines 2",International Trade & Finance Association,International Trade,F1,Georg Schaur,University of Tennessee,,,,,,,,,,,ALEXANDRE SKIBA,Male,,,,,,NA,NA,NA,NA,NA,,
Ali Shourideh,External Financing and the Role of Financial Frictions over the Business Cycle: Measurement and Theory,University of Pennsylvania,Jan 06 2013,1:00 PM,"Hyatt, Elizabeth Ballroom H",American Economic Association,Financial Crises,E5,Vincenzo Quadrini,University of Southern California,Vincenzo Quadrini,University of Southern California,Frederic Malherbe,London Business School,Pablo Kurlat,Stanford University,Ali Shourideh,University of Pennsylvania,,,Ali Shourideh,Male,,,,,,NA,NA,NA,NA,NA,,
Alireza Tahbaz-Salehi,Systemic Risk and Stability in Financial Networks,Massachusetts Institute of Technology,Jan 04 2013,8:00 AM,"Hyatt, Elizabeth Ballroom F",American Economic Association,Financial Networks,G1,Ethan Cohen-Cole,University of Maryland,Matthew O. Jackson,Stanford University,Daron Acemoglu,Massachusetts Institute of Technology,Ethan Cohen-Cole,University of Maryland,,,,,Alireza Tahbaz-Salehi,Male,,,,,,NA,NA,NA,NA,NA,,
Allan Timmermann,Choice of Sample Split in Out-of-Sample Forecast Evaluation,University of California-San Diego,Jan 04 2013,2:30 PM,"Hyatt, Emma A & B",Econometric Society,Forecasting/Financial Econometrics,C5,Allan Timmermann,University of California-San Diego,Yanqin Fan,Vanderbilt University,Marcelo Moreira,FGV,Jesus Fernandez-Villaverde,University of Pennsylvania,Barbara Rossi,Universitat Pompeu Fabra,,,ALLAN TIMMERMANN,Male,,,,,,NA,NA,NA,NA,NA,,
Allen Ferrell,"Thirty Years of Shareholder Rights and Stock Returns: Beta, Not Alpha?",Harvard University,Jan 04 2013,2:30 PM,"Marriott, Santa Rosa",American Finance Association/Association of Financial Economists,Shareholder Rights and Corporate Control,G3,Kose John,New York University,Dalida Kadyrzhanova,University of Maryland,Marcin Kacperczyk,New York University,Anzhela Knyazeva,University of Rochester,S. Abraham Ravid,Yeshiva University,,,ALLEN FERRELL,Male,,,,,,NA,NA,NA,NA,NA,,
Allison Shertzer,"Segregation, Race, and Ethnicity: New Evidence from American Cities, 1900-1930",University of Pittsburgh,Jan 05 2013,2:30 PM,"Hyatt, Emma C",Economic History Association,Migration,N3,Michael Haupert,University of Wisconsin-La Crosse,Michael Haupert,University of Wisconsin-La Crosse,Joseph Ferrie,Northwestern University,Suresh Naidu,Columbia University,Latika Chaudhary,Scripps College,,,Allison Shertzer,Female,,,,,,NA,NA,NA,NA,NA,,
Alon Eizenberg,Grab Them Before They Go Generic: Habit Formation and the Emerging Middle Class,Hebrew University of Jerusalem,Jan 06 2013,1:00 PM,"Hyatt, Edward A",American Economic Association,The Role of Information in Emerging Markets,D8,Alberto Salvo,Northwestern University,Santosh Anagol,University of Pennsylvania,Ginger Zhe Jin,University of Maryland,Daniel E. Keniston,Yale University,Alberto Salvo,Northwestern University,,,Alon Eizenberg,Male,,,,,,NA,NA,NA,NA,NA,,
Alp Simsek,Financial Innovation and Portfolio Risks,Harvard University,Jan 06 2013,10:15 AM,"Hyatt, Manchester A",American Economic Association,"Speculation, Insurance and Financial Regulation",G2,Andrei Kirileinko,Massachusetts Institute of Technology,Hayne E. Leland,University of California-Berkeley,Darrell Duffie,Stanford University,Patrick Bolton,Columbia University,Markus K. Brunnermeier,Princeton University,,,Alp Simsek,Male,,,,,,NA,NA,NA,NA,NA,,
Alp Simsek,A Welfare Criterion for Models with Distorted Beliefs,Harvard University,Jan 06 2013,8:00 AM,"Hyatt, America's Cup C",Econometric Society,Beliefs Distortions and Welfare,D9,Markus Brunnermeier,Princeton University,Thomas Eisenbach,Federal Reserve Bank of New York,Alp Simsek,Harvard University,Larry Samuelson,Yale University,,,,,Alp Simsek,Male,,,,,,NA,NA,NA,NA,NA,,
Alvin Murphy,Estimating Neighborhood Choice Models: Lessons from a Housing Assistance Experiment,Washington University in St. Louis,Jan 05 2013,8:00 AM,"Marriott, Torrey Pines 2",American Real Estate & Urban Economic Association,Location and Neighborhood,R2,Matthew Kahn,University of California-Los Angeles,Matthew Kahn,University of California-Los Angeles,,,,,,,,,ALVIN MURPHY,Male,,,,,,NA,NA,NA,NA,NA,,
Amalia R. Miller,Playing the Fertility Game at Work,University of Virginia and RAND,Jan 06 2013,8:00 AM,"Hyatt, Windsor B & C",American Economic Association,Family Formation,J1,Shelly Lundberg,University of California-Santa Barbara,,,,,,,,,,,Amalia R. Miller,Female,AMALIA MILLER,,,,,NA,NA,NA,NA,NA,,
Amanda Starc,Competition and Private Provision in Medicare Advantage,University of Pennsylvania,Jan 04 2013,8:00 AM,"Hyatt, Gregory A & B",American Economic Association,Consequences of Health Reform for Private Markets: Evidence from Public Sector Regulations,I1,Joseph Doyle,Massachusetts Institute of Technology,David Molitor,Massachusetts Institute of Technology,Thomas Buchmueller,University of Michigan,Marit Rehavi,University of British Columbia,Michael Dickstein,Cowles Foundation at Yale University,,,Amanda Starc,Female,,,,,,NA,NA,NA,NA,NA,,
Amanda Starc,How Product Standardization Affects Choice: Evidence from the Massachusetts Health Insurance Exchange,University of Pennsylvania,Jan 06 2013,10:15 AM,"Hyatt, Edward A",American Economic Association,"Information, Health, and Insurance",I1,Keith Ericson,Boston University,Ginger Zhe Jin,University of Maryland,Joshua D. Gottlieb,University of British Columbia,Sofia Villas-Boas,University of California-Berkeley,Josh Schwartzstein,Dartmouth College,,,Amanda Starc,Female,,,,,,NA,NA,NA,NA,NA,,
Amedeo Piolatto,Ethical Voters and the Demand for Political News,"IEB, University of Barcelona",Jan 05 2013,8:00 AM,"Hyatt, Ford B",American Economic Association,Politics,D8,Henry Chappell,University of South Carolina,,,,,,,,,,,Amedeo Piolatto,Male,,,,,,NA,NA,NA,NA,NA,,
Amil Dasgupta,The Wall Street Walk when Blockholders Compete for Flows,London School of Economics,Jan 04 2013,2:30 PM,"Marriott, Marina Salon E",American Finance Association,Corporate Finance Theory,G3,Robert Marquez,University of California-Davis,Gustavo Manso,University of California-Berkeley,Eitan Goldman,Indiana University-Bloomington,Nadya Malenko,Boston College,,,,,Amil Dasgupta,Male,,,,,,NA,NA,NA,NA,NA,,
Amit Gandhi,Does Belief Heterogeneity Explain Asset Prices: The Case of the Longshot Bias,University of Wisconsin-Madison,Jan 06 2013,1:00 PM,"Hyatt, Gregory A & B",American Economic Association,Belief Heterogeneity in Asset and Insurance Markets,D4,Ricardo Serrano-Padial,University of Wisconsin-Madison,Johannes Spinnewijn,London School of Economics,Alvaro Sandroni,Northwestern University,Elias Albagli,University of Southern California,Rajiv Sethi,"Barnard College, Columbia University",,,Amit Gandhi,Male,,,,,,NA,NA,NA,NA,NA,,
Amit Goyal,Misvaluation and Return Anomalies in Distress Stocks,University of Lausanne,Jan 05 2013,8:00 AM,"Marriott, Marina Salon D",American Finance Association,Anomalies and Inefficiency II,G1,Long Chen,Cheung Kong Graduate School of Business,Kent Daniel,Columbia University,Amiyatosh Purnanandam,University of Michigan,Zhi Da,University of Notre Dame,Lauren Cohen,Harvard Business School,,,Amit Goyal,Male,,,,,,NA,NA,NA,NA,NA,,
Amit Seru,Inconsistent Regulators: Evidence from Banking,University of Chicago,Jan 04 2013,10:15 AM,"Marriott, Balboa & Mission Hills",American Finance Association,Banking and Financial Institutions I,G2,Philip Bond,University of Minnesota-Twin Cities,Ross Levine,University of California-Berkeley,Paola Sapienza,Northwestern University,Christine Parlour,University of California-Berkeley,,,,,AMIT SERU,Male,,,,,,NA,NA,NA,NA,NA,,
Amit Seru,"Technological Innovation, Resource Allocation and Growth",University of Chicago,Jan 06 2013,10:15 AM,"Hyatt, Cunningham A & B",Econometric Society,Real Effects of Entrepreneurship and Innovation,L2,David Sraer,Princeton University,Petra Moser,Stanford University,Patrick Kline,University of California-Berkeley,Matthew J. Notowidigdo,University of Chicago,Shawn A. Cole,Harvard Business School,,,AMIT SERU,Male,,,,,,NA,NA,NA,NA,NA,,
Amit Seru,"Technological Innovation, Resource Allocation, and Growth",University of Chicago,Jan 05 2013,10:15 AM,"Hyatt, Ford C",American Economic Association,Technological Change,O3,Arthur Diamond,University of Nebraska-Omaha,,,,,,,,,,,AMIT SERU,Male,,,,,,NA,NA,NA,NA,NA,,
Amitabh Chandra,Healthcare Exceptionalism? Productivity and Allocation in the U.S. Healthcare Sector,Harvard University,Jan 04 2013,10:15 AM,"Hyatt, Manchester A",American Economic Association,"Firms, Innovation and Productivity",O4,Chad Syverson,University of Chicago,,,,,,,,,,,AMITABH CHANDRA,Male,,,,,,NA,NA,NA,NA,NA,,
Amiyatosh Purnanandam,Growth Option Exercise and Capital Structure,University of Michigan-Ann Arbor,Jan 04 2013,8:00 AM,"Marriott, Marina Salon E",American Finance Association,Capital Structure,G3,Amy Dittmar,University of Michigan-Ann Arbor,John Graham,Duke University,Ilya Strebulaev,Stanford University,Ing-Haw Cheng,University of Michigan,Neng Wang,Columbia University,,,AMIYATOSH PURNANANDAM,Male,,,,,,NA,NA,NA,NA,NA,,
Amy Finkelstein,Moral Hazard in Health Insurance: How Important is Forward Looking Behavior?,Massachusetts Institute of Technology,Jan 06 2013,1:00 PM,"Hyatt, Elizabeth Ballroom B",American Economic Association,Behavioral Responses to Nonlinear Insurance Prices,D4,Yuting Zhang,University of Pittsburgh,Jason Todd Abaluck,Yale University,Leila Agha,Boston University,Benjamin Handel,University of California-Berkeley,Claudio Lucarelli,Cornell University,,,AMY FINKELSTEIN,Female,,,,,,NA,NA,NA,NA,NA,,
Amy Finkelstein,Healthcare Exceptionalism? Productivity and Allocation in the U.S. Healthcare Sector,Massachusetts Institute of Technology,Jan 04 2013,10:15 AM,"Hyatt, Manchester A",American Economic Association,"Firms, Innovation and Productivity",O4,Chad Syverson,University of Chicago,,,,,,,,,,,AMY FINKELSTEIN,Female,,,,,,NA,NA,NA,NA,NA,,
Andrea Buraschi,Dynamic Networks and Asset Pricing,The University of Chicago,Jan 04 2013,10:15 AM,"Marriott, Marina Salon D",American Finance Association,Equity Risk Premia: Cross-Sectional Variation,G1,Nikolai Roussanov,University of Pennsylvania,Vito Gala,London Business School,Adlai Fisher,University of British Columbia,Lukas Schmid,Duke University,Johan Walden,University of California-Berkeley,,,Andrea Buraschi,Male,,,,,,NA,NA,NA,NA,NA,,
Andrea Buraschi,Taylor Rule Uncertainty,The University of Chicago,Jan 04 2013,8:00 AM,"Marriott, Balboa & Mission Hills",American Finance Association,Macro Uncertainty and Financial Volatility,G1,Mikhail Chernov,London School of Economics,Dana Kiku,University of Pennsylvania,Christopher Polk,London School of Economics,Stanley E. Zin,New York University,Daniel Paravisini,London School of Economics,,,Andrea Buraschi,Male,,,,,,NA,NA,NA,NA,NA,,
Andrea Ferrero,The Macroeconomic Effects of Large-Scale Asset Purchase Programs,Federal Reserve Bank of New York,Jan 06 2013,8:00 AM,"Hyatt, America's Cup A & B",Econometric Society,Assessing Unconventional Monetary Policy,E5,Athanasios Orphanides,Massachusetts Institute ofTechnology,Frank R. Smets,European Central Bank,Hakan Kara,Central Bank of Turkey,Mike Joyce,Bank of England,,,,,Andrea Ferrero,Male,,,,,,NA,NA,NA,NA,NA,,
Andrea Pozzi,The Effect of Internet Distribution on Brick-and-mortar Sales,Einaudi Institute for Economics and Finance,Jan 05 2013,8:00 AM,"Hyatt, Edward A & B",American Economic Association,Internet Effects,L8,Jonathan Lafky,Lafayette College,,,,,,,,,,,Andrea Pozzi,Male,,,,,,NA,NA,NA,NA,NA,,
Andrea Vedolin,Short-Run Bond Risk Premia,London School of Economics,Jan 05 2013,10:15 AM,"Marriott, Marina Salon G",American Finance Association,Real and Nominal Term Premia,G1,Gregory Duffee,Johns Hopkins University,Anna Cieslak,Northwestern University,Ivan Shaliastovich,University of Pennsylvania,Stefania D'Amico,Federal Reserve Board,,,,,Andrea Vedolin,Female,,,,,,NA,NA,NA,NA,NA,,
