paper_title,author
Mechanism Design in Large Games: Incentives and Privacy,Michael Kearns
Investment Incentives in Labor Market Matching,John William Hatfield
The VCG Auction in Theory and Practice,Hal R. Varian
Market Design and the Evolution of the Combinatorial Clock Auction,Lawrence M. Ausubel
The Continuous Combinatorial Auction Architecture,Charles R. Plott
Costly Persuasion,Matthew Gentzkow
How Sharing Information Can Garble Experts' Advice,Matthew Elliott
Interim Bayesian Persuasion: First Steps,Eduardo Perez-Richet
Mobile Computing: The Next Platform Rivalry,Timothy Bresnahan
Trading Dollars for Dollars: The Price of Attention Online and Offline,Matthew Gentzkow
"Growth, Adoption, and Use of Mobile E-Commerce",Liran Einav
Stochastic Choice: An Optimizing Neuroeconomic Model,Michael Woodford
Benefits of Neuroeconomic Modeling: New Policy Interventions and Predictors of Preference,Ian Krajbich
Rational Attention and Adaptive Coding: A Puzzle and a Solution,Camillo Padoa-Schioppa
(Dis)organization and Success in an Economics MOOC,Abhijit V. Banerjee
The Industrial Organization of Online Education,Tyler Cowen
Equalizing Superstars: The Internet and the Democratization of Education,Daron Acemoglu
"The Economics of Online Postsecondary Education: MOOCs, Nonselective Education, and Highly Selective Education",Caroline M. Hoxby
Discounting and Growth,Christian Gollier
Declining Discount Rates,Maureen L. Cropper
Fat Tails and the Social Cost of Carbon,Martin L. Weitzman
On Not Revisiting Official Discount Rates: Institutional Inertia and the Social Cost of Carbon,Cass R. Sunstein
Selected International Aspects of Carbon Taxation,Charles E. McLure Jr.
The Costs and Consequences of Clean Air Act Regulation of CO2 from Power Plants,Dallas Burtraw
Tax Policy Issues in Designing a Carbon Tax,Donald B. Marron
How Effective Are US Renewable Energy Subsidies in Cutting Greenhouse Gases?,Brian C. Murray
Powering Up China: Income Distributions and Residential Electricity Consumption,Maximilian Auffhammer
The Economic Cost of Global Fuel Subsidies,Lucas W. Davis
Why Are Power Plants in India Less Efficient Than Power Plants in the United States?,Hei Sing (Ron) Chan
