author,paper_title,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation,author.y,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,X,X.1,X.2,X.3,X.4
Adam Guren,Rental Markets and the Effect of Credit Conditions on House Prices,Boston University,Jan. 6 2019,8:00 AM - 10:00 AM,"Atlanta Marriott Marquis, A706",American Economic Association,"House Prices, Mortgages, and Monetary Policy","E5, G1",Emi Nakamura,University of California-Berkeley,Joseph Vavra,University of Chicago,Christopher Palmer,Massachusetts Institute of Technology,Benjamin Keys,University of Pennsylvania and NBER,Monika Piazzesi,Stanford University and NBER,,,Adam Guren,Male,,,,,,NA,NA,NA,NA,NA
Adam Hale Shapiro,"What Does Health Care Billing Cost, and Why Does It Matter?",Federal Reserve Bank of San Francisco,Jan. 4 2019,2:30 PM - 4:30 PM,"Hilton Atlanta, 305",National Tax Association,Public Finance Lessons from Past National Tax Association Dissertation Award Winners,"H0, H2",Enda Hargaden,University of Tennessee-Knoxville,Brian Knight,Brown University and NBER,Dhammika Dharmapala,University of Chicago,David Albouy,University of Illinois and NBER,,,,,ADAM HALE SHAPIRO,Male,Adam Shapiro,,,,,NA,NA,NA,NA,NA
Adam Izdebski,Landscape Change and Trade in Ancient Greece: Evidence from Pollen Data,Jagiellonian University-Krakow,Jan. 4 2019,2:30 PM - 4:30 PM,"Atlanta Marriott Marquis, International 1",American Economic Association,Economics with Ancient Data,"N7, O4",Gojko Barjamovic,Harvard University,Matt Delventhal,Claremont McKenna College,Simon Fuchs,Federal Reserve Bank of Atlanta,Jeffrey Lin,Federal Reserve Bank of Philadelphia,Simon Alder,University of North Carolina-Chapel Hill,,,Adam Izdebski,Male,,,,,,NA,NA,NA,NA,NA
Adam Osman,Measuring Productivity: Lessons from Researcher Designed Surveys,University of Illinois-Urbana-Champaign,Jan. 5 2019,2:30 PM - 4:30 PM,"Atlanta Marriott Marquis, A602",American Economic Association,Using Micro Data to Understand Macro Aggregates,"O4, F6",Stephen James Redding,Princeton University,,,,,,,,,,,Adam Osman,Male,,,,,,NA,NA,NA,NA,NA
Adam Osman,Unpacking Employment Support: Evidence from a Randomized Experiment,University of Illinois-Urbana-Champaign,Jan. 4 2019,2:30 PM - 4:30 PM,"Hilton Atlanta, 224",Middle East Economic Association,"Inequality, Poverty and Financial Inclusion in the Middle East and North Africa","I3, O1",Mahdi Majbouri,Babson College,,,,,,,,,,,Adam Osman,Male,,,,,,NA,NA,NA,NA,NA
Adam Szeidl,Media Capture Through Favor Exchange,Central European University and CEPR,Jan. 5 2019,8:00 AM - 10:00 AM,"Hyatt Regency Atlanta, Hanover D & E",Association for Comparative Economic Studies,Authoritarianism and the Media,"P5, H0",Robert S. Gibbons,Massachusetts Institute of Technology,Tymofiy Mylovanov,University of Pittsburgh and Kiev School of Economics,Gérard Roland,University of California-Berkeley,Abdulaziz B. Shifa,Syracuse University,,,,,ADAM SZEIDL,Male,,,,,,NA,NA,NA,NA,NA
Aditya Aladangady,High-frequency Spending Responses to the Earned Income Tax Credit,Federal Reserve Board,Jan. 5 2019,2:30 PM - 4:30 PM,"Atlanta Marriott Marquis, International 3",American Economic Association,High-frequency Data and Real Economic Activity,"E2, F4",Andrew H. McCallum,Federal Reserve Board,Dan Silverman,Arizona State University,Lorenz Kueng,Northwestern University,Matthew Notowidigdo,Northwestern University,,,,,Aditya Aladangady,Male,,,,,,NA,NA,NA,NA,NA
Aditya Aladangady,Intergenerational Earnings Risk and the Distribution of Wealth,Federal Reserve Board,Jan. 4 2019,10:15 AM - 12:15 PM,"Atlanta Marriott Marquis, A707",American Economic Association,"Income, Wealth and Inequality",E2,James X. Sullivan,University of Notre Dame,,,,,,,,,,,Aditya Aladangady,Male,,,,,,NA,NA,NA,NA,NA
Adnan Khan,Incentives and the Allocation of Authority in Organizations: A Field Experiment with Bureaucrats,London School of Economics,Jan. 6 2019,10:15 AM - 12:15 PM,"Atlanta Marriott Marquis, L503",Econometric Society,Public Finance and Development,"H3, O1",Francois Gerard,Columbia University,,,,,,,,,,,Adnan Khan,Male,,,,,,NA,NA,NA,NA,NA
Adrian Buss,Expected Stock Returns and the Correlation Risk Premium,INSEAD,Jan. 6 2019,1:00 PM - 3:00 PM,"Hilton Atlanta, Grand Ballroom B",American Finance Association,Asset Pricing: Stock Markets,G1,Johan Walden,University of California-Berkeley,Daniel Andrei,University of California-Los Angeles,Nicolae Gârleanu,University of California-Berkeley,Christian Heyerdahl-Larsen,London Business School,,,,,Adrian Buss,Male,,,,,,NA,NA,NA,NA,NA
Adriana Lleras-Muney,The Long Run Effects of Tying Cash Transfers to Marital Status on Family Well-Being,University of California-Los Angeles,Jan. 6 2019,10:15 AM - 12:15 PM,"Atlanta Marriott Marquis, International 7",American Economic Association,The Effects of Cash Transfers,"I3, H2",Anna Aizer,Brown University,Laura Wherry,University of California-Los Angeles,Bryce Steinberg,Brown University,Benjamin Olken,Massachusetts Institute of Technology,,,,,ADRIANA LLERAS-MUNEY,Female,,,,,,NA,NA,NA,NA,NA
Adrien Auclert,Macroeconomic Effects of Debt Relief: Consumer Bankruptcy Protections in the Great Recession,Stanford University,Jan. 4 2019,10:15 AM - 12:15 PM,"Hilton Atlanta, 403",Society for Economic Dynamics,Macroeconomics and Heterogeneity,"E3, E2",Adrien Auclert,Stanford University,,,,,,,,,,,Adrien Auclert,Male,,,,,,NA,NA,NA,NA,NA
Adrien Matray,Where Has All the Big Data Gone?,Princeton University,Jan. 6 2019,1:00 PM - 3:00 PM,"Hilton Atlanta, Grand Ballroom C",American Finance Association,Information and Trading in Financial Markets,G1,Itay Goldstein,University of Pennsylvania,Brian Weller,Duke University,Francesco Franzoni,University of Lugano (USI) and Swiss Finance Institute,Liyan Yang,University of Toronto,Hendrik Bessembinder,Arizona State University,,,Adrien Matray,Male,,,,,,NA,NA,NA,NA,NA
Adrien Matray,The Long-Term Consequences of the Tech Bubble on Skilled Workers' Earnings,Princeton University,Jan. 5 2019,10:15 AM - 12:15 PM,"Hilton Atlanta, Grand Ballroom A",American Finance Association,"R&D, Patents, and the Future of Innovation",G3,Lauren Cohen,Harvard Business School,Tania Babina,Columbia University,William Mann,University of California-Los Angeles,Stefan Lewellen,Pennsylvania State University,Umit G. Gurun,University of Texas-Dallas,,,Adrien Matray,Male,,,,,,NA,NA,NA,NA,NA
Agnese Leonello,The Interdependence of Bank Capital and Liquidity,European Central Bank,Jan. 6 2019,8:00 AM - 10:00 AM,"Hilton Atlanta, 212-213-214",American Finance Association,"Disclosure, Regulation, and Banking",G2,Marcus Opp,Stockholm School of Economics,Snehal Banerjee,University of California-San Diego,David Lucca,Federal Reserve Bank of New York,Xavier Vives,IESE Business School,Toni Whited,University of Michigan,,,Agnese Leonello,Female,,,,,,NA,NA,NA,NA,NA
Ahmed Tahoun,Firm-Level Political Risk: Measurement and Effects,London Business School,Jan. 5 2019,8:00 AM - 10:00 AM,"Hilton Atlanta, Grand Ballroom B",American Finance Association,New Perspectives on Risk,G1,Bryan Kelly,Yale University,Asaf Manela,Washington University-St. Louis,Alexander Chinco,University of Illinois,Drew Creal,University of Chicago,Aditya Sunderam,Harvard Business School,,,Ahmed Tahoun,Male,,,,,,NA,NA,NA,NA,NA
Akshaya Jha,Testing for Market Efficiency with Transaction Costs: An Application to Financial Trading in Wholesale Electricity Markets,Carnegie Mellon University,Jan. 5 2019,2:30 PM - 4:30 PM,"Hilton Atlanta, 303",Transportation and Public Utilities Group,Electricity Markets,"Q4, Q5",Frank A. Wolak,Stanford University,,,,,,,,,,,Akshaya Jha,Male,,,,,,NA,NA,NA,NA,NA
Akshaya Jha,Does Environmental Policy Affect Income Inequality? Evidence from The Clean Air Act.,Carnegie Mellon University,Jan. 5 2019,8:00 AM - 10:00 AM,"Atlanta Marriott Marquis, L508",American Economic Association,Economic Inequality and Air Pollution,Q5,Meredith Fowlie,University of California-Berkeley,Catherine Hausman,University of Michigan,JR DeShazo,University of California-Los Angeles,Nicholas Sanders,Cornell University,,,,,Akshaya Jha,Male,,,,,,NA,NA,NA,NA,NA
Akshaya Jha,Private and Social Costs of Misallocation in Indian Electricity Supply,Carnegie Mellon University,Jan. 4 2019,8:00 AM - 10:00 AM,"Atlanta Marriott Marquis, International C",American Economic Association,Energy Economics,Q4,Misak Avetisyan,Texas Tech University,,,,,,,,,,,Akshaya Jha,Male,,,,,,NA,NA,NA,NA,NA
Alan Barreca,Adaptation to Environmental Change: Agriculture and the Unexpected Incidence of the Acid Rain Program,University of California-Los Angeles,Jan. 5 2019,10:15 AM - 12:15 PM,"Atlanta Marriott Marquis, A708",Association of Environmental and Resource Economists,Environmental Externalities and Agriculture,"Q5, Q1",Taro Mieno,University of Nebraska-Lincoln,Taro Mieno,University of Nebraska-Lincoln,Valerie Mueller,Arizona State University,Wolfram Schlenker,Columbia University,Patrick Lloyd-Smith,University of Saskatchewan,,,Alan Barreca,Male,,,,,,NA,NA,NA,NA,NA
Alan Griffith,Random Assignment with Non-Random Peers: A Structural Approach to Counterfactual Treatment Assessment,University of Washington,Jan. 6 2019,1:00 PM - 3:00 PM,"Atlanta Marriott Marquis, International 2",American Economic Association,Econometric Methods for Endogenous Networks,"C4, C1",Alan Griffith,University of Washington,Anton Badev,Federal Reserve Board,Angelo Mele,Johns Hopkins University,Sida Peng,Microsoft Research,Xiaodong Liu,University of Colorado,,,Alan Griffith,Male,,,,,,NA,NA,NA,NA,NA
Alan J. Auerbach,Local Fiscal Multipliers and Fiscal Spillovers in the United States,University of California-Berkeley,Jan. 4 2019,10:15 AM - 12:15 PM,"Atlanta Marriott Marquis, International 6",American Economic Association,Economic Effects of Fiscal Shocks,"E6, H3",Alan J. Auerbach,University of California-Berkeley,Ethan Ilzetzki,London School of Economics,Philippe Wingender,International Monetary Fund,Eric Zwick,University of Chicago,Christoph Boehm,University of Texas-Austin,,,ALAN J. AUERBACH,Male,ALAN AUERBACH,,,,,NA,NA,NA,NA,NA
Alan Moreira,Hedging Risk Factors,University of Rochester,Jan. 6 2019,8:00 AM - 10:00 AM,"Hilton Atlanta, Salon West",American Finance Association,Market Risk Factors,G1,Jianfeng Yu,Tsinghua University,Ralph Koijen,University of Chicago,Kent Daniel,Columbia University,Amit Goyal,University of Lausanne,Jun Qian,Fudan University,,,Alan Moreira,Male,,,,,,NA,NA,NA,NA,NA
Alberto Abadie,When Should You Adjust Standard Errors for Clustering?,Massachusetts Institute of Technology,Jan. 6 2019,10:15 AM - 12:15 PM,"Atlanta Marriott Marquis, A601",American Economic Association,Econometrics of Policy Evaluation,C2,Jeffrey Wooldridge,Michigan State University,,,,,,,,,,,ALBERTO ABADIE,Male,,,,,,NA,NA,NA,NA,NA
Alberto Bisin,Capital Structure and Hedging Demand with Incomplete Markets,New York University,Jan. 4 2019,8:00 AM - 10:00 AM,"Hilton Atlanta, 212-213-214",American Finance Association,Capital Structure (Leverage),G3,Michael Roberts,University of Pennsylvania,Neng Wang,Columbia University,Joao Gomes,University of Pennsylvania,Hui Chen,Massachusetts Institute of Technology,,,,,ALBERTO BISIN,Male,,,,,,NA,NA,NA,NA,NA
Alberto Martin,Collateral Booms and Information Depletion,"CREI, Pompeu Fabra University, and Barcelona GSE",Jan. 4 2019,10:15 AM - 12:15 PM,"Atlanta Marriott Marquis, International 8",American Economic Association,Macro-Finance: Collateral and Currency Markets,"F4, E5",Ryan Chahrour,Boston College,Adrien Verdelhan,Massachusetts Institute of Technology and NBER,Dongho Song,Johns Hopkins Carey Business School,Ozge Akinci,Federal Reserve Bank of New York,Andrea Vedolin,Boston University,,,ALBERTO MARTIN,Male,,,,,,NA,NA,NA,NA,NA
Alberto Salvo,Environment-Enhanced Momentum and the Demand for Environmental Quality,National University of Singapore,Jan. 5 2019,2:30 PM - 4:30 PM,"Atlanta Marriott Marquis, M202",Association of Environmental and Resource Economists,Environment and Health,"Q5, I1",Jonathan Ketcham,Arizona State University,Jonathan Ketcham,Arizona State University,Fiona Burlig,University of Chicago,John Wooders,New York University Abu Dhabi,Guojun He,Hong Kong University of Science and Technology,,,ALBERTO SALVO,Male,,,,,,NA,NA,NA,NA,NA
Alec Brandon,"Smart Thermostats, Social Information, and Energy Conservation: Distributional Evidence from a Field Experiment",University of Chicago,Jan. 6 2019,10:15 AM - 12:15 PM,"Atlanta Marriott Marquis, International 6",American Economic Association,"Big Data, Consumer Behavior, Energy and Climate Change","Q4, C5",Karen Palmer,Resources for the Future,Judson Boomhower,University of California-San Diego,Richard Sweeney,Boston College,Kenneth Gillingham,Yale University,Katrina Jessoe,University of California-Davis,,,Alec Brandon,Male,,,,,,NA,NA,NA,NA,NA
Aleh Tsyvinski,Generalized Compensation Principle,Yale University,Jan. 4 2019,2:30 PM - 4:30 PM,"Atlanta Marriott Marquis, International 6",American Economic Association,Technological Progress and Inequality: Perspectives from Optimal Tax Theory,"H2, E6",Ivan Werning,Massachusetts Institute of Technology,Christopher Tonetti,Stanford University,William Kerr,Harvard Business School,Louis Kaplow,Harvard University,Steven Durlauf,University of Chicago,,,ALEH TSYVINSKI,Male,,,,,,NA,NA,NA,NA,NA
Alessandra Fenizia,The Impacts of Hospital Delivery Practices on Infant Health,University of California-Berkeley,Jan. 4 2019,8:00 AM - 10:00 AM,"Hilton Atlanta, 303",Health Economics Research Organization,Personalizing Health Care: Using Economics to Target Treatments,"I1, L1",Gautam Gowrisankaran,University of Arizona,Pierre-Thomas Léger,University of Illinois,Sebastian Fleitas,University of Leuven,Matthew Notowidigdo,Northwestern University,,,,,Alessandra Fenizia,Female,,,,,,NA,NA,NA,NA,NA
Alessandra L. Gonzalez,Misperceived Social Norms: Female Labor Force Participation in Saudi Arabia,University of Chicago,Jan. 4 2019,10:15 AM - 12:15 PM,"Atlanta Marriott Marquis, A706",American Economic Association,"Social Norms, Female Labor Supply and the Family","J1, J2",Justin Wolfers,University of Michigan,Heather Sarsons,Harvard University,Marianne Bertrand,University of Chicago,Melanie Wassermann,University of California-Los Angeles,Justin Wolfers,University of Michigan,,,Alessandra L. Gonzalez,Female,,,,,,NA,NA,NA,NA,NA
Alessandro Dovis,Accounting for Heterogeneity,University of Pennsylvania,Jan. 4 2019,10:15 AM - 12:15 PM,"Hilton Atlanta, 403",Society for Economic Dynamics,Macroeconomics and Heterogeneity,"E3, E2",Adrien Auclert,Stanford University,,,,,,,,,,,Alessandro Dovis,Male,,,,,,NA,NA,NA,NA,NA
Alessandro Gavazza,Regulatory Interventions in Consumer Search Markets: The Case of Credit Cards,London School of Economics,Jan. 4 2019,8:00 AM - 10:00 AM,"Hilton Atlanta, 304",Industrial Organization Society,The Industrial Organization of Financial Markets,"L1, L2",Vivek Bhattacharya,Northwestern University,Neale Mahoney,University of Chicago,Andrea Pozzi,Einaudi Institute for Economics and Finance,Tobias Salz,Columbia University,Glenn Ellison,Massachusetts Institute of Technology,,,Alessandro Gavazza,Male,,,,,,NA,NA,NA,NA,NA
Alessandro Gavazza,Mortgage Pricing and Monetary Policy,London School of Economics,Jan. 5 2019,10:15 AM - 12:15 PM,"Atlanta Marriott Marquis, International 2",Korea-America Economic Association,Topics in Empirical Industrial Organization: A Structural Approach,"D1, L0",Yoosoon Chang,Indiana University,Ami Ko,Georgetown University,Jihye Jeon,Boston University,Myongjin Kim,University of Oklahoma,Boyoung Seo,Indiana University,,,Alessandro Gavazza,Male,,,,,,NA,NA,NA,NA,NA
Alex Armand,The Reach of Radio: Ending Civil Conflict through Rebel Demobilization,University of Navarra,Jan. 4 2019,2:30 PM - 4:30 PM,"Atlanta Marriott Marquis, International 3",Economics of National Security Association,Economics of National Security,"H5, F5",Eli Berman,University of California-San Diego,,,,,,,,,,,Alex Armand,Unknown,,,,,,NA,NA,NA,NA,NA
Alex Bryson,"Footsie, Yeah! Share Prices and Worker Wellbeing",University College London,Jan. 5 2019,8:00 AM - 10:00 AM,"Hyatt Regency Atlanta, Hanover B",Labor and Employment Relations Association,New Research on Participation and Employee Ownership: International Evidence,M5,Peter Cappelli,University of Pennsylvania,Richard B. Freeman,Harvard University,Douglas Kruse,Rutgers University,,,,,,,ALEX BRYSON,Male,,,,,,NA,NA,NA,NA,NA
Alex Deng,A/B Testing,Microsoft,Jan. 5 2019,8:00 AM - 10:00 AM,"Atlanta Marriott Marquis, International 5",American Economic Association,Big Data in the Modern Economy,"O4, L1",Christopher Tonetti,Stanford University,,,,,,,,,,,Alex Deng,Male,,,,,,NA,NA,NA,NA,NA
Alex Edmans,The Long-Term Consequences of Short-Term Incentives,London Business School,Jan. 4 2019,8:00 AM - 10:00 AM,"Hilton Atlanta, 209-210-211",American Finance Association,Insiders and Incentives,G3,Camelia M. Kuhnen,University of North Carolina,Heather Tookes,Yale University,Mathias Kronlund,University of Illinois,Dirk Jenter,London School of Economics,,,,,ALEX EDMANS,Male,,,,,,NA,NA,NA,NA,NA
Alex Rees-Jones,An Experimental Investigation of Preference Misrepresentation in the Residency Match,University of Pennsylvania,Jan. 5 2019,8:00 AM - 10:00 AM,"Atlanta Marriott Marquis, International 9",American Economic Association,Practical Considerations in Deploying Matching Mechanisms,"D4, I2",Alex Rees-Jones,University of Pennsylvania,,,,,,,,,,,Alex Rees-Jones,Male,,,,,,NA,NA,NA,NA,NA
Alex Rees-Jones,Price Isn’t Everything: Behavioral Response around Changes in Sin Taxes,University of Pennsylvania,Jan. 5 2019,10:15 AM - 12:15 PM,"Atlanta Marriott Marquis, International 1",American Economic Association,Sin Taxes,"H2, I1",Alex Rees-Jones,University of Pennsylvania,,,,,,,,,,,Alex Rees-Jones,Male,,,,,,NA,NA,NA,NA,NA
Alexander David,When is the Price of Dispersion Risk Positive?,Haskayne School of Business,Jan. 4 2019,7:30 AM - 6:00 PM,"Hilton Atlanta, Grand Ballroom Pre-Function North",American Finance Association,AFA Ph.D. Student Poster Session,G0,Kenneth Singleton,Stanford University,,,,,,,,,,,ALEXANDER DAVID,Male,,,,,,NA,NA,NA,NA,NA
Alexander Dyck,Control Rights and Corporate Sustainability Around the World,University of Toronto,Jan. 6 2019,10:15 AM - 12:15 PM,"Hilton Atlanta, 205-206-207",American Finance Association,Corporate Culture,G3,Jillian Grennan,Duke University,Gordon Phillips,Dartmouth College,Samuel Hartzmark,University of Chicago,Laura Starks,University of Texas,Tracy Wang,University of Minnesota,,,ALEXANDER DYCK,Male,,,,,,NA,NA,NA,NA,NA
Alexander Ljungqvist,Value Creation and Persistence in Private Equity,Stockholm School of Economics,Jan. 5 2019,10:15 AM - 12:15 PM,"Hilton Atlanta, 209-210-211",American Finance Association,Investors and Firm Market Power: Does the Source of Capital Matter?,G3,Heather Tookes,Yale University,Gregor Matvos,University of Texas-Austin,Steven Kaplan,University of Chicago,Todd Gormley,Washington University-St. Louis,,,,,ALEXANDER LJUNGQVIST,Male,,,,,,NA,NA,NA,NA,NA
Alexander Oettl,Do Minimum Wage Increases Cause Financial Stress to Small Businesses? Evidence from 15 Million Establishments,Georgia Institute of Technology,Jan. 6 2019,10:15 AM - 12:15 PM,"Hilton Atlanta, 203",Association of Financial Economists,Financial Distress and Resolution,"G3, K2",Kose John,New York University,Stacey Jacobsen,Southern Methodist University,Ashwini Agrawal,London School of Economics,Katherine Waldock,Georgetown University,Tom Chang,University of Southern California,,,Alexander Oettl,Male,,,,,,NA,NA,NA,NA,NA
Alexander Rothenberg,Improving Mobility in Developing Country Cities: Evaluating Bus Rapid Transit and Other Policies in Jakarta,Syracuse University,Jan. 6 2019,8:00 AM - 10:00 AM,"Hilton Atlanta, 218",American Real Estate and Urban Economics Association,Transportation,"R4, O1",Tien Foo Sing,National University of Singapore,Stephen Billings,University of Colorado,Jing Wu,Tsinghua University,Sisi Zhang,Jinan University,Changcheng Song,National University of Singapore,,,Alexander Rothenberg,Male,,,,,,NA,NA,NA,NA,NA
Alexander Torgovitsky,Identification of Causal Effects with Multiple Instruments: Problems and Some Solutions,University of Chicago,Jan. 4 2019,10:15 AM - 12:15 PM,"Atlanta Marriott Marquis, M302",International Association of Applied Econometrics,Advances in Micro-Econometrics,"C1, C4",Edward Vytlacil,Yale University,,,,,,,,,,,Alexander Torgovitsky,Male,,,,,,NA,NA,NA,NA,NA
Alexander Torgovitsky,Nonparametric Estimates of the Demand for Health Insurance Among Low-Income Adults,University of Chicago,Jan. 5 2019,2:30 PM - 4:30 PM,"Atlanta Marriott Marquis, L507",Econometric Society,"Health Economics: Theory, Econometrics, and Data","I1, L1",Neale Mahoney,University of Chicago,,,,,,,,,,,Alexander Torgovitsky,Male,,,,,,NA,NA,NA,NA,NA
Alexander Wolitzky,Deterrence with Imperfect Attribution,Massachusetts Institute of Technology,Jan. 4 2019,2:30 PM - 4:30 PM,"Atlanta Marriott Marquis, International 3",Economics of National Security Association,Economics of National Security,"H5, F5",Eli Berman,University of California-San Diego,,,,,,,,,,,Alexander Wolitzky,Male,,,,,,NA,NA,NA,NA,NA
Alexandre Mas,The Role of Firms in Determining Work Hours,Princeton University,Jan. 4 2019,8:00 AM - 10:00 AM,"Hyatt Regency Atlanta, Hanover C",Labor and Employment Relations Association,The Effects of Firm and Co-Worker Behaviors on Employee Outcomes: Quasi-experimental Evidence from Administrative Data,J3,Patrick M. Kline,University of California-Berkeley,Bruce D. Meyer,University of Chicago,Serena Canaan,American University of Beirut,Till von Wachter,University of California-Los Angeles,,,,,ALEXANDRE MAS,Male,,,,,,NA,NA,NA,NA,NA
Ali Hortaçsu,The Impact of Big Data on Firm Performance: An Empirical Investigation,University of Chicago,Jan. 5 2019,8:00 AM - 10:00 AM,"Atlanta Marriott Marquis, International 5",American Economic Association,Big Data in the Modern Economy,"O4, L1",Christopher Tonetti,Stanford University,,,,,,,,,,,Ali Hortaçsu,Male,,,,,,NA,NA,NA,NA,NA
Ali Hortaçsu,Search and Screening in Credit Markets,University of Chicago,Jan. 4 2019,8:00 AM - 10:00 AM,"Hilton Atlanta, 304",Industrial Organization Society,The Industrial Organization of Financial Markets,"L1, L2",Vivek Bhattacharya,Northwestern University,Neale Mahoney,University of Chicago,Andrea Pozzi,Einaudi Institute for Economics and Finance,Tobias Salz,Columbia University,Glenn Ellison,Massachusetts Institute of Technology,,,Ali Hortaçsu,Male,,,,,,NA,NA,NA,NA,NA
