"","session_title","session_jel_code","number_of_authors","number_of_papers"
"191","Health Care: Intervention Principles","I1",6,4
"192","Health Care: Raising Quality or Lowering Costs","I1",6,5
"193","Health Insurance and Health Outcomes","I1",8,3
"194","Health Insurance and Public Policy","I1",4,3
"195","Health Policies and Health Outcomes","I1",14,5
"196","Heterodox Analyses of the Current Crisis","E3",5,4
"197","Heterodox Climate Economics","Q5",4,4
"198","Heterodox International Trade Theory","F1",8,5
"199","Heterodox Theories of Economic Crisis","E3",4,4
"200","Heterogeneity in Auctions","L2",10,4
"201","House Price Index","R2",11,4
"202","House, Homeownership, and Life Cycle Impacts","R2",11,4
"203","Household Behavior and Child Outcomes","D1",10,3
"204","Household Borrowing and the Financial Crisis","E2",10,4
"205","Household Finance -- Consumer Credit","G1",10,4
"206","Housing and the Financial Crisis","G2",9,4
"207","How Economic Measurement Was Invented","C4",4,3
"208","Human Capital Topics in the Middle East","J6",10,5
"209","Human Development, Economic Justice, and Sustainability","O1",8,5
"210","Identification and Estimation","C1",9,4
"211","Ideology and Growth","N3",6,3
"212","Immigrant Labor in the U.S.: Towards a New Transnationalism","J8",4,4
"213","Immigration and Education","I2",10,4
"214","Incentive Compensation","G3",9,5
"215","Incorporating Finance into Employment Relations: Implications for Theory and Practice","J3",6,5
"216","Industrial Organization","L2",8,4
"217","Industry Peers and Corporate Finance","G3",6,3
"218","Inequality and Worker Well-Being in the U.S.","J3",7,4
"219","Inequality in North America","D3",6,4
"220","Inflation Targeting: Recent Developments","E5",12,4
"221","Information Processing Constraints","E2",7,5
"222","Infrastructure in Developing Countries","O1",9,4
"223","Innovation and Mechanism Design","L5",11,5
"224","Innovative Teaching Strategies for Teaching Undergraduate Economics","A2",6,3
"225","Insider Trading and Short Selling","G1",10,4
"226","Insights into Obesity from a Behavioral Economics Perspective","I1",4,3
"227","Institutional Policy Analysis: Frameworks and Applications","B5",6,5
"228","Institutions, Entrepreneurship, and Public-Private Boundaries","L2",9,3
"229","Institutions, Wages and Performance: Session in memory of Katherine Terrell","J3",8,4
"230","Insurance Economics","G2",11,5
"231","Intellectual Property and Innovation","L1",7,4
"232","Interest Rates and House Price Dynamics","E5",11,4
"233","Intergenerational Transfers","J2",10,5
"234","Intergenerational Transmission of Socioeconomic Outcomes","J6",7,4
"235","International and Regional Economic Integration","F1",12,4
"236","International Economic Issues: Africa and Latin America","F4",10,6
"237","International Economic Relationships and National Economic Concerns","F5",5,5
"238","International Financial Markets 1","G1",10,4
"239","International Financial Markets 2","G1",6,3
"240","International Investments and Returns","F3",12,5
"241","International Real Estate Performance","F2",8,4
"242","International Trade and Finance","F4",9,5
"243","International Trade and Prices","F3",9,5
"244","International Transmission of Business Cycles","E5",10,5
"245","Internet Markets","L8",9,3
"246","Intertemporal Discounting: Alternative Functional Forms and Methodology of Empirical Identification","D8",4,4
"247","Inventories and the Business Cycle","E3",10,4
"248","Investor Sentiment","G1",9,4
"249","IPO, SEO and Payouts","G3",7,3
"250","Irving Fisher and Modern Economics: 100 Years After The Purchasing Power of Money","B3",6,4
"251","Issues in African Economies: China and the Global Financial Crisis","O2",9,6
"252","Issues in Economic Democracy: Worker Ownership, Management and Control","J5",4,4
"253","Issues in Heterodox Microeconomics","B5",6,5
"254","Issues of Race and Real Estate","J1",9,4
"255","Journal of Business and Economic Statistics Invited Paper: Forecast Rationality Tests Based on Multi-Horizon Bounds","C3",2,1
"256","K-12 Economic and Financial Literacy Education","A2",8,4
"257","Knowledge and Wealth: Private or Community Property","P1",4,4
"258","Labor Market Information Channels, Matching, and Racial and Ethnic Disparities in Unemployment and Employment","J7",9,6
"259","Labor Market Institutions and Policies in Developed and Emerging Market Countries","J4",11,4
"260","Labor Market Shocks","E2",9,5
"261","Labor Market, Labor Decisions, and Production Cycles","E2",11,5
"262","Labor Markets: from the Colonial Past to Globalization and Transition","J4",11,4
"263","Labor Supply Effects of Disability Insurance","H5",8,4
"264","Land Prices","R3",12,4
"265","Law and Development in China and Russia","P2",7,4
"266","Law and Economics","K0",7,4
"267","Law and Economics of Labor and Employment Relations","J5",6,4
"268","Law and Government","K2",9,4
"269","Lecture: The Transformation of Finance","G1",1,1
"270","LERA Refereed Papers Session I","J5",9,5
"271","LERA Refereed Papers Session II","J5",7,5
"272","Lessons and Policy Implications from the Global Financial Crisis","F3",4,4
"273","Lessons Learned from Empirical Studies of the Financial Crisis","G1",10,4
"274","Liquidity and the Financial Crisis","G3",7,3
"275","Liquidity, Trading, and Frictions - Empirical","G1",5,3
"276","Liquidity, Trading, and Frictions - Theory","G1",8,3
"277","Location, Enforcement and Financial Reporting","G1",8,3
"278","Long-Run Influences of the Early Childhood Environment in Developing Countries","I1",5,4
"279","Macro Housing","E3",9,4
"280","Macroeconomics after the Crisis","E3",4,4
"281","Macroeconomics and Finance","E0",9,4
"282","Managerial Incentives, Risk-Taking, and Performance","G3",12,4
"283","Markets, Policy Responses and Conflicts","H1",8,5
"284","Markets, Regulation, and Firm Behavior","L1",6,4
"285","Marriage and Divorce: Perspectives from Four Countries","J1",7,4
"286","Measuring Financial Capacity and Risk: Lessons from the Financial Crisis","G1",11,4
"287","Measuring Intangibles as Capital in Federal Economic Statistics","O3",6,4
"288","Micro Linkages During a Crisis: Lessons from Past for Future","F4",10,4
"289","Micro Pricing Research in Emerging Markets","E3",7,4
"290","Micro vs. Macro Labor Supply Elasticities","J2",8,4
"291","Microeconomic Theory","D0",2,2
"292","Microfinance","O1",11,4
"293","Microfinance and Entrepreneurship","O1",6,4
"294","Microstructure Meets Asset Pricing","G1",7,3
"295","Migration in Central Asia: The experience of four countries","J1",6,4
"296","Minorities in Eastern Europe","J1",6,3
"297","Misclassified & Unreported Workers in the U.S. Construction Industry - State Level Studies","J4",8,4
"298","Mobility and Housing Markets","R2",9,4
"299","Mobility and Monopsony in the Labor Market","J6",5,3
"300","Models of Pricing and Nominal Rigidities","E5",10,4
"301","Monetary Policy","E3",7,4
"302","Monetary Policy and Interest Rates","E0",9,3
"303","Monetary Policy and the Term Structure of Forecasts","E5",10,4
"304","Monetary Policy in Financial Crises","E5",13,4
"305","Money and Capital","N1",5,4
"306","Mortgage and Lease Contract Design","L1",9,4
"307","Mortgage Default and Performance","G3",9,4
"308","Mortgage Underwriting & Selection","G2",8,4
"309","Mortgage Underwriting and Securitization","G2",8,3
"310","Mortgage, Pricing, Access to Credit, and Outcomes","E6",9,4
"311","Motor Vehicle Fuel","Q5",9,5
"312","Moving Beyond Deregulation","L5",5,4
"313","Music Session","Z1",16,3
"314","Mutual Funds and Hedge Funds Managers' Behavior","G1",8,4
"315","Mutual Funds and Hedge Funds: Information and Behavior","G2",11,4
"316","Neighborhood Effects","R2",13,4
"317","Network Neutrality and Public Policy","L5",3,3
"318","New Advances in the Econometrics of Foreclosure","L4",8,4
"319","New Approaches for Modeling Risk in Macroeconomics","E3",11,5
"320","New Approaches to Measuring Household-Level Finances","D1",8,3
"321","New Developments in Monetary Economics","E4",2,2
"322","New Developments in Work-Family Policy","J8",5,4
"323","New Directions in Economic Measurement to Better Serve Policy Analysis","Y9",7,5
"324","New Empirics of Public Policy and Fertility in the U.S.","J1",8,4
"325","New Frontiers in Employment Dispute Resolution: The Inner Workings of Workplace Voice","J5",9,4
"326","New Thinking in Economics: The Policy Dimension","B5",8,5
"327","New Thinking in Economics: The Theoretical Premise","B5",8,5
"328","Noncognitive Factors in Gender Labor Markets Outcomes","J3",7,4
"329","Nordic Financial Crises: Lessons from Finland, Iceland, Norway and Sweden","E3",5,4
"330","Norms and Ethical Behavior","C9",13,4
"331","Optimal Fiscal Policy","H2",9,4
"332","Optimal Taxation and Insurance","H2",10,4
"333","Original Themes in Economic Theory","C6",6,4
"334","Peace Science and Regional Science Economics (In Memory of Walter Isard)","Y8",13,4
"335","Peer Effects and School Quality","I2",9,4
"336","Performance of Financial Systems","G0",2,2
"337","Personal Motives and Interpersonal Effects","G1",5,3
"338","Perspectives on China's growth","O5",7,4
"339","Political Economy","P1",17,9
"340","Political Economy of the Financial Crisis","G2",8,4
"341","Politics and Cross-Country Capital Flows","G1",6,3
"342","Portfolio Choice: Theory and Evidence","G1",10,4
"343","Practical and Robust Inference","C4",10,5
"344","Predicting Exchange Rates","F3",11,4
"345","Preferences of the Poor: Field Experiments","C9",11,4
"346","Price Dynamics and Price Rigidity","E3",7,4
"347","Prices and Inflation","E3",6,5
"348","Pricing and Contracts","D4",7,4
"349","Private Equity: Impact on Firms, Industries, and Investors","G3",10,3
"350","Producing Education: Advances in the Efficient Creation of Knowledge","A2",7,4
"351","Professional Licensing","L5",8,4
"352","Prospects for Change in America's Largest Low-wage Industry: Retail Companies and Unions","J4",4,3
"353","Prospects for the Global Trading System","F1",10,4
"354","Public Policy Issues in Labor, Education, and Housing","H8",6,4
"355","Race, Property, and Segregation in Historical Perspective","J1",6,4
"356","Rational Inattention: Macro and Micro","E5",5,4
"357","Re-Thinking House Price Models","R1",6,4
"358","Real Effects of Financing and Risk Management","G3",11,4
"359","Real Exchange Rates","F4",6,3
"360","Recent Development in Microeconomics","D8",10,4
"361","Recent Developments in Transportation","L9",8,4
"362","Recent Research Findings on the Chinese Economy","D1",11,4
"363","Recessions and Retirement","J2",8,4
"364","Reciprocity, Trust and Social Ties","A1",8,3
"365","Recovery from the Crisis: Comparing Labor Market Policies in Europe and the United States","J8",4,3
"366","Regression, Reweighting, or Both?","C1",6,3
"367","Regulating Bank Leverage","G2",6,3
"368","REITs: Corporate Finance","G3",11,4
"369","REITs: Dividend Policy","G3",7,3
"370","REITs: Investment","G1",8,4
"371","Relative Concerns and the Evolutionary Foundations of Preferences","D8",8,4
"372","Research in Medicaid/Children's Health Insurance Program (CHIP)","I1",6,3
"373","Research on Teaching Practices of Economics Faculty","A2",6,3
"374","Responses to Environmental Regulation","Q5",7,3
"375","Rethinking the Core","A2",2,2
"376","Rethinking the Normative and the Positive in Choice Theory","B4",3,3
"377","Return Predictability","G1",7,3
"378","Risk and Expectations in Higher Education","I2",6,4
"379","Risk and Return in Commercial Real Estate","G1",8,4
"380","Round Table on Regionalism","F1",5,1
"381","Roundtable: Is the Crisis Over?","E3",5,5
"382","Savings Experiments in Developing Countries","O1",10,4
"383","School Accountability and Student Outcomes: The Impact of No Child Left Behind","I2",10,4
"384","School Choice and School Quality","I2",8,3
"385","Schools","I2",9,5
"386","Self-Control, Self-Confidence, and Self-Deception","D3",13,4
"387","Selling Economics to the Foundations","B2",4,3
"388","Skilled Immigration, Labor Mobility and Technology Spillovers","F2",11,4
"389","Slow-Moving Capital","G1",9,4
"390","Social Economic Policy","H3",7,5
"391","Social Economics of the Financial Crisis","E6",7,4
"392","Social Protection Programs in Latin America","H7",10,5
"393","Social Structure","O1",13,5
"394","Socio-Economics and Politics","J7",10,5
"395","Sovereign Credit Risk","E6",7,3
"396","Spatial Frontiers in Environmental and Resource Economics","Q2",9,5
"397","Stratification Economics (A Roundtable): An Emerging Subfield","Z1",11,5
"398","Student Characteristics and Performance in the Economics Classroom","A2",8,4
"399","Subprime Lending - Causes and Consequences","G2",8,5
"400","Taxes","H2",12,5
"401","Taxes on Property and Housing: Lessons from the Past and Guidance for the Future","H7",6,4
"402","Teaching Undergraduate Economics","A1",9,4
"403","Technological Innovation to Tackle Climate Change","O3",14,4
"404","Term Structure and Volatility","G1",9,4
"405","Terrorism and International Conflict","F5",10,5
"406","The Bank Capital Crunch and the Financial Crisis of 2007-2008: Micro-evidence from Europe","E5",12,4
"407","The Benefit-Cost Analysis of Social Policy","D6",10,5
"408","The Biology of Finance","G1",8,3
"409","The Changing Conditions of Faculty Work: Legal Issues and Institutional Responses LERA HIgher Education Industry Council","J4",5,4
"410","The Costs and Benefits of Pollution Control","Q5",15,5
"411","The Cuban Economy","P2",3,3
"412","The Dollar, the Euro, the Yuan and the International Monetary System","F3",5,5
"413","The Economics Humor Session in Honor of Caroline Postelle Clotfelter","Z1",5,4
"414","The Economics of Black American Institutions","J1",7,6
"415","The Economics of Blood, Stem Cell and Organ Donation","I1",12,4
"416","The Economics of Civil War, Violence and Conflict","F5",7,4
"417","The Economics of Cognitive and Non-cognitive Skills","J2",15,4
"418","The Economics of Race, Educational, and Financial Outcomes","I2",8,6
"419","The Economics of Sickness Absence","J2",11,5
"420","The Economics of Skyscrapers and Land Use","R1",6,4
"421","The Economics of the Medicare Part D Prescription Drug Program","I1",10,4
"422","The Economics of the Organic Food System","I1",5,3
"423","The Economics of Violence","F5",10,4
"424","The Effects of Socioeconomic Status in Childhood on Adolescent Health and Labor Outcomes","I3",7,4
"425","The European Crisis and the Future of the Euro and Europe","E5",6,5
"426","The Financial Crisis: Empirical Evidence","G1",14,4
"427","The Great Trade Collapse of 2008-2009","F1",11,4
"428","The Histories of Scientific Observation in Economics","B2",5,4
"429","The International Transmission Mechanism","F3",8,4
"430","The Labor Market","J2",11,4
"431","The Next Generation of Rare Events Models in Asset Pricing","G1",8,4
"432","The Nonprofit Sector and Intersectoral Competition","L3",8,4
"433","The Policy Relevance of Institutional Economics: Papers in Honor of Paul Dale Bush","B5",8,5
"434","The Policy Response to the Financial Crisis","E5",10,4
"435","The Role of Money and Banks","E5",10,4
"436","The Role of Private Enterprise in China's Economic Development","O2",10,4
"437","The Role of Trade in China's Growth Experience","F1",10,5
"438","The Stability of Preferences Across Contexts","D1",12,3
"439","Theoretical and Empirical Advances in Agglomeration Economics","R1",12,5
"440","Theoretical Models of Financial Crises","E4",5,3
"441","Theory of Environmental Policy","Q5",10,5
"442","Time for Serious Financial Reforms: A Progressive Agenda","G3",6,5
"443","Too-Big-to-Fail and Safety Net Subsidies","G1",9,4
"444","Topics in Economic History","N1",9,4
"445","Topics in Energy Modeling","Q4",10,4
"446","Topics in Labor Economics","J6",9,4
"447","Topics in Wine Economics","Q1",13,4
"448","Topics on Slavery","N3",5,3
"449","Trade and Finance","F1",7,4
"450","Trading by Mutual Funds","G1",6,3
"451","U.S. Businesses and Workers: Growth, Productivity, Job Creation and Employment Separation","J2",10,4
"452","Understanding Financial Markets and Institutions","G2",8,3
"453","Understanding the Effects of Unorthodox Monetary Policies","E5",13,4
"454","Understanding the Effects of War on Poverty Programs","I3",10,4
"455","Unemployment Insurance Benefits and Financing During the Great Recession","J3",6,4
"456","US-PRC Relations Under the Obama Administration: Trade, Investment, and Corporate Espionage","F2",3,3
"457","Using Field Experiments in Environmental and Resource Economics","Q5",9,4
"458","War and Religion in the Middle East: Past and Present","Z1",9,5
"459","Welfare Gains from Trade","F1",9,4
"460","Well-Being and Gender Under Globalization","D6",4,4
"461","What Role for Industrial Policy? Perspectives from Around the World","O2",5,4
"462","Who Bears the Corporate Income Tax? An Empirical Approach to Assessing Incidence","H2",9,4
"463","Will the Euro Survive?","F3",4,4
"464","Youth Health Conditions","I1",12,5
