paper_title,author
On the Heterogeneity in Family Earnings and Income Dynamics in the PSID,Dmytro Hryshko
Beyond the Flipped Class: The Impact of Research-Based Teaching Methods in a Macroeconomics Principles Class,Austin Boyle
"From ""Traditional"" to Research-Based Instructional Strategies: An Assessment of Learning Gains",Sarah B. Cosgrove
Low-Cost Randomized Controlled Trials in Education,Nathan Wozny
A New Look at Lake Wobegone: Who's in Your Canoe?,Chris Bollinger
The Disappearing Large-Firm Wage Premium,Nicholas Bloom
A Cross-Country Comparison of Dynamics in the Large Firm Wage Premium,Emanuele Colonnelli
The Productivity-Wage Premium: Does Size Still Matter in a Service Economy?,Giuseppe Berlingieri
What Matters for the Productivity of Kidney Exchange?,Nikhil Agarwal
Dynamic Incentives in Wait List Mechanisms,Nikhil Agarwal
Dynamics of Child Mortality Inequality,Tom S. Vogl
Cousin Marriage Is Not Choice: Muslim Marriage and Underdevelopment,Lena Edlund
"Women's Empowerment, the Gender Gap in Desired Fertility, and Fertility Outcomes in Developing Countries",Matthias Doepke
Male Social Status and Women's Work,Arielle Bernhardt
Split Families and the Future of Children: Immigration Enforcement and Foster Care Placements,Catalina Amuedo-Dorantes
The Effect of Parental Education on Children's Drug and Alcohol Use,Aaron Chalfin
"The Differential Incidence and Severity of Food Insecurity by Racial, Ethnic, and Immigrant Groups over the Great Recession in the United States",Alfonso Flores-Lagunes
Elasticity of Medicaid Access with Respect to State Financial Distress,Victoria Perez
Trends and Disparities in Leave Use under California's Paid Family Leave Program: New Evidence from Administrative Data,Sarah Bana
Gender Peer Effects in a Predominantly Male Environment: Evidence from West Point,Nick Huntington-Klein
Time and Money: Social Security Benefits and Intergenerational Transfers,Anita Mukherjee
In Debt and Approaching Retirement: Claim Social Security or Work Longer?,Barbara A. Butrica
The Changing Face of Debt and Financial Fragility at Older Ages,Annamaria Lusardi
The Price of Labor: Evaluating the Impact of Eliminating User Fees on Maternal and Infant Health Outcomes,Anne Fitzpatrick
Indoor Air Pollution and Infant Mortality: A New Approach, Imelda
Short-Term Impacts of a Pay-It-Forward Livestock Transfer and Training Program in Nepal,Sarah Janzen
"Intangibles, Investment, and Efficiency",Nicolas Crouzet
"Ownership, Concentration, and Investment",Germán Gutiérrez
Workplace Signaling and Financial Commitment: Evidence from a Field Experiment,Emily Breza
Digital Financial Services Go a Long Way: Transaction Costs and Financial Inclusion,Pierre Bachas
Salary Delays and Overdrafts in Rural Ghana,Niklas Buehren
Carbon Pricing Induces Innovation: Evidence from China's Regional Carbon Market Pilots,Jingbo Cui
"China's Rate-Based Approach to Reducing CO2 Emissions: Attractions, Limitations, and Alternatives",Lawrence H. Goulder
China's New National Carbon Market,William A. Pizer
Institutions and Emissions Trading in China,Valerie Jean Karplus
Measuring Welfare with Massive Online Choice Experiments: A Brief Introduction,Erik Brynjolfsson
The Empirics of Social Progress: The Interplay between Subjective Well-Being and Societal Performance,Daniel Fehder
Using Online Prices for Measuring Real Consumption across Countries,Alberto Cavallo
"Internet Rising, Prices Falling: Measuring Inflation in a World of E-Commerce",Austan D. Goolsbee
Reach for Yield and Fickle Capital Flows,Ricardo J. Caballero
Global Financial Cycles and the Exchange Rate Regime: A Perspective from Emerging Markets,Maurice Obstfeld
Optimal Payment Areas or Optimal Currency Areas?,Patrick Bolton
Financial Cycles and Credit Growth across Countries,Nuno Coimbra
The Effects of Tax Changes at the Zero Lower Bound: Evidence from Japan,Akihisa Kato
Unconventional Fiscal Policy,Francesco D'Acunto
What Do We Know about the Effects of Austerity?,Alberto Alesina
Exchange Rates and the Working Capital Channel of Trade Fluctuations,Valentina Bruno
Foreign Safe Asset Demand for US Treasurys and the Dollar,Zhengyang Jiang
"Trade Invoicing, Bank Funding, and Central Bank Reserve Holdings",Gita Gopinath
The Welfare Consequences of Income-Induced Expenditure Switching,Rudolfs Bems
Wealth Redistribution after Exchange Rate Devaluations,Andres Drenik
What Is the Impact of Food Stamps on Prices and Products Variety? The Importance of the Supply Response,Xavier Jaravel
The Geographic Spread of a Large Devaluation,Javier Cravino
Through a Crystal Ball Darkly: The Future of Monetary Policy Communication,Alan S. Blinder
Central Bank Forward Guidance and the Signal Value of Market Prices,Stephen Morris
Central Bank Communications and the General Public,Andrew Haldane
"The ""Standard Error"" of Event Studies: Lessons from the 2016 Election",Justin Wolfers
Unequal Rewards to Firms: Stock Market Responses to the Trump Election and the 2017 Corporate Tax Reform,Alexander F. Wagner
"Economic Expectations, Voting, and Economic Decisions around Elections",Gur Huberman
