session_title,paper_title,author
 Coping with Economic and Environmental Shocks: Institutions and Outcomes,Adaptation to Climate Change in Preindustrial Iceland,"[' Matthew A. Turner', ' Jeffrey S. Rosenthal', ' Jian Chen ', ' Chunyan Hao ']"
 Crime and Terrorism,Race and Gender Differences under Federal Sentencing Guidelines,"[' Todd Sorensen', ' Supriya Sarnikar ', ' Ronald L. Oaxaca ']"
 Crime and Terrorism,"Terrorism and Patriotism: On the Earnings of US Veterans following September 11, 2001","[' Alberto Dávila ', ' Marie T. Mora ']"
 Crime and Terrorism,The Nonlinear Relationship between Terrorism and Poverty,"[' Walter Enders ', ' Gary A. Hoover ']"
 Crime and Terrorism,War and Stature: Growing Up during the Nigerian Civil War,"[' Richard Akresh', ' Sonia Bhalotra', ' Marinella Leone ', ' Una Okonkwo Osili ']"
 Growth Inputs: From Human Capital to Nation Building,Nation Building and Economic Growth,"[' Ellyn Creasey', ' Ahmed S. Rahman ', ' Katherine A. Smith ']"
 Growth Inputs: From Human Capital to Nation Building,The Determinants and Consequences of School Choice Errors in Kenya,"[' Adrienne M. Lucas ', ' Isaac M. Mbiti ']"
 Growth Inputs: From Human Capital to Nation Building,"Kinship and Financial Networks, Formal Financial Access, and Risk Reduction","[' Cynthia Kinnan ', ' Robert Townsend ']"
 Growth Inputs: From Human Capital to Nation Building,Child Health and Conflict in Côte d'Ivoire,"[' Camelia Minoiu ', ' Olga Shemyakina ']"
 The Effects of Financial Education and Financial Literacy,How Financial Literacy Affects Household Wealth Accumulation,"[' Jere R. Behrman', ' Olivia S. Mitchell', ' Cindy K. Soo ', ' David Bravo ']"
 The Effects of Financial Education and Financial Literacy,Financial Education and Timely Decision Support: Lessons from Junior Achievement,"[' Bruce Ian Carlin ', ' David T. Robinson ']"
 The Effects of Financial Education and Financial Literacy,Financial Knowledge and Financial Literacy at the Household Level,"[' Alan L. Gustman', ' Thomas L. Steinmeier ', ' Nahid Tabatabai ']"
 The Effects of Financial Education and Financial Literacy,Effectiveness of Employer-Provided Financial Information: Hiring to Retiring,"[' Robert L. Clark', ' Melinda Sandler Morrill ', ' Steven G. Allen ']"
 Robustness and Approximation in Mechanism Design,Efficient Auctions and Interdependent Types,"[' Dirk Bergemann', ' Stephen Morris ', ' Satoru Takahashi ']"
 Robustness and Approximation in Mechanism Design,Robustly Ranking Mechanisms,"[' Tilman Börgers ', ' Doug Smith ']"
 Robustness and Approximation in Mechanism Design,Approximation in Mechanism Design,[' Jason D. Hartline ']
" Digitization and New Research Directions: Copyright, Privacy, and User-Generated Content",Copyright Research in the Digital Age: Moving from Piracy to the Supply of New Products,[' Joel Waldfogel ']
" Digitization and New Research Directions: Copyright, Privacy, and User-Generated Content",Is Wikipedia Biased?,"[' Shane Greenstein ', ' Feng Zhu ']"
" Digitization and New Research Directions: Copyright, Privacy, and User-Generated Content",Shifts in Privacy Concerns,"[' Avi Goldfarb ', ' Catherine Tucker ']"
 New Challenges for Market Design,New Challenges in Multihospital Kidney Exchange,"[' Itai Ashlagi ', ' Alvin E. Roth ']"
 New Challenges for Market Design,Holdout in the Assembly of Complements: A Problem for Market Design,"[' Scott Duke Kominers ', ' E. Glen Weyl ']"
 New Challenges for Market Design,Stability and Strategy-Proofness for Matching with Constraints: A Problem in the Japanese Medical Match and Its Solution,"[' Yuichiro Kamada ', ' Fuhito Kojima ']"
 New Challenges for Market Design,Understanding Price Controls and Nonprice Competition with Matching Theory,"[' John William Hatfield', ' Charles R. Plott ', ' Tomomi Tanaka ']"
 In Remembrance of Alfred E. Kahn: Fred Kahn's Impact on Deregulation and Regulatory Reform,After Airline Deregulation and Alfred E. Kahn,[' Nancy L. Rose ']
 In Remembrance of Alfred E. Kahn: Fred Kahn's Impact on Deregulation and Regulatory Reform,Dynamic Pricing of Electricity,"[' Paul L. Joskow ', ' Catherine D. Wolfram ']"
 In Remembrance of Alfred E. Kahn: Fred Kahn's Impact on Deregulation and Regulatory Reform,Telecommunications Deregulation,"[' Jerry A. Hausman ', ' William E. Taylor ']"
 In Remembrance of Alfred E. Kahn: Fred Kahn's Impact on Deregulation and Regulatory Reform,Government Policy for a Partially Deregulated Industry: Deregulate It Fully,[' Clifford Winston ']
 Global Production Chains,Global Supply Chains and Wage Inequality,"[' Arnaud Costinot', ' Jonathan Vogel ', ' Su Wang ']"
 Global Production Chains,Sustaining Production Chains through Financial Linkages,"[' Se-Jik Kim ', ' Hyun Song Shin ']"
 Global Production Chains,Proximity and Production Fragmentation,"[' Robert C. Johnson ', ' Guillermo Noguera ']"
 Global Production Chains,Measuring the Upstreamness of Production and Trade Flows,"[' Pol Antràs', ' Davin Chor', ' Thibault Fally ', ' Russell Hillberry ']"
 Trade and Labor Markets: Evidence from Matched Employer-Employee Data,"Trade, Labor Market Frictions, and Residual Wage Inequality across Worker Groups","[' Pravin Krishna', ' Jennifer P. Poole ', ' Mine Zeynep Senses ']"
 Trade and Labor Markets: Evidence from Matched Employer-Employee Data,"Offshoring, Transition, and Training: Evidence from Danish Matched Worker-Firm Data","[' David Hummels', ' Jakob R. Munch', ' Lars Skipper ', ' Chong Xiang ']"
 Trade and Labor Markets: Evidence from Matched Employer-Employee Data,Liberalized Trade and Worker-Firm Matching,"[' Carl Davidson', ' Fredrik Heyman', ' Steven Matusz', ' Fredrik Sjöholm ', ' Susan Chun Zhu ']"
 Trade and Labor Markets: Evidence from Matched Employer-Employee Data,Exports and Within-Plant Wage Distributions: Evidence from Mexico,"[' Judith A. Frías', ' David S. Kaplan ', ' Eric Verhoogen ']"
 New Directions in Trade And Geography,Village Economic Accounts: Real and Financial Intertwined,"[' Archawa Paweenawat ', ' Robert M. Townsend ']"
 New Directions in Trade And Geography,Innovation in Space,"[' Klaus Desmet ', ' Esteban Rossi-Hansberg ']"
 New Directions in Trade And Geography,"Ricardo's Theory of Comparative Advantage: Old Idea, New Evidence","[' Arnaud Costinot ', ' Dave Donaldson ']"
 New Directions in Trade Policy,Tariff Revenue and Tariff Caps,"[' Manuel Amador ', ' Kyle Bagwell ']"
 New Directions in Trade Policy,"Profits in the ""New Trade"" Approach to Trade Negotiations",[' Ralph Ossa ']
 New Directions in Trade Policy,Trade Agreements and the Nature of Price Determination,"[' Pol Antràs ', ' Robert W. Staiger ']"
 Model Selection,On the Use of Holdout Samples for Model Selection,"[' Frank Schorfheide ', ' Kenneth I. Wolpin ']"
 Model Selection,Prediction with Misspecified Models,"[' John Geweke ', ' Gianni Amisano ']"
 Model Selection,Assumptions Matter: Model Uncertainty and the Deterrent Effect of Capital Punishment,"[' Steven N. Durlauf', ' Chao Fu ', ' Salvador Navarro ']"
 The 2006 Massachusetts Health Reform,Heuristics and Heterogeneity in Health Insurance Exchanges: Evidence from the Massachusetts Connector,"[' Keith Marzilli Ericson ', ' Amanda Starc ']"
 The 2006 Massachusetts Health Reform,"Health Reform, Health Insurance, and Selection: Estimating Selection into Health Insurance Using the Massachusetts Health Reform","[' Martin B. Hackmann', ' Jonathan T. Kolstad ', ' Amanda E. Kowalski ']"
 The 2006 Massachusetts Health Reform,The Impact of the Massachusetts Health Care Reform on Health Care Use among Children,[' Sarah Miller ']
 The 2006 Massachusetts Health Reform,How Did Health Care Reform in Massachusetts Impact Insurance Premiums?,"[' John A. Graves ', ' Jonathan Gruber ']"
 Causes and Consequences of Unemployment: New Microeconomic Evidence and Perspectives,The Long-Term Effects of UI Extensions on Employment,"[' Johannes F. Schmieder', ' Till von Wachter ', ' Stefan Bender ']"
 Causes and Consequences of Unemployment: New Microeconomic Evidence and Perspectives,Unemployment in the Great Recession: Did the Housing Market Crisis Prevent the Unemployed from Moving to Take Jobs?,[' Henry S. Farber ']
 Causes and Consequences of Unemployment: New Microeconomic Evidence and Perspectives,"Contract Form, Wage Flexibility, and Employment","[' Thomas Lemieux', ' W. Bentley MacLeod ', ' Daniel Parent ']"
" Immigration, Employment, and Entrepreneurship","Access to Credit by Small Businesses: How Relevant Are Race, Ethnicity, and Gender?","[' Elizabeth Asiedu', ' James A. Freeman ', ' Akwasi Nti-Addae ']"
" Immigration, Employment, and Entrepreneurship",Coming to America: Does Having a Developed Home Country Matter for Self-Employment in the United States?,"[' Ruth Uwaifo Oyelere ', ' Willie Belton ']"
" Immigration, Employment, and Entrepreneurship",The Labor Market Impact of Mandated Employment Verification Systems,"[' Catalina Amuedo-Dorantes ', ' Cynthia Bansak ']"
" Immigration, Employment, and Entrepreneurship",The Employment of Low-Skilled Immigrant Men in the United States,"[' Brian Duncan ', ' Stephen J. Trejo ']"
" Maternity Leave, Family Formation, and Caregiving",Love and Money by Parental Matchmaking: Evidence from Urban Couples in China,"[' Fali Huang', ' Ginger Zhe Jin ', ' Lixin Colin Xu ']"
" Maternity Leave, Family Formation, and Caregiving",Business Cycles and Gender Diversification: An Analysis of Establishment-Level Gender Dissimilarity,"[' Cynthia Bansak', ' Mary E. Graham ', ' Allan A. Zebedee ']"
" Maternity Leave, Family Formation, and Caregiving",Birth Rates and the Vietnam Draft,"[' Marianne P. Bitler ', ' Lucie Schmidt ']"
" Maternity Leave, Family Formation, and Caregiving",Identification of the Effect of Depression on Risky Sexual Behavior: Exploiting a Natural Experiment,"[' Susan L. Averett ', ' Yang Wang ']"
 Measuring and Explaining the Collapse of the Labor Market in the Great Recession,"Hiring, Churn, and the Business Cycle","[' Edward P. Lazear ', ' James R. Spletzer ']"
 Measuring and Explaining the Collapse of the Labor Market in the Great Recession,Job-to-Job Flows in the Great Recession,"[' Henry Hyatt ', ' Erika McEntarfer ']"
 Measuring and Explaining the Collapse of the Labor Market in the Great Recession,Recruiting Intensity during and after the Great Recession: National and Industry Evidence,"[' Steven J. Davis', ' R. Jason Faberman ', ' John C. Haltiwanger ']"
 Measuring and Explaining the Collapse of the Labor Market in the Great Recession,Did the Housing Price Bubble Clobber Local Labor Market Job and Worker Flows When It Burst?,"[' John M. Abowd ', ' Lars Vilhuber ']"
 Time Away from Work,"Time Use, Emotional Well-Being, and Unemployment: Evidence from Longitudinal Data","[' Alan B. Krueger ', ' Andreas I. Mueller ']"
 Time Away from Work,Retirement and Home Production: A Regression Discontinuity Approach,"[' Elena Stancanelli ', ' Arthur Van Soest ']"
 Time Away from Work,The Role of Preferences and Opportunity Costs in Determining the Time Allocated to Housework,[' Leslie S. Stratton ']
 Time Away from Work,Aggregate Impacts of a Gift of Time,"[' Jungmin Lee', ' Daiji Kawaguchi ', ' Daniel S. Hamermesh ']"
 Proceedings,"Minutes of the Annual Business Meeting: Chicago, IL: January 7, 2012",[' John J. Siegfried ']
 Reports,Report of the Secretary for 2011,[' John J. Siegfried ']
 Reports,Report of the Treasurer,[' John J. Siegfried ']
 Reports,American Economic Association Universal Academic Questionnaire Summary Statistics,"[' Charles E. Scott ', ' John J. Siegfried ']"
 Reports,"Minutes of the Meeting of the Executive Committee: Chicago, IL, April 15, 2011",[' John J. Siegfried ']
 Reports,"Minutes of the Meeting of the Executive Committee: Chicago, IL, January 5, 2012",[' John J. Siegfried ']
 Reports,Report of the Editor: American Economic Review,[' Pinelopi Koujianou Goldberg ']
 Reports,Report of the Editor: Journal of Economic Literature,[' Janet Currie ']
 Reports,Report of the Editor: Journal of Economic Perspectives,[' David H. Autor ']
 Reports,Report of the Editor: American Economic Journal: Applied Economics,[' Esther Duflo ']
 Reports,Report of the Editor: American Economic Journal: Economic Policy,[' Alan Auerbach ']
 Reports,Report of the Editor: American Economic Journal: Macroeconomics,[' Steven J. Davis ']
 Reports,Report of the Editor: American Economic Journal: Microeconomics,[' Andrew Postlewaite ']
 Reports,Report of the Director: Job Openings for Economists,[' John J. Siegfried ']
 Reports,Report of the Committee on Economic Education for 2011,[' Michael Watts ']
 Reports,Report of the Committee on the Status of Women in the Economics Profession 2011,[' Barbara M. Fraumeni ']
 Reports,Committee on the Status of Minority Groups in the Economics Profession: Report of Committee Activities for the 2011 Calendar Year,[' Marie T. Mora ']
 Reports,American Economic Association Committee on Statistics (AEAStat): Annual Report--2011,[' Robert Feenstra ']
 Reports,Committee on Government Relations,[' Charles Schultze ']
 Reports,The American Economic Association and Allied Social Science Associations,[' John J. Siegfried ']
 Reports,Report of the Selection Committee for the American Economic Journal: Macroeconomics Editor,[' Michael Woodford ']
