paper_title,author
Sacred Values? The Effect of Information on Attitudes toward Payments for Human Organs,Julio J. Elias
Deciding When to Quit: Reference-Dependence over Slot Machine Outcomes,Jaimie W. Lien
Testing for the Disposition Effect on Optimal Stopping Decisions,Jacopo Magnani
Loss Aversion in Post-Sale Purchases of Consumer Products and Their Substitutes,Debajyoti Ray
Bankruptcy Rates among NFL Players with Short-Lived Income Spikes,Kyle Carlson
Principles of (Behavioral) Economics,David Laibson
Teaching a Behavioral Economics Elective: Highlighting the Science of Economics,Ted O'Donoghue
Behavioral Economics and Public Policy 102: Beyond Nudging,Saurabh Bhargava
Standing United or Falling Divided? High Stakes Bargaining in a TV Game Show,Dennie van Dolder
Cooperation in a Dynamic Fishing Game: A Framed Field Experiment,Charles N. Noussair
I Take Care of My Own: A Field Study on How Leadership Handles Conflict between Individual and Collective Incentives,Romain Gauriot
Liquidity in Retirement Savings Systems: An International Comparison,John Beshears
The Composition Effect of Consumption around Retirement: Evidence from Singapore,Sumit Agarwal
Defined Contribution Pension Plans: Mutual Fund Asset Allocation Changes,Clemens Sialm
The Retirement Consumption Puzzle in China,Hongbin Li
Do Private Equity Owned Firms Have Better Management Practices?,Nicholas Bloom
Formal Measures in Informal Management: Can a Balanced Scorecard Change a Culture?,Robert Gibbons
The Real Effects of Relational Contracts,Steven Blader
The Impact of Ethnic Diversity in Bureaucracies: Evidence from the Nigerian Civil Service,Imran Rasul
Do Natural Field Experiments Afford Researchers More or Less Control Than Laboratory Experiments?,Omar Al-Ubaydli
Heterogeneous Treatment Effects in Impact Evaluation,Eva Vivalt
Learning from Experiments When Context Matters,Lant Pritchett
A Measure of Robustness to Misspecification,Susan Athey
Machine Learning Methods for Demand Estimation,Patrick Bajari
Post-Selection and Post-Regularization Inference in Linear Models with Many Controls and Instruments,Victor Chernozhukov
Prediction Policy Problems,Jon Kleinberg
Can Online Learning Bend the Higher Education Cost Curve?,David J. Deming
Evaluating Econometric Evaluations of Post-Secondary Aid,Josh Angrist
Connecting Student Loans to Labor Market Outcomes: Policy Lessons from Chile,Harald Beyer
What High-Achieving Low-Income Students Know about College,Caroline M. Hoxby
Factoryless Goods Producing Firms,Andrew B. Bernard
How Well Is US Intrafirm Trade Measured?,Kim J. Ruhl
Multinational Production: Data and Stylized Facts,Natalia Ramondo
Markup and Cost Dispersion across Firms: Direct Evidence from Producer Surveys in Pakistan,David Atkin
Informal Employment in a Growing and Globalizing Low-Income Country,Brian McCaig
Trade Liberalization and the Skill Premium: A Local Labor Markets Approach,Rafael Dix-Carneiro
History and the Sizes of Cities,Hoyt Bleakley
Declining Mortality Inequality within Cities during the Health Transition,Dora L. Costa
Killer Cities: Past and Present,W. Walker Hanlon
The Impact of Temporary Protected Status on Immigrants' Labor Market Outcomes,Pia M. Orrenius
The Labor Market Impacts of Forced Migration,Isabel Ruiz
The Impact of Economic Freedom on the Black/White Income Gap,Gary A. Hoover
"Income Inequality, Capitalism, and Ethno-linguistic Fractionalization",Jan-Egbert Sturm
Falling through the Cracks? Grade Retention and School Dropout among Children of Likely Unauthorized Immigrants,Catalina Amuedo-Dorantes
Academic Undermatching of High-Achieving Minority Students: Evidence from Race-Neutral and Holistic Admissions Policies,Sandra E. Black
"Household Asset Allocation, Offspring Education, and the Sandwich Generation",Vicki L. Bogan
An A for Effort,Omari H. Swinton
Trust and Reciprocity between Spouses in India,Carolina Castilla
Can Alcohol Prohibition Reduce Violence against Women?,Dara Lee Luca
The Labor Supply Effects of Delayed First Birth,Jane Leber Herr
Child Gender and Parental Inputs: No More Son Preference in Korea?,Eleanor Jawon Choi
Demand Shocks and Open Economy Puzzles,Yan Bai
Macroeconomic Uncertainty Indices Based on Nowcast and Forecast Error Distributions,Barbara Rossi
FOMC Forward Guidance and Investor Beliefs,Arunima Sinha
(Indirect) Input Linkages,Marcela Eslava
