paper_title,author
School Quality and the Gender Gap in Educational Achievement,David Autor
What Explains the Gender Gap in College Track Dropout? Experimental and Administrative Evidence,Ingvild Almås
Experimental Age Discrimination Evidence and the Heckman Critique,David Neumark
The Power of Eye Tracking in Economics Experiments,Joanna N. Lahey
Determinants of Callbacks to Job Applications: An Audit Study,Henry S. Farber
Supply and Demand for Discrimination: Strategic Revelation of Own Characteristics in a Trust Game,Anthony Heyes
Student Loan Information Provision and Academic Choices,Maximilian Schmeiser
Birth Timing and Neonatal Health,Cristina Borra
STEM Training and Early Career Outcomes of Female and Male Graduate Students: Evidence from UMETRICS Data Linked to the 2010 Census,Catherine Buffington
Medicare Part D and Portfolio Choice,Padmaja Ayyagari
Coordinated Admissions Program,Rodney J. Andrews
Can Admissions Percent Plans Lead to Better Collegiate Fit for Minority Students?,Kalena E. Cortes
Religious Workers' Density and the Racial Earnings Gap,Fernando Lozano
"Does the EITC Buffer against Neighborhood Transition? Evidence from Washington, DC",LaTanya Brown-Robertson
Classroom Experiments: Is More More?,Tisha L. N. Emerson
Measuring the Effect of Blended Learning: Evidence from a Selective Liberal Arts College,Aaron Swoboda
The Impact of Challenge Quizzes on Student Knowledge,KimMarie McGoldrick
A Randomized Assessment of Online Learning,William T. Alpert
Sources of Inefficiency in Healthcare and Education,Amitabh Chandra
Interpreting Tests of School VAM Validity,Joshua Angrist
Using Lagged Outcomes to Evaluate Bias in Value-Added Models,Raj Chetty
"Fixed Effects, Invariance, and Spatial Variation in Intergenerational Mobility",Gary Chamberlain
Identity Economics 2016: Where Do Social Distinctions and Norms Come From?,Rachel E. Kranton
Identity-Based Organizations,Jean-Paul Carvalho
"""We Thinking"" and Its Consequences",Robert Akerlof
Identity-Driven Cooperation versus Competition,Dennis J. Snower
Option Awareness: The Psychology of What We Consider,Anuj K. Shah
Beyond Beta-Delta: The Emerging Economics of Personal Plans,John Beshears
The Psychological Lives of the Poor,Frank Schilbach
"Refugees, Asylum Seekers, and Policy in OECD Countries",Timothy J. Hatton
Rethinking Protection of Those Displaced by Humanitarian Crises,Susan F. Martin
Toward an International Migration Regime,Jeffrey D. Sachs
The Economic Impact of Syrian Refugees on Host Countries: Quasi-experimental Evidence from Turkey,Semih Tumen
Converging to American: Healthy Immigrant Effect in Children of Immigrants,Mónica García-Pérez
Ethnic Attrition and the Observed Health of Later-Generation Mexican Americans,Francisca Antman
HIV/AIDS and Development: A Reappraisal of the Productivity and Factor Accumulation Effects,Théophile T. Azomahou
"LEP Language Disability, Immigration Reform, and English-Language Acquisition",Alberto Dávila
On the Optimal Inflation Rate,Markus K. Brunnermeier
Sooner or Later: Timing of Monetary Policy with Heterogeneous Risk-Taking,Dong Beom Choi
Money and Asset Liquidity in Frictional Capital Markets,Wei Cui
Secular Stagnation in the Open Economy,Gauti B. Eggertsson
The Sovereign-Bank Diabolic Loop and ESBies,Markus K. Brunnermeier
Safe Asset Scarcity and Aggregate Demand,Ricardo J. Caballero
What Makes US Government Bonds Safe Assets?,Zhiguo He
Crises and the Development of Economic Institutions: Some Microeconomic Evidence,Raghuram Rajan
Too Big to Fail before the Fed,Gary Gorton
Interbank Markets and Banking Crises: New Evidence on the Establishment and Impact of the Federal Reserve,Mark Carlson
Bank Leverage and Regulatory Regimes: Evidence from the Great Depression and Great Recession,Christoffer Koch
A Simple Model of Subprime Borrowers and Credit Growth,Alejandro Justiniano
Debt Constraints and the Labor Wedge,Patrick Kehoe
Anticipated Banking Panics,Mark Gertler
Bank Leverage and Social Welfare,Lawrence Christiano
Capital Flows: Expansionary or Contractionary?,Olivier Blanchard
The Macroprudential Role of International Reserves,Olivier Jeanne
"Global Cycles: Capital Flows, Commodities, and Sovereign Defaults, 1815-2015",Carmen M. Reinhart
When Do Capital Inflow Surges End in Tears?,Atish R. Ghosh
"Information Design, Bayesian Persuasion, and Bayes Correlated Equilibrium",Dirk Bergemann
Bayesian Persuasion in Coordination Games,Itay Goldstein
A Rothschild-Stiglitz Approach to Bayesian Persuasion,Matthew Gentzkow
Shutting Down the Thermohaline Circulation,David Anthoff
A Potential Disintegration of the West Antarctic Ice Sheet: Implications for Economic Analyses of Climate Policy,Delavane Diaz
The Ecosystem Impacts of Severe Warming,Robert Mendelsohn
Economic Effects of an Ocean Acidification Catastrophe,Stephen G. Colt
How Mortgage Finance Reform Could Affect Housing,John V. Duca
Borrowing Constraints and Homeownership,Arthur Acolin
A Lost Generation? Education Decisions and Employment Outcomes during the US Housing Boom-Bust Cycle of the 2000s,Luc Laeven
To Buy or Not to Buy: Consumer Constraints in the Housing Market,Andreas Fuster
Estimating Top Income and Wealth Shares: Sensitivity to Data and Methods,Jesse Bricker
Estimating the Top Tail of the Wealth Distribution,Philip Vermeulen
Heterogeneity in Returns to Wealth and the Measurement of Wealth Inequality,Andreas Fagereng
The Role of Bequests in Shaping Wealth Inequality: Evidence from Danish Wealth Records,Simon H. Boserup
"Revenue and Incentive Effects of Basis Step-Up at Death: Lessons from the 2010 ""Voluntary"" Estate Tax Regime",Robert Gordon
