paper_title,author
Is Inflation Just Around the Corner? The Phillips Curve and Global Inflationary Pressures,Olivier Coibion
"Macroprudential Policy: What We've Learned, Don't Know, and Need to Do",Kristin J. Forbes
China versus the United States: IMS Meets IPS,Emmanuel Farhi
Some Principles for Regulating Cyber Risk,Anil K. Kashyap
Profit Shifting in a Globalized World,Dhammika Dharmapala
How Elastic is the Demand for Tax Havens? Evidence from the US Possessions Corporations Tax Credit,Daniel Garrett
Challenges of Monitoring Tax Compliance by Multinational Firms: Evidence from Chile,Sebastián Bustos
The Quality of Banks at Stigmatized Lending Facilities,Sriya Anbil
Does Getting Health Insurance Affect Women's Fertility? Evidence from the United Mine Workers' Health Insurance,Erin Troland
Traditional Medicine in Central Africa,Sara Lowes
The Rise of the Dollar and Fall of the Euro as International Currencies,Matteo Maggiori
Dollar Invoicing and the Heterogeneity of Exchange Rate Pass-Through,Emine Boz
Exports and Invoicing: Evidence from the 2015 Swiss Franc Appreciation,Raphael Auer
Neutral Bargaining in Financial Over-The-Counter Markets,Jin Yeub Kim
Information and Communication in Organizations,Inga Deimen
Optimal Information Design for Search Goods,Michael Choi
Noisy Memory and Over-Reaction to News,Rava Azeredo da Silveira
Cognitive Abilities and Inflation Expectations,Francesco D'Acunto
Emotional Tagging and Belief Formation: The Long-Lasting Effects of Experiencing Communism,Christine Laudenbach
Memory and Reference Prices: An Application to Rental Choice,Pedro Bordalo
