"first_name","author","paper_title","author_affiliation","date","time","location","association","session_title","session_jel_code","session_chair","session_chair_affiliation","discussant_1","discussant_1_affiliation","discussant_2","discussant_2_affiliation","discussant_3","discussant_3_affiliation","discussant_4","discussant_4_affiliation","discussant_5","discussant_5_affiliation","firstname","total_male","total_female","prob_male","prob_female","total_names","male_75","female_75","male_95","female_95"
"Adam","Adam Greenberg","Gender Differences in Negotiation by Communication Method","University of California-San Diego","Jan 04 2016","8:00 AM","Hilton Union Square, Continental Ballroom 4","American Economic Association","Gender at Work: Evidence from Experimental Economics (C9, J7)","","Catherine Eckel","Texas A&M University","Christine Exley","Stanford University","Anat Bracha","Federal Reserve Bank of Boston","Katherine Coffman","Ohio State University","Alexandra van Geen","Erasmus University","","","ADAM",1802,4,0.9977852,0.0022148,1806,1,0,1,0
"Adam","Adam Nowak","Double Round Auctions","West Virginia University","Jan 05 2016","10:15 AM","Parc 55, Powell I","American Real Estate & Urban Economic Association","Commercial Real Estate (G1, R3)","","Sergey Tsyplakov","University of South Carolina","Tobias Muhlhofer","University of Miami","Yongqiang Chu","University of South Carolina","Svetlana Pevnitskaya","Florida State University","Libo Sun","California State Polytechnic University-Pomona","","","ADAM",1802,4,0.9977852,0.0022148,1806,1,0,1,0
"Adam","Adam J. Hoffer","Changing What Our Students Think, What Our Students Know, and What Our Students Think They Know","University of Wisconsin-La Crosse","Jan 03 2016","8:00 AM","Hilton Union Square, Golden Gate 8","American Economic Association","Research in Economic Education","A2","Georg Schaur","University of Tennessee","Matthew Rousu","Susquehanna University","Gail Hoyt","University of Kentucky","Olga Troitschanskaia","University of Mainz","Jennifer Imazeki","San Diego State University","","","ADAM",1802,4,0.9977852,0.0022148,1806,1,0,1,0
"Adam","Adam Zawadowski","Learning in Crowded Markets","Boston University","Jan 05 2016","10:15 AM","Marriott Marquis, Nob Hill A & B","American Finance Association","Information and Noise","G1","Snehal Banerjee","University of California-San Diego","Ming Yang","Duke University","Timothy Johnson","University of Illinois-Urbana-Champaign","Terrence Hendershott","University of California-Berkeley","Vincent Glode","University of Pennsylvania","","","ADAM",1802,4,0.9977852,0.0022148,1806,1,0,1,0
"Adam","Adam Nowak","The Roles of Lifetime Employment, Earnings, and Living Costs in Model of Migration","West Virginia University","Jan 04 2016","2:30 PM","Marriott Marquis, Sierra I","Society of Government Economists","Using Linked Census and Administrative Data to Analyze Intergenerational and Geographic Mobility (J6, D1)","","Joseph Ferrie","Northwestern University","Gary Solon","University of Arizona","Miles Corak","University of Ottawa","Sarena Goodman","Federal Reserve Board","Matthew Freedman","Drexel University","","","ADAM",1802,4,0.9977852,0.0022148,1806,1,0,1,0
"Adela","Adela Luque","Becoming Self-Employed During the Great Recession","U.S. Census Bureau","Jan 03 2016","12:30 PM","Marriott Marquis, Sierra I","Society of Government Economists","Economic Cycles and Strategies: The Role of Transfers, Borrowing, and Self-Employment (D1, H3)","","David Johnson","U.S. Bureau of Economic Analysis","Maggie R. Jones","U.S. Census Bureau","Quentin Brummet","U.S. Census Bureau","Benjamin Cerf Harris","U.S. Census Bureau","Katherine Michelmore","University of Michigan","","","ADELA",1,18,0.0526316,0.9473684,19,0,1,0,0
"Adolfo","Adolfo Barajas","Can Islamic Banking Increase Financial Inclusion?","International Monetary Fund","Jan 05 2016","8:00 AM","Hilton Union Square, Union Square 18","Middle East Economic Association","Economic Development in MENA Region","O1","Mahdi Majbouri","Babson College","Hassan Y. Aly","Ohio State University","Wassim Shahin","Lebanese American University","Erhan Aslanoglu","Piri Reis University","Khusrav Gaibulloev","American University of Sharjah","Fatma Dogruel","Marmara University","ADOLFO",37,0,1,0,37,1,0,1,0
"Adriana","Adriana Valcu-Lisman","Robust Optimization of Agricultural Conservation Investments to Cost-Efficiently Reduce the Northern Gulf of Mexico Hypoxic Zone","Iowa State University","Jan 03 2016","10:15 AM","Marriott Marquis, Sierra C","Agricultural & Applied Economics Association","Targeting Nutrient Pollution to Protect Inland and Coastal Waterways: Tradeoffs Between Agriculture and Aquatic Ecosystem Services","Q5","Joseph Herriges","Michigan State University","","","","","","","","","","","ADRIANA",1,255,0.0039063,0.9960938,256,0,1,0,1
"Adriana","Adriana Debora Kugler","Long-Term Direct and Spillover Effects of Job Training: Experimental Evidence from Colombia","Georgetown University, NBER, CEPR, and IZA","Jan 04 2016","2:30 PM","Hilton Union Square, Union Square 22","American Economic Association","Experimental Impacts of Vocational Education in Low and Middle Income Countries (J1, O1)","","Adriana Debora Kugler","Georgetown University","Ofer Malamud","University of Chicago","Erica Field","Duke University","Rebecca Thornton","University of Illinois-Urbana-Champaign","Ahmed Mushfiq Mobarak","Yale University","","","ADRIANA",1,255,0.0039063,0.9960938,256,0,1,0,1
"Ahmed","Ahmed Khwaja","Firm Expansion, Size Spillovers and Market Dominance in Retail Chain Dynamics","Yale University","Jan 05 2016","1:00 PM","Hilton Union Square, Union Square 16","Econometric Society","Structural Econometrics Models","A1","Bradley Larsen","Stanford University","","","","","","","","","","","AHMED",198,0,1,0,198,1,0,1,0
"Ahmed","Ahmed Mobarak","Migration and Consumption Insurance in Bangladesh","Yale University","Jan 05 2016","1:00 PM","Hilton Union Square, Union Square 13","Econometric Society","Insurance, Migration and Economic Growth","A1","Mark Rosenzweig","Yale University","John Kennan","University of Wisconsin-Madison","Todd Schoellman","Arizona State University","Clement Imbert","University of Warwick","Mushfiq Mobarak","Yale University","","","AHMED",198,0,1,0,198,1,0,1,0
"Ajay","Ajay Agrawal","Are Syndicates the Killer App of Equity Crowdfunding?","University of Toronto","Jan 04 2016","8:00 AM","Hilton Union Square, Union Square 23 & 24","American Economic Association","Crowdfunding Innovation (L1, G2)","","David Zvilichovsky","Tel Aviv University","Roy Zuckerman","Tel Aviv University","","","","","","","","","AJAY",59,0,1,0,59,1,0,1,0
"Akihiro","Akihiro Kubo","Do Central Banks Target the Exchange Rates? Recent Experience in Emerging Asia","Osaka City University","Jan 03 2016","10:15 AM","Marriott Marquis, Pacific J","American Committee for Asian Economic Studies/American Economic Association","Money and Exchange Rates in Emerging Asia (F3, E5)","","Michael G. Plummer","Johns Hopkins University","Reid Click","George Washington University","Menzie D. Chinn","University of Wisconsin","Michael G. Plummer","Johns Hopkins University","Calla Wiemer","University of the Philippines","","","AKIHIRO",8,0,1,0,8,1,0,1,0
"Al","Al Carrion","High Frequency Trading and Extreme Price Movements","Lehigh University","Jan 03 2016","8:00 AM","Marriott Marquis, Nob Hill A & B","American Finance Association","High-Frequency Trading","G1","Albert Menkveld","Vrije University Amsterdam","Andreas Park","University of Toronto","Shmuel Baruch","University of Utah","Joel Hasbrouck","New York University","Maureen O'Hara","Cornell University","","","AL",356,9,0.9753425,0.0246575,365,1,0,1,0
"Alain","Alain Safa","Risk Assessment of the Impacts of Climate Change on Tourism Activities in Some Mediterranean Countries: An Actuarial Risk Approach","University of Nice-Antipolis","Jan 05 2016","10:15 AM","Hilton Union Square, Union Square 18","Middle East Economic Association","Natural Resources and Environmental Issues in MENA Countries (Q2, Q5)","","Rahel Schomaker","Cologne Business School","Jeffrey Nugent","University of Southern California","Durdane Sirin Saracoglu","Middle East Technical University","Mine Cinar","Loyola University","Emin Koksal","Bahcesehir University","A. Suut Dogruel","Marmara University","ALAIN",68,2,0.9714286,0.0285714,70,1,0,1,0
"Alberto","Alberto Dávila","English-Language Proficiency, Earnings, and the Likelihood of Reporting a Disability","University of Texas-Rio Grande Valley","Jan 03 2016","12:30 PM","Hilton Union Square, Powell A & B","National Economic Association/American Society of Hispanic Economists","Racial/Ethnic Differences in Self-Identification and Income Inequality (J7, Z1)","","Alberto Dávila","University of Texas-Rio Grande Valley","Luisa R. Blanco","Pepperdine University","Francisca Antman","University of Colorado-Boulder","Monica Garcia-Perez","St. Cloud State University","Richard Santos","University of New Mexico","","","ALBERTO",285,1,0.9965035,0.0034965,286,1,0,1,0
"Alberto","Alberto Teguia","Asymmetric Information and Liquidity Provision","Rice University","Jan 05 2016","1:00 PM","Marriott Marquis, Yerba Buena Salons 12 & 13","American Finance Association","Illiquidity in Financial Markets: Information, Taxes and Temperature","G1","Brett Green","University of California-Berkeley","Brendan Daley","Duke University","S. Viswanathan","Duke University","David Sraer","University of California-Berkeley","Peter Koudijs","Stanford University","","","ALBERTO",285,1,0.9965035,0.0034965,286,1,0,1,0
"Alberto","Alberto Alesina","The Output Effects of Fiscal Adjustment Plans: Disaggregating Taxes and Spending","Harvard University, IGIER, and CEPR","Jan 04 2016","8:00 AM","Hilton Union Square, Continental Parlors 7 & 8","American Economic Association","Macroeconomic Effects of Fiscal Policy Changes (E6, C8)","","Dmitriy Sergeyev","Bocconi University","Ethan Ilzetzki","London School of Economics","Johannes Wieland","University of California-San Diego","Steven Pennings","World Bank","Wataru Miyamoto","Bank of Canada","","","ALBERTO",285,1,0.9965035,0.0034965,286,1,0,1,0
"Alberto","Alberto Rossi","Network Centrality and Pension Fund Performance","University of Maryland-College Park","Jan 05 2016","8:00 AM","Marriott Marquis, Nob Hill C & D","American Finance Association","Networks and Local Knowledge","G1","Johan Walden","University of California-Berkeley","Ankur Pareek","Rutgers University","Peter Kondor","London School of Economics","Paolo Colla","Bocconi University","M. Deniz Yavuz","Purdue University","","","ALBERTO",285,1,0.9965035,0.0034965,286,1,0,1,0
"Albina","Albina Danilova","Information Asymmetries, Volatility, Liquidity, and the Tobin Tax","London School of Economics","Jan 04 2016","10:15 AM","Marriott Marquis, Yerba Buena Salons 14 & 15","American Finance Association","Information Frictions in Asset Markets","G1","Laura Veldkamp","New York University","Ralph Koijen","London Business School","Bradyn Breon-Drish","Stanford University","Pietro Veronesi","University of Chicago","Pablo Kurlat","Stanford University","","","ALBINA",0,14,0,1,14,0,1,0,1
"Alec","Alec Smith","Dynamic Unstructured Bargaining with Private Information and Deadlines: Theory and Experiment","University of Arizona and Compass Lexecon","Jan 04 2016","8:00 AM","Marriott Marquis, Sierra B","Economic Science Association","Experiments on Bargaining: The Role of Risk, Deadlines and Reference Points (C7, C9)","","Kyle Hyndman","Naveen Jindal School of Management and University of Texas-Dallas","Alistair Wilson","University of Pittsburgh","Matthew Embrey","University of Sussex","Chloe Tergiman","Pennsylvania State University","Timothy Salmon","Southern Methodist University","","","ALEC",88,1,0.988764,0.011236,89,1,0,1,0
"Alejandro","Alejandro Justinano","A Simple Model of Subprime Borrowers and Credit Growth","Federal Reserve Bank-Chicago","Jan 04 2016","2:30 PM","Hilton Union Square, Plaza B","American Economic Association","Quantitative Modeling of the Financial Crisis (E3, E4)","","Mark Gertler","New York University","Ali Shourideh","University of Pennsylvania","Simon Gilchrist","Boston University","Pablo Kurlat","Stanford University","Juliane Begenau","Harvard Business School","","","ALEJANDRO",208,0,1,0,208,1,0,1,0
"Alex","Alex Tabarrok","Is Regulation to Blame for the Decline of American Entrepreneurship?","George Mason University","Jan 04 2016","2:30 PM","Hilton Union Square, Union Square 25","American Economic Association","What Caused the Decline in Labor Market Mobility? (J2, E2)","","Ben Zipperer","Washington Center for Equitable Growth","","","","","","","","","","","ALEX",2203,205,0.9148671,0.0851329,2408,1,0,0,0
"Alex","Alex Anas","Rationality and Exuberance in Land Prices and the Supply of New Housing","State University of New York-Buffalo","Jan 03 2016","8:00 AM","Parc 55, Powell I","American Real Estate & Urban Economic Association","Urban Theory (R1, R3)","","Gilles Duranton","University of Pennsylvania","Haifang Huang","University of Alberta","Charles G. Nathanson","Northwestern University","Richard J. Arnott","University of California-Riverside","Sanhghoon Lee","University of British Columbia","","","ALEX",2203,205,0.9148671,0.0851329,2408,1,0,0,0
"Alex","Alex Bell","The Lifecycle of Inventors","Harvard University","Jan 03 2016","2:30 PM","Hilton Union Square, Union Square 15","Econometric Society","Innovation and Technological Change","A1","Benjamin Roin","Massachusetts Institute of Technology","","","","","","","","","","","ALEX",2203,205,0.9148671,0.0851329,2408,1,0,0,0
"Alex","Alex Cohen","Do Factor and Financial Market Frictions Interact to Constrain Growth? Evidence from Firms and Farms","Yale University","Jan 04 2016","2:30 PM","Hilton Union Square, Union Square 3 & 4","Econometric Society","Firms in Developing Economies","A1","David Atkin","Massachusetts Institute of Technology","","","","","","","","","","","ALEX",2203,205,0.9148671,0.0851329,2408,1,0,0,0
"Alex","Alex Cohen","The Effectiveness of Overlapping Pollution Regulation: Evidence from the Ban on Phosphate in Dishwasher Detergent","Yale University","Jan 05 2016","8:00 AM","Hilton Union Square, Union Square 5 & 6","Association of Environmental & Resource Economists","The Economics of Water Pollution","Q5","Joseph S. Shapiro","Yale University","Sheila Olmstead","University of Texas-Austin","Michael Hanemann","Arizona State University","Maureen Cropper","University of Maryland","Maximilian Auffhammer","University of California-Berkeley","","","ALEX",2203,205,0.9148671,0.0851329,2408,1,0,0,0
"Alexander","Alexander Popov","Waking Up from the American Dream: On the Experience of Young Americans During the Housing Boom of the 2000s","European Central Bank","Jan 03 2016","2:30 PM","Hilton Union Square, Franciscan C","American Economic Association","Homeownership and the American Dream (R2, E2)","","John V. Duca","Federal Reserve Bank of Dallas and Southern Methodist University","James D. Shilling","DePaul University","Shane Sherlund","Federal Reserve Board","Raphael W. Bostic","University of Southern California","Andra Ghent","University of Wisconsin-Madison","","","ALEXANDER",702,2,0.9971591,0.0028409,704,1,0,1,0
"Alexander","Alexander Yuskavage","When is Capital Taxed Under a VAT?: The Hidden Effects of Exemption","U.S. Department of the Treasury","Jan 04 2016","8:00 AM","Marriott Marquis, Sierra I","Society of Government Economists","Fiscal Issues and Public Economics (H2, H3)","","Steve Payson","U.S. Department of the Interior","Gregory Bruich","Harvard University","Wenhua Di","Federal Reserve Bank of Dallas","Kati Fitzpatrick","Seattle University","Jon Pogach","U.S. Federal Deposit Insurance Corporation","","","ALEXANDER",702,2,0.9971591,0.0028409,704,1,0,1,0
"Alexander","Alexander Robert Rees-Jones","Heuristic Perceptions of the Income Tax: Evidence and Implications","University of Pennsylvania","Jan 03 2016","10:15 AM","Hilton Union Square, Continental – Parlor 1","American Economic Association","Tax Experiments (H2, C9)","","Erzo F.P. Luttmer","Dartmouth College","Stefanie Stantcheva","Harvard University","David Seim","University of Toronto","Judd Kessler","University of Pennsylvania","Ugo Troiano","University of Michigan","","","ALEXANDER",702,2,0.9971591,0.0028409,704,1,0,1,0
"Alexander","Alexander Robert Rees-Jones","Suboptimal Behavior in Strategy-Proof Mechanisms: Evidence from the Residency Match","University of Pennsylvania","Jan 03 2016","8:00 AM","Hilton Union Square, Union Square 13","American Economic Association","Strategic Games","D4","Alison Watts","Southern Illinois University-Carbondale","","","","","","","","","","","ALEXANDER",702,2,0.9971591,0.0028409,704,1,0,1,0
"Alexander","Alexander Gelber","The Effect of High-Skilled Immigration on Patenting and Employment: Evidence from H1B Visa Lotteries","University of California-Berkeley","Jan 04 2016","8:00 AM","Parc 55, Balboa","Labor & Employment Relations Association","Skilled Worker Immigration and the H1B Program","J6","Katharine G. Abraham","University of Maryland","William Kerr","Harvard Business School","","","","","","","","","ALEXANDER",702,2,0.9971591,0.0028409,704,1,0,1,0
"Alexander","Alexander Yuskavage","Once Bitten, Twice Shy? The Lasting Impact of IRS Audits on Individual Tax Reporting","U.S. Department of the Treasury","Jan 05 2016","10:15 AM","Hilton Union Square, Union Square 21","American Economic Association","Regulation and Implementation of Tax Systems","H2","Jon M. Bakija","Williams College","","","","","","","","","","","ALEXANDER",702,2,0.9971591,0.0028409,704,1,0,1,0
"Alexander","Alexander Vedrashko","Are Friday announcements special? Overcoming selection bias","Simon Fraser University","Jan 05 2016","8:00 AM","Marriott Marquis, Yerba Buena Salons 1 & 2","American Finance Association","Uncovering Alpha: Informed Traders across the World","G1","Lauren Cohen","Harvard Business School","Bryan Kelly","University of Chicago","Huaizhi Chen","London School of Economics","Stefano DellaVigna","University of California-Berkeley","Karl Diether","Dartmouth College","","","ALEXANDER",702,2,0.9971591,0.0028409,704,1,0,1,0
"Alexander","Alexander Whalley","Space Race: Innovation and Productivity in Cities","University of California-Merced","Jan 03 2016","2:30 PM","Parc 55, Powell I","American Real Estate & Urban Economic Association","Urban Productivity (R1, R4)","","William Strange","University of Toronto","Jeffery Lin","Federal Reserve Bank of Philadelphia","Jorge de la Roca","New York University","Victor Couture","University of California-Berkeley","Jessie Handbury","University of Pennsylvania","","","ALEXANDER",702,2,0.9971591,0.0028409,704,1,0,1,0
"Alexander","Alexander Karaivanov","Bogus Joint Liability Groups in Microfinance - Theory and Evidence from China","Simon Fraser University","Jan 05 2016","10:15 AM","Hilton Union Square, Union Square 13","Econometric Society","Finance in Developing Economies","A1","Emily Breza","Columbia University","","","","","","","","","","","ALEXANDER",702,2,0.9971591,0.0028409,704,1,0,1,0
"Alexander","Alexander Westkamp","Full Substitutability in Trading Networks","Maastricht University","Jan 04 2016","8:00 AM","Hilton Union Square, Union Square 20","Econometric Society","Advances in Matching Theory","A1","Alessandro Pavan","Northwestern University","","","","","","","","","","","ALEXANDER",702,2,0.9971591,0.0028409,704,1,0,1,0
"Alexander","Alexander Kolovos","Advanced Space-Time Analysis: Application to the U.S. Housing Market","SpaceTimeWorks, LLC","Jan 03 2016","2:30 PM","Parc 55, Mission II & III","American Real Estate & Urban Economic Association","Real Estate Markets (R2, D9)","","Jeffrey Zabel","Tufts University","Nadia Greenhalgh-Stanley","Kent State University","Alvin Murphy","Arizona State University","Erik Johnson","University of Richmond","Jenny Schuetz","Federal Reserve Board","","","ALEXANDER",702,2,0.9971591,0.0028409,704,1,0,1,0
"Alexander","Alexander Cappelen","What Explains the Gender Gap in Education? Experimental and Administrative Evidence","Norwegian School of Economics","Jan 03 2016","10:15 AM","Hilton Union Square, Imperial A","American Economic Association","Gender Gaps in Childhood: Skills, Behavior, and Labor Market Preparedness","I2","David Autor","Massachusetts Institute of Technology","David Figlio","Northwestern University","Melissa S. Kearney","University of Maryland","Abigail Payne","McMaster University","","","","","ALEXANDER",702,2,0.9971591,0.0028409,704,1,0,1,0
"Alexander","Alexander Gelber","The Effect of Pension Income on Elderly Earnings: Evidence from the Social Security Notch and Full Population Data","University of California-Berkeley","Jan 03 2016","10:15 AM","Hilton Union Square, Union Square 25","American Economic Association","Determinants of Labor Supply","J2","Lee Lockwood","Northwestern University","","","","","","","","","","","ALEXANDER",702,2,0.9971591,0.0028409,704,1,0,1,0
"Alexander","Alexander W. Richter","Inequality and Indebtedness: Domestic and International Considerations","Auburn University","Jan 03 2016","2:30 PM","Marriott Marquis, Pacific B","Association for Social Economics","Financialisation and Inequality (E4, D6)","","Philip Arestis","University of Cambridge","","","","","","","","","","","ALEXANDER",702,2,0.9971591,0.0028409,704,1,0,1,0
"Alexander","Alexander Whalley","Research Proximity and Productivity: Long-Term Evidence From Agriculture","University of California-Merced","Jan 05 2016","8:00 AM","Hilton Union Square, Union Square 16","Econometric Society","Topics in Industrial Organization","A1","John Lazarev","New York University","","","","","","","","","","","ALEXANDER",702,2,0.9971591,0.0028409,704,1,0,1,0
"Alexander","Alexander Field","The Taylor Rule in the 1920s","Santa Clara University","Jan 03 2016","10:15 AM","Hilton Union Square, Union Square 24","Cliometric Society","New Wine in Old Bottles: Capitalism, Monetary Policy, Panics and War","N4","Claude Diebolt","University of Strasbourg","Robert Margo","Boston University","Michael Haupert","University of Wisconsin-La Crosse","Jon Moen","University of Mississippi","Claude Diebolt","University of Strasbourg","","","ALEXANDER",702,2,0.9971591,0.0028409,704,1,0,1,0
"Alexander","Alexander W. Richter","Income Inequality and Current Account Imbalances","Indiana University","Jan 05 2016","8:00 AM","Hilton Union Square, Continental – Parlor 3","American Economic Association","Inequality, Redistribution and Macroeconomic Instability (E1, E2)","","Romain Ranciere","Paris School of Economics","Kevin J. Lansing","Federal Reserve Bank of San Francisco","Juan M. Sanchez","Federal Reserve Bank of St Louis","Alessandro Dovis","Pennsylvania State University","Thomas Theobald","Macroeconomic Policy Institute","","","ALEXANDER",702,2,0.9971591,0.0028409,704,1,0,1,0
"Alexander","Alexander Herzog-Stein","Explaining the German Employment Miracle in the Great Recession – The Crucial Role of Temporary Working Time Reductions","Macroeconomic Policy Institute","Jan 05 2016","1:00 PM","Hilton Union Square, Union Square 18","American Economic Association","Labor Productivity","J3","Jamin D. Speer","University of Memphis","","","","","","","","","","","ALEXANDER",702,2,0.9971591,0.0028409,704,1,0,1,0
"Alexander","Alexander Massara","Can Islamic Banking Increase Financial Inclusion?","International Monetary Fund","Jan 05 2016","8:00 AM","Hilton Union Square, Union Square 18","Middle East Economic Association","Economic Development in MENA Region","O1","Mahdi Majbouri","Babson College","Hassan Y. Aly","Ohio State University","Wassim Shahin","Lebanese American University","Erhan Aslanoglu","Piri Reis University","Khusrav Gaibulloev","American University of Sharjah","Fatma Dogruel","Marmara University","ALEXANDER",702,2,0.9971591,0.0028409,704,1,0,1,0
"Alexander","Alexander Chinco","Sparse Signals in the Cross-Section of Returns","University of Illinois-Urbana-Champaign","Jan 05 2016","8:00 AM","Marriott Marquis, Yerba Buena Salons 1 & 2","American Finance Association","Uncovering Alpha: Informed Traders across the World","G1","Lauren Cohen","Harvard Business School","Bryan Kelly","University of Chicago","Huaizhi Chen","London School of Economics","Stefano DellaVigna","University of California-Berkeley","Karl Diether","Dartmouth College","","","ALEXANDER",702,2,0.9971591,0.0028409,704,1,0,1,0
"Alexander","Alexander W. Richter","Forward Guidance and the State of the Economy","Auburn University","Jan 04 2016","10:15 AM","Hilton Union Square, Golden Gate 8","American Economic Association","Forward Guidance in Monetary Policy","E4","Douglas Pearce","North Carolina State University","","","","","","","","","","","ALEXANDER",702,2,0.9971591,0.0028409,704,1,0,1,0
"Alexander","Alexander Robert Rees-Jones","Attention Variation and Welfare: Theory and Evidence from a Tax Salience Experiment","University of Pennsylvania","Jan 03 2016","2:30 PM","Hilton Union Square, Continental – Parlor 1","American Economic Association","Empirical Applications of Behavioral Welfare Analysis (D6, H2)","","Hunt Allcott","New York University","Eric Glen Weyl","University of Chicago and Microsoft Research","Stefano DellaVigna","University of California-Berkeley","Erzo F.P. Luttmer","Dartmouth College","Neale Mahoney","University of Chicago","","","ALEXANDER",702,2,0.9971591,0.0028409,704,1,0,1,0
"Alexandra","Alexandra Heimisch","Returns to ICT Skills","University of Munich","Jan 03 2016","10:15 AM","Hilton Union Square, Union Square 14","American Economic Association","Labor Productivity and Wage Determination","J3","Kara D. Smith","Belmont University","","","","","","","","","","","ALEXANDRA",1,606,0.0016474,0.9983525,607,0,1,0,1
