author,paper_title,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation,author.y,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,X,X.1,X.2,X.3,X.4
Adam Szeidl,Trust and Social Collateral: Empirical Evidence,Central European University,Jan 03 2014,2:30 PM,"Philadelphia Marriott, Meeting Room 307",Economic Science Association,Experiments in Economic Development,C9,Pauline Grosjean,University of New South Wales,,,,,,,,,,,ADAM SZEIDL,Male,,,,,,NA,NA,NA,NA,NA
Adam Szeidl,Noise Bidders in Auctions,Central European University,Jan 05 2014,10:15 AM,"Pennsylvania Convention Center, 204-B",American Economic Association,Understanding the Auction Process: New Theories and Empirical Evidence,L2,Ulrike Malmendier,University of California-Berkeley,David Reiley,Google Inc,Jennifer Brown,Northwestern University,Mallesh Pai,University of Pennsylvania,Steven Tadelis,University of California-Berkeley and eBay Research Labs,,,ADAM SZEIDL,Male,,,,,,NA,NA,NA,NA,NA
Adi Sunderam,"Concentration in Mortgage Lending, Refinancing Activity, and Mortgage Rates",Harvard Business School,Jan 04 2014,8:00 AM,"Loews Philadelphia Hotel, Millennium Hall",American Finance Association,Real Estate and Mortgages,G2,Karen Pence,Federal Reserve Board,Karen M. Pence,Federal Reserve Board,Ben Keys,University of Chicago,Margarita Tsoutsoura,University of Chicago,Sumit Agarwal,National University of Singapore,,,Adi Sunderam,Male,,,,,,NA,NA,NA,NA,NA
Adriaan Soetevent,Price Competition on Graphs,University of Groningen,Jan 04 2014,12:30 PM,"Pennsylvania Convention Center, 106-A",Industrial Organization Society,Spatial Competition,L1,Stephen Martin,Purdue University,A. H. van der Weijde,Free University of Amsterdam,Darlene Chisholm,Suffolk University,Adriaan Soetevent,University of Amsterdam,Stephen Martin,Purdue University,,,ADRIAAN SOETEVENT,Male,,,,,,NA,NA,NA,NA,NA
Adrian Buss,Capital Controls and International Financial Stability,INSEAD,Jan 04 2014,2:30 PM,"Loews Philadelphia Hotel, Commonwealth Hall A",American Finance Association,"Networks, International Finance",G1,Tarek Hassan,University of Chicago,Thomas Chaney,University of Chicago,Bruce I. Sacerdote,Dartmouth College,Anna Pavlova,London Business School,,,,,Adrian Buss,Male,,,,,,NA,NA,NA,NA,NA
Adriana Lleras-Muney,The Long Run Impact of Welfare,University of California-Los Angeles,Jan 04 2014,12:30 PM,"Philadelphia Marriott, Meeting Room 307",Economic History Association,Poverty from a Historical Viewpoint,N3,Robert Margo,Boston University,Tom S. Vogl,Princeton University,Robert A. Margo,Boston University,Hoyt Bleakley,University of Chicago,Rob Gillezeau,New Democratic Party,,,ADRIANA LLERAS-MUNEY,Female,,,,,,NA,NA,NA,NA,NA
Adriana Lleras-Muney,Breaking the Glass Ceiling: The Effect of Board Quotas on Female Labor Market Outcomes in Norway,University of California-Los Angeles,Jan 05 2014,10:15 AM,"Loews Philadelphia Hotel, Regency Ballroom A",American Finance Association,A Woman's Touch: Women in Senior Leadership Positions,G3,Paola Sapienza,Northwestern University,Lori Beaman,Northwestern University,Geoffrey Tate,University of North Carolina,David A. Matsa,Northwestern University,David Cesarini,New York University,,,ADRIANA LLERAS-MUNEY,Female,,,,,,NA,NA,NA,NA,NA
Adrien Verdelhan,Crash Risk in Currency Markets,Massachusetts Institute of Technology,Jan 04 2014,2:30 PM,"Pennsylvania Convention Center, 108-B",American Economic Association,Global Risks and Currencies: Theory and Evidence,F3,Lars Hansen,University of Chicago,Viktor Todorov,Northwestern University,Jose Ursua,Goldman Sachs,Jessica Wachter,University of Pennsylvania,Lars Hansen,University of Chicago,,,ADRIEN VERDELHAN,Male,,,,,,NA,NA,NA,NA,NA
Ahmed Tahoun,Patronage Networks and the Balance of Power in Egypt's Arab Spring,London Business School,Jan 04 2014,8:00 AM,"Pennsylvania Convention Center, 204-C",American Economic Association,Economics of Revolutions,D7,Daron Acemoglu,Massachusetts Institute of Technology,Remi Jedwab,George Washington University,Carlo Prato,Georgetown University and Princeton University,Filipe Campante,Harvard University,Erik Meyersson,Stockholm School of Economics,,,Ahmed Tahoun,Male,,,,,,NA,NA,NA,NA,NA
Aitor Erce,Sovereign Debt Markets in Turbulent Times: Creditor Discrimination and Crowding-Out Effects,European Stability Mechanism,Jan 05 2014,10:15 AM,"Pennsylvania Convention Center, 204-C",American Economic Association,Advances in Open Macroeconomics,F3,Jaume Ventura,"CREI, UPF, and Barcelona GSE",Kenneth Rogoff,Harvard University,Philipp Schnabl,New York University,Oleg Itskhoki,Princeton University,Jaume Ventura,"CREI, UPF, and Barcelona GSE",,,Aitor Erce,Male,,,,,,NA,NA,NA,NA,NA
Ajay Subramanian,Product Variety and Asset Pricing,Georgia State University,Jan 03 2014,2:30 PM,"Philadelphia Marriott, Meeting Room 402",Econometric Society,Cross Sectional Asset Pricing,G1,Zhanhui Chen,Nanyang Technological University,,,,,,,,,,,AJAY SUBRAMANIAN,Male,,,,,,NA,NA,NA,NA,NA
Akshaya Jha,The Superintendent's Dilemma: Managing School District Capacity as Parents Vote with Their Feet,Stanford University,Jan 05 2014,8:00 AM,"Philadelphia Marriott, Meeting Room 401",Econometric Society,Empirical Models for Policy Evaluation,H3,John Rust,Georgetown University,,,,,,,,,,,Akshaya Jha,Male,,,,,,NA,NA,NA,NA,NA
Alan Barreca,Can Payments for Environmental Services Save the Forest? The Effects of an Avoided Deforestation Initiative in the Brazilian Amazon,Tulane University,Jan 05 2014,1:00 PM,"Pennsylvania Convention Center, 103-A",American Economic Association,"Deforestation, Land-Use Change and Contracts",Q5,Paul Scott,Tolouse School of Economics,,,,,,,,,,,Alan Barreca,Male,,,,,,NA,NA,NA,NA,NA
Alan Moreira,News Implied Volatility and Disaster Concerns,Yale University,Jan 04 2014,8:00 AM,"Loews Philadelphia Hotel, Commonwealth Hall A",American Finance Association,Media & Disclosure,G1,Joseph Engelberg,University of California-San Diego,Diego Garcia,University of North Carolina,Eriz Zitzewitz,Dartmouth College,Tim Loughran,University of Notre Dame,,,,,Alan Moreira,Male,,,,,,NA,NA,NA,NA,NA
Alberto Abadie,Inside the War on Drugs: Effectiveness and Unintended Consequences of a Large Illicit Crop Eradication Program In Colombia,Harvard University,Jan 04 2014,8:00 AM,"Pennsylvania Convention Center, 108-B",American Economic Association,Crime & Corruption,K4,Dale Cloninger,University of Houston-Clear Lake,,,,,,,,,,,ALBERTO ABADIE,Male,,,,,,NA,NA,NA,NA,NA
Alberto Chong,Letter Grading Government Efficiency,University of Ottawa,Jan 05 2014,8:00 AM,"Pennsylvania Convention Center, 201-B",American Economic Association,The Role of Management and Technology for Reallocation and Growth: Micro and Macro Evidence,L1,John Van Reenen,London School of Economics,,,,,,,,,,,Alberto Chong,Male,,,,,,NA,NA,NA,NA,NA
Alberto Chong,Effectiveness and Spillovers of Online Sex Education: Evidence from a Randomized Evaluation in Colombian Public Schools,University of Ottawa,Jan 05 2014,10:15 AM,"Philadelphia Marriott, Meeting Room 406",Econometric Society,Using Information Technology to Improve Health in Developing Countries,O1,Wesley Yin,Boston University,Yi Qian,Northwestern University,Leigh Linden,University of Texas-Austin,Simone Gabrielle Schaner,Dartmouth College,,,,,Alberto Chong,Male,,,,,,NA,NA,NA,NA,NA
Alberto Galasso,Patents and Cumulative Innovation: Causal Evidence from the Courts,University of Toronto,Jan 05 2014,1:00 PM,"Pennsylvania Convention Center, 204-C",American Economic Association,"Patents, Innovation and Growth",O3,Mark Schankerman,London School of Economics,Heidi L. Williams,Massachusetts Institute of Technology,Samuel Kortum,Yale University,John Van Reenen,London School of Economics,Benjamin Jones,Northwestern University,,,ALBERTO GALASSO,Male,,,,,,NA,NA,NA,NA,NA
Alberto Martin,Sovereign Debt Markets in Turbulent Times: Creditor Discrimination and Crowding-Out Effects,"CREI, UPF, and Barcelona GSE",Jan 05 2014,10:15 AM,"Pennsylvania Convention Center, 204-C",American Economic Association,Advances in Open Macroeconomics,F3,Jaume Ventura,"CREI, UPF, and Barcelona GSE",Kenneth Rogoff,Harvard University,Philipp Schnabl,New York University,Oleg Itskhoki,Princeton University,Jaume Ventura,"CREI, UPF, and Barcelona GSE",,,ALBERTO MARTIN,Male,,,,,,NA,NA,NA,NA,NA
Alberto Salvo,Fuel Mix and Air Quality during a Natural Experiment in the Sao Paulo Metropolitan Area between 2009 and 2011,National University of Singapore,Jan 04 2014,8:00 AM,"Philadelphia Marriott, Grand Ballroom - Salon K",Association of Environmental & Resource Economists,Air Pollution in Developing Countries,Q5,Matthew Neidell,Columbia University,Rema Hanna,Harvard University,Reed Walker,University of California-Berkeley,Prashant Bharadwaj,University of California-San Diego,Erin Mansur,Dartmouth College,,,ALBERTO SALVO,Male,,,,,,NA,NA,NA,NA,NA
Aldo Rustichini,A Neuronal Theory of the Decision Process,University of Minnesota,Jan 03 2014,2:30 PM,"Pennsylvania Convention Center, 103-A",American Economic Association,Neuroeconomics of Stochastic Choice,D8,David Laibson,Harvard University,Stephen Morris,Princeton University,Andrew Caplin,New York University,Paul Glimcher,New York University,,,,,Aldo Rustichini,Male,,,,,,NA,NA,NA,NA,NA
Aldo Rustichini,What Drives Women Out of Entrepreneurship? The Joint Role of Testosterone and Culture,University of Minnesota,Jan 05 2014,10:15 AM,"Loews Philadelphia Hotel, Regency Ballroom A",American Finance Association,A Woman's Touch: Women in Senior Leadership Positions,G3,Paola Sapienza,Northwestern University,Lori Beaman,Northwestern University,Geoffrey Tate,University of North Carolina,David A. Matsa,Northwestern University,David Cesarini,New York University,,,Aldo Rustichini,Male,,,,,,NA,NA,NA,NA,NA
Alejandro Justiniano,Household Leveraging and Deleveraging,Federal Reserve Bank of Chicago,Jan 04 2014,8:00 AM,"Philadelphia Marriott, Meeting Room 402",Econometric Society,Financial Frictions and the Macroeconomy,E5,Andrea Tambalotti,Federal Reserve Bank of New York,,,,,,,,,,,ALEJANDRO JUSTINIANO,Male,,,,,,NA,NA,NA,NA,NA
Alejandro Justiniano,The Natural Rate of Interest and Its Usefulness for Monetary Policy Making,Federal Reserve Bank of Chicago,Jan 03 2014,8:00 AM,"Philadelphia Marriott, Grand Ballroom - Salon E",American Economic Association,What's Natural? Key Macroeconomic Parameters after the Great Recession,E1,Matthew Shapiro,University of Michigan,Michael Woodford,Columbia University,Robert E. Hall,Stanford University,Susanto Basu,Boston College,,,,,ALEJANDRO JUSTINIANO,Male,,,,,,NA,NA,NA,NA,NA
Alessandra Cassar,"Institutional Quality, Culture, and Norms of Cooperation: Evidence from a Behavioral Field Experiment",University of San Francisco,Jan 03 2014,2:30 PM,"Philadelphia Marriott, Meeting Room 307",Economic Science Association,Experiments in Economic Development,C9,Pauline Grosjean,University of New South Wales,,,,,,,,,,,Alessandra Cassar,Female,,,,,,NA,NA,NA,NA,NA
Alessandra Voena,German-Jewish Emigres and United States Invention,Harvard University,Jan 05 2014,8:00 AM,"Pennsylvania Convention Center, 105-B",American Economic Association,High Skill Immigration in the Global Economy,J2,William Kerr,Harvard Business School,Gordon H. Hanson,University of California-San Diego,,,,,,,,,ALESSANDRA VOENA,Female,,,,,,NA,NA,NA,NA,NA
Alessandra Voena,Prenuptial Agreements and Household Wellbeing: Theory and Evidence from Italy,University of Chicago,Jan 04 2014,2:30 PM,"Pennsylvania Convention Center, 203-B",American Economic Association,"Cognitive, Non-Cognitive Skills, and Contracts on Marital Outcomes",J1,Aloysius Siow,University of Toronto,Rachel Fernandez,New York University,Aloysius Siow,University of Toronto,Gabriella Conti,University of Chicago,Laura Turner,University of Toronto,,,ALESSANDRA VOENA,Female,,,,,,NA,NA,NA,NA,NA
Alessandro Dovis,Rethinking Optimal Currency Areas,Pennsylvania State University and Princeton University,Jan 05 2014,10:15 AM,"Pennsylvania Convention Center, 204-C",American Economic Association,Advances in Open Macroeconomics,F3,Jaume Ventura,"CREI, UPF, and Barcelona GSE",Kenneth Rogoff,Harvard University,Philipp Schnabl,New York University,Oleg Itskhoki,Princeton University,Jaume Ventura,"CREI, UPF, and Barcelona GSE",,,Alessandro Dovis,Male,,,,,,NA,NA,NA,NA,NA
Alessandro Gavazza,What Shifts the Beveridge Curve? Recruitment Effort and Financial Shocks,New York University,Jan 03 2014,10:15 AM,"Philadelphia Marriott, Meeting Room 411",Econometric Society,New Perspectives on Jobless Recoveries,E1,Gianluca Violante,New York University,,,,,,,,,,,Alessandro Gavazza,Male,,,,,,NA,NA,NA,NA,NA
Alessandro Previtero,The Costs and Benefits of Financial Advice,University of Western Ontario,Jan 05 2014,10:15 AM,"Philadelphia Marriott, Grand Ballroom - Salon B",American Economic Association,Household Finance,G1,John Campbell,Harvard University,Tyler Shumway,University of Michigan,Antoinette Shoar,Massachusetts Institute of Technology,Stefan Nagel,Stanford University,Shawn A. Cole,Harvard Business School,,,Alessandro Previtero,Male,,,,,,NA,NA,NA,NA,NA
Alessandro Rebucci,Optimal Policy for Macro-Financial Stability,John Hopkins University and Inter-American Development Bank,Jan 05 2014,8:00 AM,"Pennsylvania Convention Center, 203-B",American Economic Association,Macroprudential Policies,E5,Jaume Ventura,"CREI, UPF, and Barcelona GSE",,,,,,,,,,,ALESSANDRO REBUCCI,Male,,,,,,NA,NA,NA,NA,NA
Alessio Saretto,Firm Policies and the Cross-Section of CDS spreads,University of Texas-Dallas,Jan 05 2014,1:00 PM,"Loews Philadelphia Hotel, Regency Ballroom A",American Finance Association,Structural Estimation in Finance,G3,Christopher Hennessy,London Business School,Michael Roberts,University of Pennsylvania,Joao Gomes,University of Pennsylvania,Sergey Tsyplakov,University of South Carolina,Erwan Morellec,Ecole Polytechnique Federale de Lausanne,,,Alessio Saretto,Male,,,,,,NA,NA,NA,NA,NA
Alex Solis,Does Higher Education Cause Political Participation? Evidence from a Regression Discontinuity Design,University of California-Berkeley,Jan 05 2014,1:00 PM,"Philadelphia Marriott, Grand Ballroom - Salon A",American Economic Association,Welfare Policies in Latin American,I3,Flavio Cunha,University of Pennsylvania,Renata Narita,World Bank,Alex Solis,Uppsala University,Rita Ginja,Uppsala University,Pedro Carneiro,University College London,,,Alex Solis,Male,,,,,,NA,NA,NA,NA,NA
Alex Solis,Returns to Elite Higher Education in the Marriage Market: Evidence from Chile,Uppsala University,Jan 03 2014,10:15 AM,"Pennsylvania Convention Center, 204-B",American Economic Association,Gender Gaps in Labor Market Outcomes,J7,Lise Vesterlund,University of Pittsburgh,Matthew Wiswall,Arizona State University,Francine D. Blau,Cornell University,Catherine Eckel,Texas A&M University,Lesley Turner,University of Maryland,,,Alex Solis,Male,,,,,,NA,NA,NA,NA,NA
Alexander Dyck,How Pervasive is Corporate Fraud?,University of Toronto,Jan 04 2014,10:15 AM,"Pennsylvania Convention Center, 107-B",American Economic Association,New Perspectives on Corporate Governance,G3,Luigi Zingales,University of Chicago,Franklin Allen,University of Pennsylvania,Amit Seru,University of Chicago,Frank Partnoy,University of California-San Diego,,,,,ALEXANDER DYCK,Male,,,,,,NA,NA,NA,NA,NA
Alexander Galetovic,Is there a PPP Interest Rate Premium?,Universidad de los Andes,Jan 04 2014,12:30 PM,"Philadelphia Marriott, Meeting Room 406",Transportation & Public Utilities Group,Transportation Public-Private Partnerships,L9,Wayne Talley,Old Dominion University,Patrick McCarthy,Georgia Institute of Technology,Thierry Vanelslander,University of Antwerp,Roger Vickerman,University of Kent,,,,,ALEXANDER GALETOVIC,Male,,,,,,NA,NA,NA,NA,NA
Alexander Ljungqvist,Corporate Investment and Stock Market Listing: A Puzzle?,New York University,Jan 04 2014,2:30 PM,"Loews Philadelphia Hotel, Commonwealth Hall C",American Finance Association,Corporate Governance,G3,Bo Becker,Harvard Business School,Denis Gromb,INSEAD,Xavier Giroud,Massachusetts Institute of Technology,Francisco Perez-Gonzalez,Stanford University,Gustavo Manso,University of California-Berkely,,,ALEXANDER LJUNGQVIST,Male,,,,,,NA,NA,NA,NA,NA
Alexander Ljungqvist,Managerial Labor Market Frictions and Corporate Investment,New York University,Jan 05 2014,10:15 AM,"Loews Philadelphia Hotel, Congress C",Association of Financial Economists,Corporate Investment,G3,Anthony Saunders,New York University,Daniel Wolfenzon,Columbia University,Paige Ouimet,University of North Carolina-Chapel Hill,Lalitha Naveen,Temple University,,,,,ALEXANDER LJUNGQVIST,Male,,,,,,NA,NA,NA,NA,NA
Alexander Rothenberg,Collective Action in Diverse Sierra Leone Communities,University of California-Berkeley,Jan 05 2014,1:00 PM,"Philadelphia Marriott, Grand Ballroom - Salon B",American Economic Association,"Accountability, Collective Action, and Information in Economic Development",O1,Karla Hoff,World Bank,Karla Hoff,World Bank,Andrew Zeitlin,Georgetown University,,,,,,,Alexander Rothenberg,Male,,,,,,NA,NA,NA,NA,NA
Alexander Strand,Disability Insurance and Healthcare Reform: Evidence from Massachusetts,Social Security Administration,Jan 04 2014,8:00 AM,"Pennsylvania Convention Center, 201-C",American Economic Association,The Impact of Health Insurance Expansions on Other Social Safety Net Programs,H5,Amy Finkelstein,Massachusetts Institute of Technology,David H. Autor,Massachusetts Institute of Technology,,,,,,,,,Alexander Strand,Male,,,,,,NA,NA,NA,NA,NA
Alexandra Roulet,Creative Destruction and Subjective Well-Being,Harvard University,Jan 05 2014,10:15 AM,"Pennsylvania Convention Center, 201-B",American Economic Association,"Growth, Innovation and Trade",O4,Paul Romer,New York University,,,,,,,,,,,Alexandra Roulet,Female,,,,,,NA,NA,NA,NA,NA
Alexei Onatski,Asymptotic Analysis of the Squared Estimation Error in Misspecified Factor Models,University of Cambridge,Jan 03 2014,8:00 AM,"Philadelphia Marriott, Meeting Room 401",Econometric Society,Big Data and High-Dimensional Problems,C3,Jushan Bai,Columbia University,,,,,,,,,,,ALEXEI ONATSKI,Male,,,,,,NA,NA,NA,NA,NA
Alice Chen,Why is Infant Mortality Higher in the United States Than in Europe?,University of Chicago,Jan 04 2014,2:30 PM,"Pennsylvania Convention Center, 204-A",American Economic Association,Investigating the Determinants of Infant Mortality,I1,Emily Oster,University of Chicago,,,,,,,,,,,Alice Chen,Female,,,,,,NA,NA,NA,NA,NA
Alireza Tahbaz-Salehi,Systemic Risk and Stability in Financial Networks,Columbia University,Jan 05 2014,10:15 AM,"Loews Philadelphia Hotel, Congress B",Society for Economic Dynamics,Networks in Macroeconomics and Finance,G1,Jennifer La'O,Columbia University,,,,,,,,,,,Alireza Tahbaz-Salehi,Male,,,,,,NA,NA,NA,NA,NA
Allan Timmermann,Forecasting Stock Returns Under Economic Constraints,University of California-San Diego,Jan 03 2014,10:15 AM,"Philadelphia Marriott, Meeting Room 401",Econometric Society,Advances in Macroeconometrics,C3,Barbara Rossi,Universitat Pompeu Fabra,,,,,,,,,,,ALLAN TIMMERMANN,Male,,,,,,NA,NA,NA,NA,NA
Allison Shertzer,Melted in the Pot or Consigned to the Ghetto? The Dynamics of Segregation and Assimilation in Urbanizing America,University of Pittsburgh,Jan 03 2014,10:15 AM,"Pennsylvania Convention Center, 201-A",American Economic Association,Looking Back at the United States during the Late Nineteenth Century: Lessons from the American Economy during the Time of the Great Migration Era,J6,Ethan Lewis,Dartmouth College,Richard Hornbeck,Harvard University,Darren Lubotsky,University of Illinois-Urbana-Champaign,David H. Autor,Massachusetts Institute of Technology,Elizabeth U. Cascio,Dartmouth College,,,Allison Shertzer,Female,,,,,,NA,NA,NA,NA,NA
Alp Simsek,Liquidity Trap and Excessive Leverage,Massachusetts Institute of Technology,Jan 04 2014,8:00 AM,"Philadelphia Marriott, Meeting Room 402",Econometric Society,Financial Frictions and the Macroeconomy,E5,Andrea Tambalotti,Federal Reserve Bank of New York,,,,,,,,,,,Alp Simsek,Male,,,,,,NA,NA,NA,NA,NA
Amalia R. Miller,Women Helping Women? Evidence from Private Sector Data on Plant Hierarchies,University of Virginia,Jan 05 2014,1:00 PM,"Philadelphia Marriott, Grand Ballroom - Salon J",American Economic Association,Gender in Organizational Hierarchies,J7,Amalia Miller,University of Virginia,Manuel Bagues,Universidad Carlos III,Mario Macis,"Johns Hopkins University, IZA",Francine D. Blau,Cornell University,Fidan Ana Kurtulus,University of Massachusetts-Amherst,,,Amalia R. Miller,Female,AMALIA MILLER,,,,,NA,NA,NA,NA,NA
Amanda E. Kowalski,Adverse Selection and an Individual Mandate: When Theory Meets Practice,Yale University,Jan 03 2014,10:15 AM,"Philadelphia Marriott, Meeting Room 305",International Health Economics Association,Health Insurance Markets and Coverage,I1,Laurence Baker,Stanford University,,,,,,,,,,,Amanda E. Kowalski,Female,AMANDA KOWALSKI,,,,,NA,NA,NA,NA,NA
Amanda E. Kowalski,Adverse Selection and an Individual Mandate: When Theory Meets Practice,Yale University,Jan 03 2014,2:30 PM,"Philadelphia Marriott, Meeting Room 404",Econometric Society,Evaluating Health Insurance Reform,H5,Hanming Fang,University of Pennsylvania,,,,,,,,,,,Amanda E. Kowalski,Female,AMANDA KOWALSKI,,,,,NA,NA,NA,NA,NA
Amanda E. Kowalski,Estimating the Value of Reducing Health Insurance Reclassification Risk for the Nonelderly,Yale University,Jan 05 2014,1:00 PM,"Pennsylvania Convention Center, 203-A",American Economic Association,Structural Estimation,D0,Petra Todd,University of Pennsylvania,,,,,,,,,,,Amanda E. Kowalski,Female,AMANDA KOWALSKI,,,,,NA,NA,NA,NA,NA
Amanda Starc,Who Benefits When the Government Pays More? Pass Through in the Medicare Advantage Program,University of Pennsylvania,Jan 03 2014,10:15 AM,"Pennsylvania Convention Center, 112-A",Health Economics Research Organization/American Economic Association,Provider Responses to the Design of Medicare Reimbursements,I1,Donald Yett,University of Southern California,Sean Nicholson,Cornell University,Kurt Lavetti,Ohio State University,Yaa Akosa Antwi,Indiana University-Purdue University-Indianapolis,,,,,Amanda Starc,Female,,,,,,NA,NA,NA,NA,NA
Amanda Starc,How Product Standardization Affects Choice: Evidence from the Massachusetts Health Insurance Exchange,University of Pennsylvania,Jan 04 2014,10:15 AM,"Pennsylvania Convention Center, 204-C",American Economic Association,Behavioral Economics and Public Policy,H3,Hunt Allcott,New York University,John Beshears,Harvard University,Stefano DellaVigna,University of California-Berkeley,Joshua Schwartzstein,Dartmouth College,Stephan Meier,Columbia University,,,Amanda Starc,Female,,,,,,NA,NA,NA,NA,NA
Amartya Lahiri,Structural Transformation and the Rural-Urban Divide,University of British Columbia,Jan 05 2014,8:00 AM,"Philadelphia Marriott, Meeting Room 405",Econometric Society,Productivity Differences across Time and Space,E2,David Lagakos,Arizona State University,,,,,,,,,,,AMARTYA LAHIRI,Male,,,,,,NA,NA,NA,NA,NA
Amir Sufi,The Effect of Interest Rate and Collateral Value Shocks on Household Spending,University of Chicago,Jan 03 2014,2:30 PM,"Pennsylvania Convention Center, 201-B",American Economic Association,Recessions and Recoveries,E3,Justin Wolfers,University of Michigan,,,,,,,,,,,AMIR SUFI,Male,,,,,,NA,NA,NA,NA,NA
